# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 41462566372
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     0.05%  rate     rate                [.] internal/poll.(*FD).writeUnlock
     0.05%  rate     rate                [.] runtime.chanrecv
     0.05%  rate     rate                [.] reflect.(*rtype).Name
     0.05%  rate     [kernel.kallsyms]   [k] enqueue_to_backlog
     0.05%  rate     [kernel.kallsyms]   [k] anon_pipe_buf_release
     0.05%  rate     [kernel.kallsyms]   [k] nf_ct_seq_offset
     0.05%  rate     rate                [.] runtime.mapdelete_faststr
     0.05%  rate     [kernel.kallsyms]   [k] amd_clear_divider
     0.05%  rate     [kernel.kallsyms]   [k] vfs_write
     0.05%  rate     [kernel.kallsyms]   [k] find_next_and_bit
     0.05%  rate     [kernel.kallsyms]   [k] rcu_all_qs
     0.05%  rate     [kernel.kallsyms]   [k] ovl_permission
     0.05%  rate     [kernel.kallsyms]   [k] apparmor_socket_recvmsg
     0.05%  rate     rate                [.] encoding/json.(*decodeState).value
     0.05%  rate     [kernel.kallsyms]   [k] apic_timer_interrupt
     0.05%  rate     [kernel.kallsyms]   [k] tcp_current_mss
     0.05%  rate     rate                [.] time.Now
     0.05%  rate     rate                [.] syscall.Syscall6.abi0
     0.05%  rate     [kernel.kallsyms]   [k] __skb_datagram_iter
     0.05%  rate     [kernel.kallsyms]   [k] group_sched_in
     0.05%  rate     rate                [.] github.com/rs/zerolog.(*Event).write
     0.05%  rate     rate                [.] runtime.goexit0
     0.05%  rate     [kernel.kallsyms]   [k] prepend_name
     0.05%  rate     rate                [.] runtime.funcspdelta
     0.05%  rate     rate                [.] reflect.(*rtype).uncommon
     0.05%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.05%  rate     rate                [.] reflect.implements
     0.05%  rate     rate                [.] github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler.func1
     0.05%  rate     [kernel.kallsyms]   [k] __kmalloc_reserve.isra.0
     0.05%  rate     rate                [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.05%  rate     rate                [.] runtime.copystack
     0.05%  rate     [kernel.kallsyms]   [k] get_nohz_timer_target
     0.05%  rate     [kernel.kallsyms]   [k] handle_mm_fault
     0.04%  rate     [kernel.kallsyms]   [k] tcp_update_skb_after_send
     0.04%  rate     [kernel.kallsyms]   [k] sock_sendmsg
     0.04%  rate     rate                [.] runtime.runqsteal
     0.04%  rate     [kernel.kallsyms]   [k] our_mnt
     0.04%  rate     rate                [.] reflect.resolveNameOff
     0.04%  rate     [kernel.kallsyms]   [k] aa_sk_perm
     0.04%  rate     rate                [.] runtime.convTstring
     0.04%  rate     [kernel.kallsyms]   [k] tcp_v4_send_check
     0.04%  rate     [kernel.kallsyms]   [k] is_skb_forwardable
     0.04%  rate     rate                [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.04%  rate     rate                [.] runtime.(*mcentral).uncacheSpan
     0.04%  rate     rate                [.] context.(*valueCtx).Value
     0.04%  rate     [kernel.kallsyms]   [k] br_forward
     0.04%  rate     rate                [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.04%  rate     [kernel.kallsyms]   [k] ksys_read
     0.04%  rate     [kernel.kallsyms]   [k] tcp_rate_skb_delivered
     0.04%  rate     [kernel.kallsyms]   [k] audit_signal_info_syscall
     0.04%  rate     [kernel.kallsyms]   [k] page_fault
     0.04%  rate     [kernel.kallsyms]   [k] __kmalloc_node
     0.04%  rate     [kernel.kallsyms]   [k] ip_rcv_finish_core.isra.0
     0.04%  rate     rate                [.] net.(*conn).Write
     0.04%  rate     [kernel.kallsyms]   [k] __cgroup_account_cputime
     0.04%  rate     rate                [.] github.com/rs/zerolog.colorize
     0.04%  rate     [kernel.kallsyms]   [k] intel_pmu_disable_all
     0.04%  rate     [kernel.kallsyms]   [k] cpumask_next_wrap
     0.04%  rate     [kernel.kallsyms]   [k] __check_object_size
     0.04%  rate     [kernel.kallsyms]   [k] __ip_local_out
     0.04%  rate     [kernel.kallsyms]   [k] __alloc_skb
     0.04%  rate     [kernel.kallsyms]   [k] br_nf_post_routing
     0.04%  rate     rate                [.] runtime.wakep
     0.04%  rate     rate                [.] sync.runtime_procUnpin
     0.04%  rate     rate                [.] net.(*TCPConn).Read
     0.04%  rate     [kernel.kallsyms]   [k] native_apic_msr_eoi_write
     0.04%  rate     [kernel.kallsyms]   [k] ep_item_poll.isra.0
     0.04%  rate     [kernel.kallsyms]   [k] ext4_getattr
     0.04%  rate     rate                [.] runtime.mapiterinit
     0.04%  rate     [kernel.kallsyms]   [k] inet_send_prepare
     0.04%  rate     [kernel.kallsyms]   [k] mutex_unlock
     0.04%  rate     rate                [.] google.golang.org/grpc/transport.newFramer.func1
     0.04%  rate     [kernel.kallsyms]   [k] skb_push
     0.04%  rate     rate                [.] fmt.(*stringReader).Read
     0.04%  rate     [kernel.kallsyms]   [k] new_sync_read
     0.04%  rate     rate                [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.04%  rate     [kernel.kallsyms]   [k] kfree_skbmem
     0.04%  rate     rate                [.] runtime.markrootSpans
     0.04%  rate     [kernel.kallsyms]   [k] tcp_v4_early_demux
     0.04%  rate     [kernel.kallsyms]   [k] __intel_pmu_enable_all.constprop.0
     0.04%  rate     [kernel.kallsyms]   [k] nf_nat_ipv4_pre_routing
     0.04%  rate     rate                [.] context.(*cancelCtx).cancel
     0.04%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Tracer).Extract
     0.04%  rate     [kernel.kallsyms]   [k] fib_validate_source
     0.04%  rate     rate                [.] runtime.send
     0.04%  rate     rate                [.] reflect.directlyAssignable
     0.04%  rate     [kernel.kallsyms]   [k] __fsnotify_parent
     0.04%  rate     [kernel.kallsyms]   [k] _copy_from_user
     0.04%  rate     rate                [.] internal/poll.runtime_pollReset
     0.04%  rate     rate                [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.04%  rate     rate                [.] runtime.handoff
     0.04%  rate     [kernel.kallsyms]   [k] memcg_kmem_put_cache
     0.04%  rate     [kernel.kallsyms]   [k] comment_mt
     0.04%  rate     [kernel.kallsyms]   [k] __x86_indirect_thunk_r14
     0.04%  rate     [kernel.kallsyms]   [k] reschedule_interrupt
     0.04%  rate     rate                [.] runtime.gcmarknewobject
     0.04%  rate     rate                [.] runtime.sellock
     0.04%  rate     rate                [.] google.golang.org/grpc/transport.(*recvBuffer).load
     0.04%  rate     rate                [.] runtime.funcname
     0.04%  rate     rate                [.] reflect.(*rtype).Field
     0.04%  rate     [kernel.kallsyms]   [k] __sb_start_write
     0.04%  rate     [kernel.kallsyms]   [k] tcp_small_queue_check.isra.0
     0.04%  rate     [kernel.kallsyms]   [k] strncpy_from_user
     0.04%  rate     [kernel.kallsyms]   [k] ip_protocol_deliver_rcu
     0.04%  rate     [kernel.kallsyms]   [k] ipv4_confirm
     0.04%  rate     [kernel.kallsyms]   [k] interrupt_entry
     0.04%  rate     rate                [.] strconv.formatBits
     0.04%  rate     [kernel.kallsyms]   [k] bictcp_cwnd_event
     0.04%  rate     [kernel.kallsyms]   [k] get_futex_value_locked
     0.04%  rate     rate                [.] golang.org/x/net/http2.FrameHeader.Header
     0.04%  rate     [kernel.kallsyms]   [k] tcp_rack_update_reo_wnd
     0.04%  rate     rate                [.] bufio.(*Reader).fill
     0.04%  rate     rate                [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.04%  rate     [kernel.kallsyms]   [k] nf_ct_deliver_cached_events
     0.04%  rate     [kernel.kallsyms]   [k] cp_new_stat
     0.04%  rate     [kernel.kallsyms]   [k] ip_vs_forward_icmp
     0.04%  rate     rate                [.] context.WithCancel
     0.04%  rate     rate                [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey
     0.04%  rate     rate                [.] github.com/rs/zerolog.(*Event).Str
     0.04%  rate     rate                [.] runtime.gfget
     0.04%  rate     [kernel.kallsyms]   [k] ep_send_events_proc
     0.04%  rate     rate                [.] reflect.Value.Set
     0.04%  rate     rate                [.] time.now.abi0
     0.04%  rate     [kernel.kallsyms]   [k] clear_buddies
     0.04%  rate     rate                [.] sync.(*RWMutex).RUnlock
     0.04%  rate     [kernel.kallsyms]   [k] iptable_mangle_hook
     0.04%  rate     rate                [.] runtime.morestack.abi0
     0.04%  rate     [kernel.kallsyms]   [k] ep_scan_ready_list.constprop.0
     0.04%  rate     [kernel.kallsyms]   [k] tcp_cleanup_rbuf
     0.04%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp.func1
     0.04%  rate     [kernel.kallsyms]   [k] _cond_resched
     0.04%  rate     [kernel.kallsyms]   [k] irq_entries_start
     0.04%  rate     [kernel.kallsyms]   [k] ttwu_do_wakeup
     0.04%  rate     rate                [.] golang.org/x/net/http2.readFrameHeader
     0.04%  rate     rate                [.] runtime.checkIdleGCNoP
     0.03%  rate     rate                [.] runtime.newproc
     0.03%  rate     [kernel.kallsyms]   [k] tcp_event_new_data_sent
     0.03%  rate     rate                [.] runtime.(*mcache).refill
     0.03%  rate     [kernel.kallsyms]   [k] __netif_receive_skb
     0.03%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).Write.func1
     0.03%  rate     [kernel.kallsyms]   [k] map_id_up
     0.03%  rate     rate                [.] reflect.(*rtype).NumMethod
     0.03%  rate     [kernel.kallsyms]   [k] inet6_sendmsg
     0.03%  rate     [kernel.kallsyms]   [k] flush_tlb_func_remote
     0.03%  rate     rate                [.] runtime.notetsleep_internal
     0.03%  rate     [kernel.kallsyms]   [k] skb_network_protocol
     0.03%  rate     [kernel.kallsyms]   [k] _raw_read_unlock_irqrestore
     0.03%  rate     rate                [.] reflect.makemap
     0.03%  rate     rate                [.] runtime.assertI2I2
     0.03%  rate     [kernel.kallsyms]   [k] filename_lookup
     0.03%  rate     [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.03%  rate     [kernel.kallsyms]   [k] __fib_validate_source
     0.03%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).closeStream
     0.03%  rate     [kernel.kallsyms]   [k] __lru_cache_add
     0.03%  rate     rate                [.] runtime.Caller
     0.03%  rate     [kernel.kallsyms]   [k] ep_autoremove_wake_function
     0.03%  rate     rate                [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.03%  rate     rate                [.] runtime.mapaccess2_fast32
     0.03%  rate     rate                [.] runtime.assertE2I2
     0.03%  rate     [kernel.kallsyms]   [k] ovl_same_sb
     0.03%  rate     [kernel.kallsyms]   [k] tcp_v4_do_rcv
     0.03%  rate     rate                [.] reflect.unsafe_New
     0.03%  rate     [kernel.kallsyms]   [k] ip_vs_in.part.0
     0.03%  rate     rate                [.] time.skip
     0.03%  rate     rate                [.] runtime.goready.func1
     0.03%  rate     [kernel.kallsyms]   [k] tcp_parse_md5sig_option
     0.03%  rate     [kernel.kallsyms]   [k] pipe_write
     0.03%  rate     rate                [.] golang.org/x/net/http2.(*Framer).endWrite
     0.03%  rate     [kernel.kallsyms]   [k] exit_to_usermode_loop
     0.03%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*ServerList).PickServer
     0.03%  rate     [kernel.kallsyms]   [k] __hrtimer_next_event_base
     0.03%  rate     rate                [.] runtime.newstack.abi0
     0.03%  rate     rate                [.] reflect.packEface
     0.03%  rate     [kernel.kallsyms]   [k] nf_confirm
     0.03%  rate     rate                [.] reflect.convertOp
     0.03%  rate     rate                [.] github.com/golang/protobuf/proto.Clone
     0.03%  rate     rate                [.] reflect.Value.Field
     0.03%  rate     [kernel.kallsyms]   [k] perf_log_itrace_start
     0.03%  rate     [kernel.kallsyms]   [k] aa_path_perm
     0.03%  rate     [kernel.kallsyms]   [k] br_nf_pre_routing_finish_bridge
     0.03%  rate     rate                [.] fmt.(*ss).okVerb
     0.03%  rate     rate                [.] reflect.(*rtype).exportedMethods
     0.03%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).handlePing
     0.03%  rate     [kernel.kallsyms]   [k] nf_nat_packet
     0.03%  rate     rate                [.] context.removeChild
     0.03%  rate     rate                [.] encoding/json.(*scanner).pushParseState
     0.03%  rate     [kernel.kallsyms]   [k] mlx5_eq_comp_int
     0.03%  rate     rate                [.] runtime.park_m
     0.03%  rate     rate                [.] syscall.fstatat
     0.03%  rate     [kernel.kallsyms]   [k] tcp_data_ready
     0.03%  rate     rate                [.] runtime.ifaceeq
     0.03%  rate     [kernel.kallsyms]   [k] mntput_no_expire
     0.03%  rate     rate                [.] strings.EqualFold
     0.03%  rate     rate                [.] time.now
     0.03%  rate     rate                [.] sort.Sort
     0.03%  rate     [kernel.kallsyms]   [k] tcp_established_options
     0.03%  rate     [kernel.kallsyms]   [k] ip_vs_local_request4
     0.03%  rate     rate                [.] sync.(*WaitGroup).Add
     0.03%  rate     [kernel.kallsyms]   [k] skb_release_head_state
     0.03%  rate     [kernel.kallsyms]   [k] ovl_path_type
     0.03%  rate     [kernel.kallsyms]   [k] jiffies_to_usecs
     0.03%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.03%  rate     [kernel.kallsyms]   [k] __intel_pmu_disable_all
     0.03%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).getConn
     0.03%  rate     [kernel.kallsyms]   [k] aa_apply_modes_to_perms
     0.03%  rate     [kernel.kallsyms]   [k] udp_v4_early_demux
     0.03%  rate     rate                [.] sync/atomic.CompareAndSwapPointer
     0.03%  rate     [kernel.kallsyms]   [k] tcp_push
     0.03%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).itemHandler-fm
     0.03%  rate     rate                [.] fmt.(*ss).SkipSpace
     0.03%  rate     rate                [.] runtime.mapdelete
     0.03%  rate     [kernel.kallsyms]   [k] tcp_release_cb
     0.03%  rate     rate                [.] fmt.(*pp).fmtString
     0.03%  rate     [kernel.kallsyms]   [k] fib_info_nh_uses_dev
     0.03%  rate     rate                [.] runtime.checkdead
     0.03%  rate     rate                [.] reflect.(*rtype).Key
     0.03%  rate     [kernel.kallsyms]   [k] cpumask_next
     0.03%  rate     rate                [.] internal/poll.runtime_pollWait
     0.03%  rate     [kernel.kallsyms]   [k] __legitimize_mnt
     0.03%  rate     [kernel.kallsyms]   [k] security_file_permission
     0.03%  rate     [kernel.kallsyms]   [k] apparmor_file_permission
     0.03%  rate     rate                [.] runtime.selectnbsend
     0.03%  rate     [kernel.kallsyms]   [k] rw_verify_area
     0.03%  rate     rate                [.] runtime.gcDrainN
     0.03%  rate     rate                [.] strconv.FormatInt
     0.03%  rate     [kernel.kallsyms]   [k] tcp_mtu_probe
     0.03%  rate     rate                [.] runtime.memhash8
     0.03%  rate     [kernel.kallsyms]   [k] pagevec_lru_move_fn
     0.03%  rate     [kernel.kallsyms]   [k] ktime_get_with_offset
     0.03%  rate     rate                [.] strconv.atof64
     0.03%  rate     [kernel.kallsyms]   [k] aa_compute_fperms
     0.03%  rate     [kernel.kallsyms]   [k] ipv4_conntrack_in
     0.03%  rate     rate                [.] runtime.(*pageAlloc).scavengeUnreserve
     0.03%  rate     [kernel.kallsyms]   [k] rb_first
     0.03%  rate     [kernel.kallsyms]   [k] do_csum
     0.03%  rate     rate                [.] fmt.newScanState
     0.03%  rate     rate                [.] runtime.closechan
     0.03%  rate     rate                [.] google.golang.org/grpc.(*Server).serveStreams.func1.1
     0.03%  rate     [kernel.kallsyms]   [k] ipv4_conntrack_defrag
     0.03%  rate     rate                [.] time.tzsetName
     0.03%  rate     rate                [.] time.Time.Sub
     0.03%  rate     rate                [.] fmt.(*pp).handleMethods
     0.03%  rate     [kernel.kallsyms]   [k] nf_checksum
     0.03%  rate     [kernel.kallsyms]   [k] ip_local_deliver_finish
     0.03%  rate     rate                [.] runtime.tracebackdefers
     0.03%  rate     [kernel.kallsyms]   [k] attach_entity_load_avg
     0.03%  rate     [kernel.kallsyms]   [k] tcp_rate_skb_sent
     0.03%  rate     rate                [.] google.golang.org/grpc/encoding/proto.codec.Unmarshal
     0.03%  rate     rate                [.] runtime.nanotime
     0.03%  rate     rate                [.] bytes.(*Reader).Read
     0.03%  rate     rate                [.] runtime.suspendG
     0.03%  rate     rate                [.] runtime.goready
     0.03%  rate     rate                [.] fmt.(*ss).consume
     0.03%  rate     rate                [.] runtime.makemap
     0.03%  rate     rate                [.] runtime.convT2I
     0.03%  rate     rate                [.] context.WithValue
     0.03%  rate     [kernel.kallsyms]   [k] passthru_features_check
     0.03%  rate     rate                [.] runtime.concatstring3
     0.03%  rate     [kernel.kallsyms]   [k] br_dev_queue_push_xmit
     0.03%  rate     [kernel.kallsyms]   [k] ip_sabotage_in
     0.03%  rate     rate                [.] github.com/rs/zerolog.(*Logger).newEvent
     0.02%  rate     [kernel.kallsyms]   [k] __wake_up_common_lock
     0.02%  rate     rate                [.] encoding/json.(*scanner).popParseState
     0.02%  rate     rate                [.] runtime.(*headTailIndex).incTail
     0.02%  rate     rate                [.] strings.Index
     0.02%  rate     [kernel.kallsyms]   [k] ip_local_out
     0.02%  rate     [kernel.kallsyms]   [k] nf_csum_update
     0.02%  rate     rate                [.] runtime.(*gcControllerState).enlistWorker
     0.02%  rate     [kernel.kallsyms]   [k] security_socket_sendmsg
     0.02%  rate     [kernel.kallsyms]   [k] sock_write_iter
     0.02%  rate     [kernel.kallsyms]   [k] sock_put
     0.02%  rate     [kernel.kallsyms]   [k] __aa_path_perm
     0.02%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).callEmit
     0.02%  rate     [kernel.kallsyms]   [k] __br_forward
     0.02%  rate     rate                [.] google.golang.org/grpc.(*Server).processUnaryRPC.func3
     0.02%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.02%  rate     rate                [.] runtime.(*pallocBits).summarize
     0.02%  rate     [kernel.kallsyms]   [k] validate_xmit_xfrm
     0.02%  rate     rate                [.] runtime.efaceeq
     0.02%  rate     rate                [.] sync/atomic.runtime_procPin
     0.02%  rate     [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.02%  rate     [kernel.kallsyms]   [k] __account_cfs_rq_runtime
     0.02%  rate     [kernel.kallsyms]   [k] arch_perf_update_userpage
     0.02%  rate     rate                [.] reflect.(*rtype).ptrTo
     0.02%  rate     rate                [.] bufio.(*Reader).ReadSlice
     0.02%  rate     rate                [.] reflect.New
     0.02%  rate     rate                [.] reflect.Zero
     0.02%  rate     rate                [.] context.(*cancelCtx).Value
     0.02%  rate     rate                [.] runtime.stackcache_clear
     0.02%  rate     rate                [.] runtime.rawstring
     0.02%  rate     rate                [.] runtime.findnull
     0.02%  rate     [kernel.kallsyms]   [k] __task_pid_nr_ns
     0.02%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.02%  rate     rate                [.] sync.runtime_procPin
     0.02%  rate     [kernel.kallsyms]   [k] __handle_mm_fault
     0.02%  rate     rate                [.] runtime.(*gcControllerState).findRunnableGCWorker
     0.02%  rate     [kernel.kallsyms]   [k] make_kuid
     0.02%  rate     rate                [.] runtime.injectglist
     0.02%  rate     [kernel.kallsyms]   [k] apparmor_task_kill
     0.02%  rate     [kernel.kallsyms]   [k] __netif_receive_skb_one_core
     0.02%  rate     rate                [.] fmt.Fscanf
     0.02%  rate     [kernel.kallsyms]   [k] rebalance_domains
     0.02%  rate     [kernel.kallsyms]   [k] __skb_ext_del
     0.02%  rate     rate                [.] google.golang.org/grpc.(*Server).sendResponse
     0.02%  rate     [kernel.kallsyms]   [k] select_idle_sibling
     0.02%  rate     rate                [.] reflect.Value.Bytes
     0.02%  rate     [kernel.kallsyms]   [k] ktime_get_update_offsets_now
     0.02%  rate     [kernel.kallsyms]   [k] __x64_sys_write
     0.02%  rate     [kernel.kallsyms]   [k] do_user_addr_fault
     0.02%  rate     [kernel.kallsyms]   [k] __dev_forward_skb
     0.02%  rate     [kernel.kallsyms]   [k] set_user_sigmask
     0.02%  rate     rate                [.] time.getnum
     0.02%  rate     [kernel.kallsyms]   [k] memcpy_erms
     0.02%  rate     rate                [.] time.atoi
     0.02%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.func1
     0.02%  rate     rate                [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.02%  rate     rate                [.] fmt.Sprintf
     0.02%  rate     [kernel.kallsyms]   [k] kmalloc_slab
     0.02%  rate     rate                [.] github.com/golang/protobuf/proto.mergeAny
     0.02%  rate     rate                [.] runtime.(*mheap).freeSpanLocked
     0.02%  rate     [kernel.kallsyms]   [k] event_sched_in.isra.0
     0.02%  rate     rate                [.] runtime.scavengeSleep
     0.02%  rate     rate                [.] runtime.entersyscall.abi0
     0.02%  rate     [kernel.kallsyms]   [k] perf_pmu_disable.part.0
     0.02%  rate     [kernel.kallsyms]   [k] __tcp_select_window
     0.02%  rate     rate                [.] time.Until
     0.02%  rate     [kernel.kallsyms]   [k] common_perm_cond
     0.02%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).readString
     0.02%  rate     rate                [.] runtime.(*addrRanges).removeLast
     0.02%  rate     [kernel.kallsyms]   [k] override_creds
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.02%  rate     rate                [.] strings.Join
     0.02%  rate     [kernel.kallsyms]   [k] inode_permission
     0.02%  rate     [kernel.kallsyms]   [k] __tcp_ack_snd_check
     0.02%  rate     rate                [.] google.golang.org/grpc.(*Server).handleStream
     0.02%  rate     rate                [.] runtime.resolveNameOff
     0.02%  rate     [kernel.kallsyms]   [k] irq_exit
     0.02%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).enc_proto3_int64
     0.02%  rate     [kernel.kallsyms]   [k] user_path_at_empty
     0.02%  rate     [kernel.kallsyms]   [k] release_sock
     0.02%  rate     [kernel.kallsyms]   [k] tcp_options_write
     0.02%  rate     [kernel.kallsyms]   [k] mem_cgroup_page_lruvec
     0.02%  rate     [kernel.kallsyms]   [k] tick_program_event
     0.02%  rate     rate                [.] runtime.exitsyscall.abi0
     0.02%  rate     [kernel.kallsyms]   [k] zap_pte_range.isra.0
     0.02%  rate     [kernel.kallsyms]   [k] rcu_irq_enter
     0.02%  rate     rate                [.] runtime.updateTimerPMask
     0.02%  rate     rate                [.] os.statNolog
     0.02%  rate     [kernel.kallsyms]   [k] map_id_range_down
     0.02%  rate     rate                [.] runtime.shrinkstack
     0.02%  rate     [kernel.kallsyms]   [k] unlazy_walk
     0.02%  rate     [kernel.kallsyms]   [k] __tcp_v4_send_check
     0.02%  rate     rate                [.] runtime.procyield.abi0
     0.02%  rate     rate                [.] reflect.Value.NumField
     0.02%  rate     rate                [.] google.golang.org/grpc.(*Server).serveStreams.func2
     0.02%  rate     [kernel.kallsyms]   [k] fput
     0.02%  rate     [kernel.kallsyms]   [k] plist_add
     0.02%  rate     rate                [.] github.com/rs/zerolog.Level.String
     0.02%  rate     rate                [.] github.com/opentracing/opentracing-go/ext.(*rpcServerOption).Apply
     0.02%  rate     [kernel.kallsyms]   [k] clockevents_program_event
     0.02%  rate     rate                [.] runtime.(*mheap).nextSpanForSweep
     0.02%  rate     [kernel.kallsyms]   [k] security_sock_rcv_skb
     0.02%  rate     rate                [.] fmt.(*pp).fmtInteger
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.02%  rate     rate                [.] runtime.ready
     0.02%  rate     rate                [.] sync.(*Map).Load
     0.02%  rate     [kernel.kallsyms]   [k] ip_rcv_finish
     0.02%  rate     rate                [.] runtime.(*consistentHeapStats).acquire
     0.02%  rate     [kernel.kallsyms]   [k] vfs_read
     0.02%  rate     rate                [.] net.(*netFD).Write
     0.02%  rate     [kernel.kallsyms]   [k] aa_file_perm
     0.02%  rate     [kernel.kallsyms]   [k] tcp_event_data_recv
     0.02%  rate     [kernel.kallsyms]   [k] lock_sock_nested
     0.02%  rate     rate                [.] google.golang.org/grpc.checkRecvPayload
     0.02%  rate     [kernel.kallsyms]   [k] __skb_ext_put
     0.02%  rate     [kernel.kallsyms]   [k] __handle_irq_event_percpu
     0.02%  rate     rate                [.] context.parentCancelCtx
     0.02%  rate     [kernel.kallsyms]   [k] ovl_override_creds
     0.02%  rate     [kernel.kallsyms]   [k] enqueue_hrtimer
     0.02%  rate     rate                [.] runtime.deductSweepCredit
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*Stream).Read
     0.02%  rate     rate                [.] runtime.convI2I
     0.02%  rate     [kernel.kallsyms]   [k] skb_page_frag_refill
     0.02%  rate     rate                [.] strconv.special
     0.02%  rate     rate                [.] encoding/json.(*decodeState).scanNext
     0.02%  rate     rate                [.] reflect.MakeMapWithSize
     0.02%  rate     rate                [.] net.(*netFD).Read
     0.02%  rate     rate                [.] runtime.gcWriteBarrier
     0.02%  rate     rate                [.] runtime.(*pageAlloc).scavengeReserve
     0.02%  rate     [kernel.kallsyms]   [k] tcp_tx_timestamp
     0.02%  rate     rate                [.] runtime.mcall
     0.02%  rate     [kernel.kallsyms]   [k] do_softirq_own_stack
     0.02%  rate     rate                [.] sort.insertionSort
     0.02%  rate     rate                [.] runtime.(*consistentHeapStats).release
     0.02%  rate     [kernel.kallsyms]   [k] tcp_v4_inbound_md5_hash
     0.02%  rate     rate                [.] runtime.goschedImpl
     0.02%  rate     [kernel.kallsyms]   [k] tcp_update_pacing_rate
     0.02%  rate     rate                [.] runtime.bgscavenge.func1
     0.02%  rate     rate                [.] golang.org/x/net/http2/hpack.(*Decoder).Write
     0.02%  rate     [kernel.kallsyms]   [k] __mod_memcg_state
     0.02%  rate     rate                [.] golang.org/x/net/http2/hpack.(*dynamicTable).add
     0.02%  rate     rate                [.] strconv.atof64exact
     0.02%  rate     [kernel.kallsyms]   [k] perf_pmu_enable.part.0
     0.02%  rate     rate                [.] internal/poll.(*pollDesc).prepare
     0.02%  rate     rate                [.] reflect.Value.Pointer
     0.02%  rate     rate                [.] runtime.modtimer
     0.02%  rate     [kernel.kallsyms]   [k] smp_apic_timer_interrupt
     0.02%  rate     [kernel.kallsyms]   [k] nf_nat_ipv4_fn
     0.02%  rate     rate                [.] runtime.selparkcommit
     0.02%  rate     rate                [.] runtime.forEachP
     0.02%  rate     [kernel.kallsyms]   [k] call_function_interrupt
     0.02%  rate     [kernel.kallsyms]   [k] rcu_irq_exit
     0.02%  rate     [kernel.kallsyms]   [k] calc_timer_values
     0.02%  rate     rate                [.] golang.org/x/net/http2.(*DataFrame).Header
     0.02%  rate     rate                [.] reflect.Value.NumMethod
     0.02%  rate     [kernel.kallsyms]   [k] __x2apic_send_IPI_mask
     0.02%  rate     rate                [.] google.golang.org/grpc/transport.(*recvBuffer).put
     0.02%  rate     rate                [.] encoding/json.(*decodeState).unmarshal
     0.02%  rate     rate                [.] fmt.(*ss).scanUint
     0.02%  rate     [kernel.kallsyms]   [k] drop_futex_key_refs.isra.0
     0.02%  rate     [kernel.kallsyms]   [k] sched_clock
     0.02%  rate     [kernel.kallsyms]   [k] ip_sublist_rcv_finish
     0.02%  rate     [kernel.kallsyms]   [k] ip_sublist_rcv
     0.02%  rate     rate                [.] reflect.Value.SetFloat
     0.02%  rate     rate                [.] internal/poll.(*pollDesc).wait
     0.02%  rate     rate                [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.02%  rate     rate                [.] runtime.(*gcWork).balance
     0.02%  rate     [kernel.kallsyms]   [k] __sk_dst_check
     0.02%  rate     rate                [.] context.(*valueCtx).Done
     0.02%  rate     [kernel.kallsyms]   [k] br_fdb_update
