# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 30K of event 'cycles'
# Event count (approx.): 42137420497
#
# Overhead  Command      Shared Object       Symbol                                                                                                         
# ........  ...........  ..................  ...............................................................................................................
#
     0.05%  reservation  [kernel.kallsyms]   [k] ip_finish_output
     0.05%  reservation  reservation         [.] sync.(*poolChain).popTail
     0.05%  reservation  [kernel.kallsyms]   [k] __skb_datagram_iter
     0.05%  reservation  [kernel.kallsyms]   [k] iptable_filter_hook
     0.05%  reservation  reservation         [.] runtime.gcAssistAlloc
     0.05%  reservation  reservation         [.] net.(*TCPConn).Read
     0.05%  reservation  reservation         [.] time.tzset
     0.05%  reservation  reservation         [.] encoding/json.(*decodeState).rescanLiteral
     0.05%  reservation  [kernel.kallsyms]   [k] __dequeue_signal
     0.05%  reservation  reservation         [.] runtime.mPark
     0.05%  reservation  reservation         [.] fmt.(*fmt).fmtInteger
     0.05%  reservation  reservation         [.] runtime.netpollblock
     0.05%  reservation  [kernel.kallsyms]   [k] record_times
     0.05%  reservation  [kernel.kallsyms]   [k] activate_task
     0.05%  reservation  reservation         [.] internal/reflectlite.(*rtype).Comparable
     0.05%  reservation  [kernel.kallsyms]   [k] __vfs_write
     0.05%  reservation  [kernel.kallsyms]   [k] ipv4_conntrack_in
     0.05%  reservation  [kernel.kallsyms]   [k] ksoftirqd_running
     0.05%  reservation  [kernel.kallsyms]   [k] __unqueue_futex
     0.05%  reservation  reservation         [.] fmt.(*ss).scanInt
     0.05%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).itemHandler-fm
     0.05%  reservation  reservation         [.] google.golang.org/grpc.(*Server).traceInfo
     0.05%  reservation  reservation         [.] encoding/json.stateEndValue
     0.05%  reservation  [kernel.kallsyms]   [k] lock_sock_nested
     0.05%  reservation  [kernel.kallsyms]   [k] irq_enter
     0.05%  reservation  [kernel.kallsyms]   [k] __lock_text_start
     0.05%  reservation  [kernel.kallsyms]   [k] nf_nat_ipv4_local_fn
     0.05%  reservation  [kernel.kallsyms]   [k] tcp_event_new_data_sent
     0.05%  reservation  [kernel.kallsyms]   [k] hrtimer_nanosleep
     0.05%  reservation  [kernel.kallsyms]   [k] apparmor_socket_sendmsg
     0.05%  reservation  [kernel.kallsyms]   [k] __sk_dst_check
     0.05%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.05%  reservation  [kernel.kallsyms]   [k] fput_many
     0.05%  reservation  reservation         [.] runtime.netpollready
     0.04%  reservation  [kernel.kallsyms]   [k] dma_direct_map_page
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_schedule_loss_probe
     0.04%  reservation  reservation         [.] runtime.convTstring
     0.04%  reservation  [kernel.kallsyms]   [k] enqueue_to_backlog
     0.04%  reservation  reservation         [.] net/url.unescape
     0.04%  reservation  [kernel.kallsyms]   [k] br_fdb_update
     0.04%  reservation  [kernel.kallsyms]   [k] skb_push
     0.04%  reservation  [kernel.kallsyms]   [k] rcu_irq_enter
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_push
     0.04%  reservation  reservation         [.] strconv.ParseInt
     0.04%  reservation  reservation         [.] runtime.assertI2I2
     0.04%  reservation  [kernel.kallsyms]   [k] mlx5e_poll_rx_cq
     0.04%  reservation  [kernel.kallsyms]   [k] __tcp_push_pending_frames
     0.04%  reservation  [kernel.kallsyms]   [k] ip_vs_reply4
     0.04%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.04%  reservation  [kernel.kallsyms]   [k] aa_profile_af_perm
     0.04%  reservation  [kernel.kallsyms]   [k] fq_codel_dequeue
     0.04%  reservation  [kernel.kallsyms]   [k] netdev_pick_tx
     0.04%  reservation  [kernel.kallsyms]   [k] fdb_find_rcu
     0.04%  reservation  [kernel.kallsyms]   [k] netdev_core_pick_tx
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_clean_rtx_queue
     0.04%  reservation  reservation         [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.04%  reservation  [kernel.kallsyms]   [k] aa_label_sk_perm.part.0
     0.04%  reservation  reservation         [.] internal/poll.runtime_pollWait
     0.04%  reservation  reservation         [.] internal/poll.runtime_pollSetDeadline
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_release_cb
     0.04%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.04%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.04%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).Marshal
     0.04%  reservation  [kernel.kallsyms]   [k] mlx5e_poll_ico_cq
     0.04%  reservation  reservation         [.] math/rand.(*rngSource).Int63
     0.04%  reservation  [kernel.kallsyms]   [k] ep_send_events_proc
     0.04%  reservation  reservation         [.] countbody
     0.04%  reservation  [kernel.kallsyms]   [k] skb_entail
     0.04%  reservation  reservation         [.] fmt.(*fmt).fmtS
     0.04%  reservation  reservation         [.] runtime.duffcopy
     0.04%  reservation  [kernel.kallsyms]   [k] event_sched_in.isra.0
     0.04%  reservation  reservation         [.] runtime.closechan
     0.04%  reservation  [kernel.kallsyms]   [k] sock_recvmsg
     0.04%  reservation  reservation         [.] runtime.scanframeworker
     0.04%  reservation  reservation         [.] google.golang.org/grpc.(*Server).sendResponse
     0.04%  reservation  [kernel.kallsyms]   [k] __vxlan_find_mac
     0.04%  reservation  reservation         [.] net.(*conn).Write
     0.04%  reservation  reservation         [.] golang.org/x/net/http2.(*Framer).endWrite
     0.04%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.04%  reservation  [kernel.kallsyms]   [k] mutex_lock
     0.04%  reservation  [kernel.kallsyms]   [k] brnf_get_logical_dev
     0.04%  reservation  [kernel.kallsyms]   [k] apparmor_file_permission
     0.04%  reservation  [kernel.kallsyms]   [k] sock_rfree
     0.04%  reservation  reservation         [.] reflect.(*rtype).Elem
     0.04%  reservation  [kernel.kallsyms]   [k] cpumask_next_wrap
     0.04%  reservation  [kernel.kallsyms]   [k] check_preempt_curr
     0.04%  reservation  [kernel.kallsyms]   [k] flush_tlb_func_common.constprop.0
     0.04%  reservation  reservation         [.] fmt.(*readRune).UnreadRune
     0.04%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.04%  reservation  reservation         [.] reflect.Value.Set
     0.04%  reservation  reservation         [.] internal/poll.setDeadlineImpl
     0.04%  reservation  reservation         [.] runtime.netpollblockcommit
     0.04%  reservation  reservation         [.] runtime.isSystemGoroutine
     0.04%  reservation  reservation         [.] runtime.(*mspan).nextFreeIndex
     0.04%  reservation  reservation         [.] runtime.deductSweepCredit
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_cleanup_rbuf
     0.04%  reservation  [kernel.kallsyms]   [k] ip_send_check
     0.04%  reservation  [kernel.kallsyms]   [k] get_futex_key_refs.isra.0
     0.04%  reservation  reservation         [.] internal/poll.(*fdMutex).rwunlock
     0.04%  reservation  [kernel.kallsyms]   [k] validate_xmit_xfrm
     0.04%  reservation  reservation         [.] runtime.interhash
     0.04%  reservation  reservation         [.] google.golang.org/grpc.(*Server).handleStream
     0.04%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Span).SetTag
     0.04%  reservation  reservation         [.] fmt.(*ss).okVerb
     0.04%  reservation  [kernel.kallsyms]   [k] __vfs_read
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_queue_rcv
     0.04%  reservation  reservation         [.] runtime.timeSleepUntil
     0.04%  reservation  reservation         [.] github.com/rs/zerolog.(*Event).msg
     0.04%  reservation  [kernel.kallsyms]   [k] pskb_expand_head
     0.04%  reservation  [kernel.kallsyms]   [k] fib_validate_source
     0.04%  reservation  [kernel.kallsyms]   [k] nf_nat_ipv4_fn
     0.04%  reservation  reservation         [.] runtime.convT2I
     0.04%  reservation  reservation         [.] runtime.stackcache_clear
     0.04%  reservation  reservation         [.] runtime.assertE2I2
     0.04%  reservation  reservation         [.] runtime.modtimer
     0.04%  reservation  reservation         [.] sync.(*WaitGroup).Add
     0.04%  reservation  reservation         [.] runtime.entersyscall
     0.04%  reservation  [kernel.kallsyms]   [k] recalc_sigpending
     0.04%  reservation  [kernel.kallsyms]   [k] br_multicast_count
     0.04%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Tracer).reportSpan
     0.04%  reservation  [kernel.kallsyms]   [k] skb_csum_hwoffload_help
     0.04%  reservation  reservation         [.] runtime.funcMaxSPDelta
     0.04%  reservation  [kernel.kallsyms]   [k] notifier_call_chain
     0.04%  reservation  reservation         [.] runtime.funcspdelta
     0.04%  reservation  reservation         [.] google.golang.org/grpc/transport.loopyWriter
     0.04%  reservation  [kernel.kallsyms]   [k] fput
     0.04%  reservation  reservation         [.] internal/poll.(*fdMutex).rwlock
     0.04%  reservation  reservation         [.] runtime.mapdelete_fast32
     0.04%  reservation  reservation         [.] runtime.efaceeq
     0.04%  reservation  reservation         [.] runtime.mapdelete
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_update_skb_after_send
     0.04%  reservation  [kernel.kallsyms]   [k] __copy_skb_header
     0.04%  reservation  reservation         [.] runtime.gfget
     0.04%  reservation  [kernel.kallsyms]   [k] __kfree_skb_flush
     0.04%  reservation  [kernel.kallsyms]   [k] ip_sublist_rcv
     0.04%  reservation  reservation         [.] sync.(*Mutex).Unlock
     0.04%  reservation  reservation         [.] runtime.memequal
     0.04%  reservation  reservation         [.] context.(*cancelCtx).Value
     0.04%  reservation  reservation         [.] runtime.wirep
     0.04%  reservation  [kernel.kallsyms]   [k] reschedule_interrupt
     0.04%  reservation  reservation         [.] encoding/json.(*decodeState).value
     0.04%  reservation  [kernel.kallsyms]   [k] br_pass_frame_up
     0.04%  reservation  [kernel.kallsyms]   [k] inode_permission
     0.04%  reservation  reservation         [.] runtime.(*gcWork).tryGet
     0.04%  reservation  reservation         [.] fmt.(*pp).fmtString
     0.04%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.04%  reservation  reservation         [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.04%  reservation  [kernel.kallsyms]   [k] ext4_getattr
     0.04%  reservation  reservation         [.] strings.genSplit
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_mtu_probe
     0.04%  reservation  [kernel.kallsyms]   [k] tcp_rearm_rto
     0.04%  reservation  [kernel.kallsyms]   [k] inet_get_local_port_range
     0.04%  reservation  [kernel.kallsyms]   [k] check_stack_object
     0.04%  reservation  [kernel.kallsyms]   [k] lock_hrtimer_base
     0.04%  reservation  [kernel.kallsyms]   [k] mutex_unlock
     0.04%  reservation  reservation         [.] runtime.newproc
     0.04%  reservation  [kernel.kallsyms]   [k] br_netif_receive_skb
     0.04%  reservation  reservation         [.] reflect.valueInterface
     0.04%  reservation  reservation         [.] runtime.gcWriteBarrierDX
     0.03%  reservation  reservation         [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.03%  reservation  reservation         [.] google.golang.org/grpc/transport.(*quotaPool).lockedAdd
     0.03%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.03%  reservation  reservation         [.] runtime.notetsleep_internal
     0.03%  reservation  [kernel.kallsyms]   [k] hrtimer_active
     0.03%  reservation  reservation         [.] runtime.chanparkcommit
     0.03%  reservation  reservation         [.] sort.quickSort
     0.03%  reservation  [kernel.kallsyms]   [k] nf_confirm
     0.03%  reservation  [kernel.kallsyms]   [k] page_frag_free
     0.03%  reservation  [kernel.kallsyms]   [k] skb_page_frag_refill
     0.03%  reservation  [kernel.kallsyms]   [k] ipv4_conntrack_local
     0.03%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*ServerList).PickServer
     0.03%  reservation  [kernel.kallsyms]   [k] __intel_pmu_enable_all.constprop.0
     0.03%  reservation  reservation         [.] runtime.adjustdefers
     0.03%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Decoder).Write
     0.03%  reservation  reservation         [.] encoding/json.(*decodeState).literalStore
     0.03%  reservation  reservation         [.] runtime.forEachG
     0.03%  reservation  [kernel.kallsyms]   [k] inet_gro_receive
     0.03%  reservation  reservation         [.] runtime.resolveTypeOff
     0.03%  reservation  [kernel.kallsyms]   [k] mod_timer
     0.03%  reservation  reservation         [.] google.golang.org/grpc/encoding/proto.codec.Marshal
     0.03%  reservation  [kernel.kallsyms]   [k] get_futex_value_locked
     0.03%  reservation  reservation         [.] sync.runtime_procPin
     0.03%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).Write.func1
     0.03%  reservation  [kernel.kallsyms]   [k] aa_file_perm
     0.03%  reservation  reservation         [.] runtime.newproc.func1
     0.03%  reservation  [kernel.kallsyms]   [k] path_init
     0.03%  reservation  reservation         [.] runtime.(*pageAlloc).scavengeReserve
     0.03%  reservation  reservation         [.] runtime.(*gcControllerState).enlistWorker
     0.03%  reservation  [kernel.kallsyms]   [k] get_nohz_timer_target
     0.03%  reservation  reservation         [.] syscall.read
     0.03%  reservation  [kernel.kallsyms]   [k] __alloc_skb
     0.03%  reservation  reservation         [.] github.com/golang/protobuf/proto.mergeAny
     0.03%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*dynamicTable).add
     0.03%  reservation  [kernel.kallsyms]   [k] memcpy_erms
     0.03%  reservation  [kernel.kallsyms]   [k] ep_poll
     0.03%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1
     0.03%  reservation  reservation         [.] time.(*Location).get
     0.03%  reservation  [kernel.kallsyms]   [k] place_entity
     0.03%  reservation  [kernel.kallsyms]   [k] prepend_path.isra.0
     0.03%  reservation  [kernel.kallsyms]   [k] security_socket_recvmsg
     0.03%  reservation  reservation         [.] runtime.gogo.abi0
     0.03%  reservation  reservation         [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.03%  reservation  reservation         [.] sync.(*RWMutex).RUnlock
     0.03%  reservation  reservation         [.] runtime.scanstack
     0.03%  reservation  reservation         [.] runtime.wbBufFlush
     0.03%  reservation  [kernel.kallsyms]   [k] mlx5e_select_queue
     0.03%  reservation  reservation         [.] internal/poll.(*pollDesc).wait
     0.03%  reservation  [kernel.kallsyms]   [k] kfree_skbmem
     0.03%  reservation  reservation         [.] google.golang.org/grpc/encoding/proto.(*codec).Marshal
     0.03%  reservation  [kernel.kallsyms]   [k] map_id_range_down
     0.03%  reservation  [kernel.kallsyms]   [k] get_l4proto
     0.03%  reservation  [kernel.kallsyms]   [k] mlx5_irq_int_handler
     0.03%  reservation  reservation         [.] time.Time.abs
     0.03%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.scanGetResponseLine
     0.03%  reservation  reservation         [.] runtime.evacuate_faststr
     0.03%  reservation  reservation         [.] runtime.strhash
     0.03%  reservation  [kernel.kallsyms]   [k] ip_route_input_rcu
     0.03%  reservation  [kernel.kallsyms]   [k] __wake_up_common
     0.03%  reservation  [kernel.kallsyms]   [k] skb_clone
     0.03%  reservation  reservation         [.] github.com/rs/zerolog.newEvent
     0.03%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.03%  reservation  [kernel.kallsyms]   [k] pick_next_task_idle
     0.03%  reservation  [kernel.kallsyms]   [k] ip_rcv_finish
     0.03%  reservation  [kernel.kallsyms]   [k] enqueue_timer
     0.03%  reservation  [kernel.kallsyms]   [k] mlx5e_poll_xdpsq_cq
     0.03%  reservation  [kernel.kallsyms]   [k] nf_nat_ipv4_out
     0.03%  reservation  reservation         [.] strings.Join
     0.03%  reservation  reservation         [.] github.com/golang/protobuf/proto.mergeStruct
     0.03%  reservation  reservation         [.] runtime.concatstring5
     0.03%  reservation  [kernel.kallsyms]   [k] inet6_sendmsg
     0.03%  reservation  [kernel.kallsyms]   [k] ip_vs_in.part.0
     0.03%  reservation  [kernel.kallsyms]   [k] __x86_indirect_thunk_r14
     0.03%  reservation  reservation         [.] reflect.Value.Elem
     0.03%  reservation  [kernel.kallsyms]   [k] clear_page_erms
     0.03%  reservation  reservation         [.] runtime.goready
     0.03%  reservation  [kernel.kallsyms]   [k] arch_perf_update_userpage
     0.03%  reservation  [kernel.kallsyms]   [k] make_kuid
     0.03%  reservation  [kernel.kallsyms]   [k] tcp_rate_check_app_limited
     0.03%  reservation  [kernel.kallsyms]   [k] vfs_read
     0.03%  reservation  reservation         [.] reflect.Value.SetMapIndex
     0.03%  reservation  [kernel.kallsyms]   [k] sock_sendmsg
     0.03%  reservation  reservation         [.] google.golang.org/grpc.checkRecvPayload
     0.03%  reservation  reservation         [.] fmt.(*ss).scanNumber
     0.03%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.03%  reservation  [kernel.kallsyms]   [k] dev_gro_receive
     0.03%  reservation  [kernel.kallsyms]   [k] plist_add
     0.03%  reservation  [kernel.kallsyms]   [k] mlx5e_build_rx_skb
     0.03%  reservation  [kernel.kallsyms]   [k] new_sync_read
     0.03%  reservation  reservation         [.] syscall.Getwd
     0.03%  reservation  [kernel.kallsyms]   [k] udp4_lib_lookup2
     0.03%  reservation  reservation         [.] bufio.(*Writer).Flush
     0.03%  reservation  reservation         [.] runtime.gfput
     0.03%  reservation  [kernel.kallsyms]   [k] _copy_from_user
     0.03%  reservation  [kernel.kallsyms]   [k] br_handle_vlan
     0.03%  reservation  reservation         [.] golang.org/x/net/http2/hpack.readVarInt
     0.03%  reservation  [kernel.kallsyms]   [k] common_perm_cond
     0.03%  reservation  [kernel.kallsyms]   [k] common_perm
     0.03%  reservation  reservation         [.] runtime.gcAssistAlloc1
     0.03%  reservation  reservation         [.] runtime.sendDirect
     0.03%  reservation  [kernel.kallsyms]   [k] skb_release_head_state
     0.03%  reservation  [kernel.kallsyms]   [k] security_socket_sendmsg
     0.03%  reservation  [kernel.kallsyms]   [k] sch_direct_xmit
     0.03%  reservation  reservation         [.] runtime.park_m
     0.03%  reservation  reservation         [.] runtime.(*semaRoot).dequeue
     0.03%  reservation  [kernel.kallsyms]   [k] __iptunnel_pull_header
     0.03%  reservation  reservation         [.] sync.(*poolChain).popHead
     0.03%  reservation  [kernel.kallsyms]   [k] find_next_bit
     0.03%  reservation  reservation         [.] github.com/uber/jaeger-client-go.SpanIDFromString
     0.03%  reservation  [kernel.kallsyms]   [k] skb_ensure_writable
     0.03%  reservation  [kernel.kallsyms]   [k] tcp_current_mss
     0.03%  reservation  [kernel.kallsyms]   [k] __tcp_ack_snd_check
     0.03%  reservation  [kernel.kallsyms]   [k] mlx5e_handle_rx_dim
     0.03%  reservation  [kernel.kallsyms]   [k] fast_mix
     0.03%  reservation  reservation         [.] runtime.memhash64
     0.03%  reservation  reservation         [.] syscall.Getenv
     0.03%  reservation  [kernel.kallsyms]   [k] intel_pmu_disable_all
     0.03%  reservation  [kernel.kallsyms]   [k] intel_pstate_update_util
     0.03%  reservation  reservation         [.] runtime.gcWriteBarrierBX
     0.03%  reservation  reservation         [.] runtime.selectnbsend
     0.03%  reservation  [kernel.kallsyms]   [k] ip_local_out
     0.03%  reservation  [kernel.kallsyms]   [k] ep_item_poll.isra.0
     0.03%  reservation  reservation         [.] runtime.semacquire1
     0.03%  reservation  [kernel.kallsyms]   [k] find_exception
     0.03%  reservation  reservation         [.] runtime.cgoSigtramp
     0.03%  reservation  reservation         [.] runtime.deferreturn
     0.03%  reservation  reservation         [.] runtime.(*gcWork).dispose
     0.03%  reservation  [kernel.kallsyms]   [k] rcu_all_qs
     0.03%  reservation  reservation         [.] reflect.(*structType).FieldByName
     0.03%  reservation  [kernel.kallsyms]   [k] apparmor_socket_recvmsg
     0.03%  reservation  reservation         [.] github.com/golang/protobuf/proto.(*Buffer).dec_slice_string
     0.03%  reservation  [kernel.kallsyms]   [k] skb_defer_rx_timestamp
     0.03%  reservation  reservation         [.] reflect.(*rtype).Kind
     0.03%  reservation  [kernel.kallsyms]   [k] kmalloc_slab
     0.03%  reservation  [kernel.kallsyms]   [k] ksys_read
     0.03%  reservation  [kernel.kallsyms]   [k] wake_up_q
     0.03%  reservation  [kernel.kallsyms]   [k] tcp_wfree
     0.03%  reservation  [kernel.kallsyms]   [k] hrtimer_start_range_ns
     0.03%  reservation  [kernel.kallsyms]   [k] tcp_v4_early_demux
     0.03%  reservation  [kernel.kallsyms]   [k] sched_clock_cpu
     0.03%  reservation  reservation         [.] runtime.selunlock
     0.03%  reservation  [kernel.kallsyms]   [k] br_nf_hook_thresh
     0.03%  reservation  [kernel.kallsyms]   [k] nf_nat_packet
     0.03%  reservation  [kernel.kallsyms]   [k] vfs_write
     0.03%  reservation  reservation         [.] bufio.(*Writer).Write
     0.03%  reservation  reservation         [.] net.(*netFD).Write
     0.03%  reservation  reservation         [.] runtime.pcdatavalue1
     0.03%  reservation  [kernel.kallsyms]   [k] inet_ehashfn
     0.03%  reservation  [kernel.kallsyms]   [k] raw_local_deliver
     0.03%  reservation  [kernel.kallsyms]   [k] iptunnel_handle_offloads
     0.02%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw
     0.02%  reservation  [kernel.kallsyms]   [k] siphash_1u32
     0.02%  reservation  reservation         [.] runtime.typedmemclr
     0.02%  reservation  reservation         [.] golang.org/x/net/http2/hpack.(*Decoder).SetEmitFunc
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*inFlow).onRead
     0.02%  reservation  [kernel.kallsyms]   [k] irq_may_run
     0.02%  reservation  reservation         [.] google.golang.org/grpc.encode
     0.02%  reservation  [kernel.kallsyms]   [k] flexible_sched_in
     0.02%  reservation  [kernel.kallsyms]   [k] select_estimate_accuracy
     0.02%  reservation  reservation         [.] sync.runtime_procUnpin
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_poll
     0.02%  reservation  reservation         [.] github.com/rs/zerolog.Level.String
     0.02%  reservation  reservation         [.] gopkg.in/mgo%2ev2.(*mongoCluster).Acquire
     0.02%  reservation  [kernel.kallsyms]   [k] attach_entity_load_avg
     0.02%  reservation  [kernel.kallsyms]   [k] passthru_features_check
     0.02%  reservation  reservation         [.] time.Time.Before
     0.02%  reservation  [kernel.kallsyms]   [k] inet_recvmsg
     0.02%  reservation  [kernel.kallsyms]   [k] _cond_resched
     0.02%  reservation  reservation         [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.02%  reservation  [kernel.kallsyms]   [k] call_function_interrupt
     0.02%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnSetTag
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*recvBuffer).load
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.02%  reservation  reservation         [.] gopkg.in/mgo%2ev2.copySession
     0.02%  reservation  [kernel.kallsyms]   [k] generic_permission
     0.02%  reservation  reservation         [.] gopkg.in/mgo%2ev2.(*Stats).socketRefs
     0.02%  reservation  reservation         [.] encoding/json.(*Decoder).Decode
     0.02%  reservation  [kernel.kallsyms]   [k] __ip_local_out
     0.02%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.func1
     0.02%  reservation  reservation         [.] reflect.mapassign
     0.02%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.dwrap.5
     0.02%  reservation  reservation         [.] google.golang.org/grpc.(*Server).serveStreams.func1
     0.02%  reservation  reservation         [.] runtime.chanrecv1
     0.02%  reservation  [kernel.kallsyms]   [k] release_sock
     0.02%  reservation  [kernel.kallsyms]   [k] ttwu_do_wakeup
     0.02%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.02%  reservation  reservation         [.] internal/bytealg.CountString.abi0
     0.02%  reservation  reservation         [.] google.golang.org/grpc.(*Server).serveStreams.func2
     0.02%  reservation  reservation         [.] runtime.startm
     0.02%  reservation  reservation         [.] internal/poll.(*FD).readUnlock
     0.02%  reservation  reservation         [.] runtime.(*pageAlloc).update
     0.02%  reservation  [kernel.kallsyms]   [k] __enqueue_entity
     0.02%  reservation  [kernel.kallsyms]   [k] __xfrm_decode_session
     0.02%  reservation  reservation         [.] fmt.(*pp).free
     0.02%  reservation  [kernel.kallsyms]   [k] setup_sigcontext
     0.02%  reservation  reservation         [.] runtime.sighandler
     0.02%  reservation  reservation         [.] runtime.(*mcentral).uncacheSpan
     0.02%  reservation  [kernel.kallsyms]   [k] __x64_sys_write
     0.02%  reservation  reservation         [.] runtime.makemap_small
     0.02%  reservation  reservation         [.] runtime.suspendG
     0.02%  reservation  reservation         [.] runtime.chanrecv2
     0.02%  reservation  [kernel.kallsyms]   [k] __skb_ext_put
     0.02%  reservation  reservation         [.] golang.org/x/net/http2.readFrameHeader
     0.02%  reservation  reservation         [.] bytes.(*Buffer).Write
     0.02%  reservation  [kernel.kallsyms]   [k] security_file_permission
     0.02%  reservation  reservation         [.] runtime.doaddtimer
     0.02%  reservation  [kernel.kallsyms]   [k] get_signal
     0.02%  reservation  [kernel.kallsyms]   [k] is_skb_forwardable
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).closeStream
     0.02%  reservation  [kernel.kallsyms]   [k] __cgroup_account_cputime
     0.02%  reservation  reservation         [.] reflect.unsafe_New
     0.02%  reservation  [kernel.kallsyms]   [k] hrtimer_try_to_cancel
     0.02%  reservation  [kernel.kallsyms]   [k] security_inode_getattr
     0.02%  reservation  [kernel.kallsyms]   [k] __netif_receive_skb
     0.02%  reservation  reservation         [.] time.Time.Clock
     0.02%  reservation  reservation         [.] fmt.(*ss).free
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_rbtree_insert
     0.02%  reservation  [kernel.kallsyms]   [k] group_sched_in
     0.02%  reservation  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.02%  reservation  [kernel.kallsyms]   [k] nf_checksum
     0.02%  reservation  [kernel.kallsyms]   [k] tcp_v4_send_check
     0.02%  reservation  reservation         [.] reflect.Value.Pointer
     0.02%  reservation  reservation         [.] runtime.forEachP
     0.02%  reservation  [kernel.kallsyms]   [k] handle_irq_event
     0.02%  reservation  reservation         [.] context.propagateCancel
     0.02%  reservation  [kernel.kallsyms]   [k] ep_scan_ready_list.constprop.0
     0.02%  reservation  reservation         [.] fmt.Fscanf
     0.02%  reservation  reservation         [.] google.golang.org/grpc/transport.newFramer.func1
     0.02%  reservation  [kernel.kallsyms]   [k] __usecs_to_jiffies
     0.02%  reservation  reservation         [.] reflect.Value.assignTo
     0.02%  reservation  [kernel.kallsyms]   [k] ovl_override_creds
     0.02%  reservation  [kernel.kallsyms]   [k] check_cfs_rq_runtime
     0.02%  reservation  reservation         [.] github.com/golang/protobuf/proto.isProto3Zero
     0.02%  reservation  [kernel.kallsyms]   [k] udp_set_csum
     0.02%  reservation  [kernel.kallsyms]   [k] memcpy
     0.02%  reservation  [kernel.kallsyms]   [k] d_namespace_path.constprop.0
     0.02%  reservation  [kernel.kallsyms]   [k] handle_irq_event_percpu
     0.02%  reservation  [kernel.kallsyms]   [k] sched_clock
     0.02%  reservation  [kernel.kallsyms]   [k] x2apic_send_IPI
     0.02%  reservation  reservation         [.] github.com/golang/protobuf/proto.Clone
     0.02%  reservation  [kernel.kallsyms]   [k] llist_reverse_order
     0.02%  reservation  [kernel.kallsyms]   [k] flush_smp_call_function_queue
     0.02%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).getConn
     0.02%  reservation  [kernel.kallsyms]   [k] hrtimer_force_reprogram
     0.02%  reservation  [kernel.kallsyms]   [k] cpumask_next_and
