top - 09:14:36 up 5 days,  8:10,  3 users,  load average: 1.43, 0.91, 1.27
Tasks: 418 total,   6 running, 412 sleeping,   0 stopped,   0 zombie
%Cpu(s): 32.6 us,  4.2 sy,  0.0 ni, 61.7 id,  0.0 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :  64180.5 total,  27892.8 free,  24397.9 used,  11889.8 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  39066.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  81645 root      20   0  720064   9440   7316 S   0.0   0.0   0:04.34 containerd-shim
  81680 root      20   0  720064   9384   7316 S   0.0   0.0   0:03.76 containerd-shim
  81713 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:3-rcu_par_gp
  81720 11211     20   0  411344   4152   3316 S   0.0   0.0   0:07.45 memcached
  81721 systemd+  20   0 3501712   1.6g  43976 S   0.0   2.6  68:33.53 mongod
  81737 systemd+  20   0 1582980  99632  43216 S   0.0   0.2   4:31.46 mongod
  81884 root      20   0 1746100   3956   2944 S   0.0   0.0   0:00.04 docker-proxy
  81893 root      20   0 1598380   4044   3040 S   0.0   0.0   0:00.04 docker-proxy
  81993 root      20   0  720064  10628   8372 S   0.0   0.0   0:03.99 containerd-shim
  82115 root      20   0 1745844   3988   2976 S   0.0   0.0   0:00.04 docker-proxy
  82123 root      20   0 1672112   4048   3040 S   0.0   0.0   0:00.04 docker-proxy
  82207 root      20   0  720320   9424   7316 S   0.0   0.0   0:04.13 containerd-shim
  82208 root      20   0  720320   8696   6740 S   0.0   0.0   0:04.13 containerd-shim
  82250 root      20   0   41288   8196   6944 S   0.0   0.0   0:00.04 openresty
  82251 root      20   0   10.0g  11916   7352 S   0.0   0.0   1:27.02 UniqueIdService
  82264 root      20   0       0      0      0 I   0.0   0.0   0:03.82 kworker/8:0-mm_percpu_wq
  82351 root      20   0  720320  10748   8424 S   0.0   0.0   0:04.17 containerd-shim
  82386 root      20   0   10.2g  35636  10256 S   0.0   0.1  29:47.03 UserService
  82396 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82397 nobody    20   0   41692   3580   2124 S   0.0   0.0   0:00.00 openresty
  82398 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82399 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82400 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82401 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82402 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82403 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82404 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82405 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82406 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82407 nobody    20   0   41692   3584   2124 S   0.0   0.0   0:00.00 openresty
  82408 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82409 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82410 nobody    20   0   41692   4260   2580 S   0.0   0.0   0:00.00 openresty
  82411 nobody    20   0   41692   4324   2644 S   0.0   0.0   0:00.00 openresty
  82458 root      20   0  720320   9384   7316 S   0.0   0.0   0:03.91 containerd-shim
  82480 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/16:1-rcu_par_gp
  82534 root      20   0 1671856   4032   3040 S   0.0   0.0   0:00.05 docker-proxy
  82535 root      20   0   10.1g  15852  10248 S   0.0   0.0   3:58.23 UrlShortenServi
  82547 root      20   0 1672112   3996   2984 S   0.0   0.0   0:00.04 docker-proxy
  82592 root      20   0  720064   9476   7316 S   0.0   0.0   0:04.01 containerd-shim
  82604 root      20   0  720064  10808   8424 S   0.0   0.0   0:03.99 containerd-shim
  82629 root      20   0  720064   9504   7380 S   0.0   0.0   0:04.15 containerd-shim
  82674 root      20   0   10.1g 307928  10752 S   0.0   0.5 130:01.35 SocialGraphServ
  82680 root      20   0   10.0g  36588   7576 S   0.0   0.1  28:36.23 ComposePostServ
  82755 root      20   0  720064   9508   7380 S   0.0   0.0   0:03.92 containerd-shim
  82814 root      20   0  720064  10540   8372 S   0.0   0.0   0:03.94 containerd-shim
  82825 root      20   0   10.1g  17396  10412 S   0.0   0.0   3:49.78 UserTimelineSer
  82847 root      20   0  720320  10640   8436 S   0.0   0.0   0:03.93 containerd-shim
  82886 root      20   0   10.0g  11236   7296 S   0.0   0.0   1:25.17 MediaService
  82888 root      20   0   10.1g  20388   7452 S   0.0   0.0  13:23.19 TextService
  82995 root      20   0 1598380   4060   3052 S   0.0   0.0   0:00.04 docker-proxy
  83009 root      20   0  720320   9576   7316 S   0.0   0.0   0:03.99 containerd-shim
  83041 root      20   0  720064  10716   8488 S   0.0   0.0   0:03.94 containerd-shim
  83065 root      20   0       0      0      0 I   0.0   0.0   0:15.97 kworker/0:3-events
  83091 root      20   0       0      0      0 I   0.0   0.0   0:08.13 kworker/13:2-events
  83102 root      20   0   64876  10148   7956 S   0.0   0.0   0:00.06 openresty
  83121 root      20   0  720064  10544   8436 S   0.0   0.0   0:04.06 containerd-shim
  83168 root      20   0    9.9g  15176  10128 S   0.0   0.0   4:10.03 UserMentionServ
  83238 nobody    20   0  140856  14760   7988 S   0.0   0.0   2:33.78 openresty
  83252 nobody    20   0  142832  16716   7988 S   0.0   0.0   2:38.32 openresty
 372065 root      20   0       0      0      0 I   0.0   0.0   0:00.55 kworker/10:0-events
1360739 root      20   0       0      0      0 I   0.0   0.0   0:02.66 kworker/7:1-rcu_par_gp
1975613 root      20   0       0      0      0 I   0.0   0.0   0:00.58 kworker/17:2-events
2817657 root      20   0       0      0      0 I   0.0   0.0   0:00.62 kworker/u40:1-mlx5_cmd_0000:07:00.1
2817658 root      20   0       0      0      0 I   0.0   0.0   0:00.59 kworker/u40:2-mlx5_cmd_0000:03:00.1
3028276 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker/u40:3-mlx5_cmd_0000:03:00.1
3383156 root      20   0       0      0      0 I   0.0   0.0   0:04.22 kworker/18:0-events
3383159 root      20   0       0      0      0 I   0.0   0.0   0:04.77 kworker/7:2-events
3383175 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1-events
3383178 root      20   0       0      0      0 I   0.0   0.0   0:04.54 kworker/8:2-events
3456333 root      20   0       0      0      0 I   0.0   0.0   0:07.62 kworker/11:0-mm_percpu_wq
3569995 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker/10:1-events
3573617 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u40:5-mlx5_cmd_0000:03:00.0
3573653 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/14:0-events
3573908 root      20   0   13808   8964   7516 S   0.0   0.0   0:00.02 sshd
3573939 chenqh23  20   0   13944   5240   3780 S   0.0   0.0   0:00.02 sshd
3573940 chenqh23  20   0   10892   5156   3508 S   0.0   0.0   0:00.05 bash
3574074 chenqh23  20   0    2608    596    528 S   0.0   0.0   0:00.00 sh
3574084 chenqh23  20   0  965028  99692  42772 S   0.0   0.2   0:05.81 node
3574151 chenqh23  20   0  707272  57268  39424 S   0.0   0.1   0:00.43 node
3574187 root      20   0   13804   8932   7488 S   0.0   0.0   0:00.01 sshd
3574218 chenqh23  20   0   13944   6192   4548 S   0.0   0.0   0:00.22 sshd
3574219 chenqh23  20   0    9572   3524   3248 S   0.0   0.0   0:00.00 bash
3574222 chenqh23  20   0   10020   4100   3232 S   0.0   0.0   0:00.02 bash
3574274 chenqh23  20   0  955064  97612  43740 S   0.0   0.1   0:03.90 node
3574285 chenqh23  20   0  849176  52708  38840 S   0.0   0.1   0:00.68 node
3574409 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u40:0-mlx5_cmd_0000:07:00.1
3585181 root      20   0   13800   8916   7476 S   0.0   0.0   0:00.02 sshd
3585211 chenqh23  20   0   13936   5968   4504 S   0.0   0.0   0:00.06 sshd
3585212 chenqh23  20   0   10892   5288   3624 S   0.0   0.0   0:00.06 bash
4144236 root      20   0       0      0      0 I   0.0   0.0   0:03.10 kworker/17:1-events
4144751 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/9:2-cgroup_destroy
4144752 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/15:1
4167344 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/u40:4-events_power_efficient
