# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3186284182
#
# Overhead  Command      Shared Object          Symbol                                            
# ........  ...........  .....................  ..................................................
#
     0.03%  mc-worker    [kernel.kallsyms]      [k] __skb_clone
     0.03%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_unlock_bh
     0.03%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb
     0.03%  mc-worker    [kernel.kallsyms]      [k] nf_bridge_update_protocol
     0.03%  mc-worker    [kernel.kallsyms]      [k] mlx5_eq_cq_get
     0.03%  mc-worker    [kernel.kallsyms]      [k] skb_ensure_writable
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] do_nanosleep
     0.03%  mc-worker    [kernel.kallsyms]      [k] fpregs_assert_state_consistent
     0.03%  mc-worker    [kernel.kallsyms]      [k] __enqueue_entity
     0.03%  mc-worker    [kernel.kallsyms]      [k] nf_confirm
     0.03%  mc-worker    [kernel.kallsyms]      [k] inet_proto_csum_replace4
     0.03%  mc-worker    [kernel.kallsyms]      [k] tcp_options_write
     0.03%  mc-worker    [kernel.kallsyms]      [k] memset_erms
     0.03%  mc-worker    [kernel.kallsyms]      [k] smp_apic_timer_interrupt
     0.03%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_send_check
     0.03%  mc-worker    [kernel.kallsyms]      [k] __clear_user
     0.03%  mc-worker    [kernel.kallsyms]      [k] swapgs_restore_regs_and_return_to_usermode
     0.03%  mc-worker    [kernel.kallsyms]      [k] skb_pull
     0.03%  mc-worker    [kernel.kallsyms]      [k] check_preempt_curr
     0.03%  mc-worker    [kernel.kallsyms]      [k] task_tick_fair
     0.03%  mc-worker    libevent-2.1.so.7.0.1  [.] epoll_wait@plt
     0.03%  mc-lrumaint  [kernel.kallsyms]      [k] read_tsc
     0.03%  mc-worker    [kernel.kallsyms]      [k] tcp_parse_md5sig_option
     0.03%  mc-worker    [kernel.kallsyms]      [k] tcp_established_options
     0.03%  mc-worker    [kernel.kallsyms]      [k] sock_recvmsg
     0.02%  mc-worker    [kernel.kallsyms]      [k] ___slab_alloc
     0.02%  mc-worker    [kernel.kallsyms]      [k] __fsnotify_parent
     0.02%  mc-worker    [kernel.kallsyms]      [k] ip_vs_in
     0.02%  mc-lrumaint  [kernel.kallsyms]      [k] mlx5e_poll_ico_cq
     0.02%  mc-worker    [kernel.kallsyms]      [k] tcp_chrono_stop
     0.02%  mc-worker    [kernel.kallsyms]      [k] dev_queue_xmit
     0.02%  mc-worker    [kernel.kallsyms]      [k] sock_zerocopy_put
     0.02%  mc-worker    [kernel.kallsyms]      [k] ip_vs_forward_icmp
     0.02%  mc-worker    memcached              [.] limited_get
     0.02%  mc-worker    [kernel.kallsyms]      [k] ip_vs_local_request4
     0.02%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb_one_core
     0.02%  mc-worker    [kernel.kallsyms]      [k] sk_free
     0.02%  mc-worker    [kernel.kallsyms]      [k] nf_ip_checksum
     0.02%  mc-worker    [kernel.kallsyms]      [k] irq_exit
     0.02%  mc-worker    [kernel.kallsyms]      [k] cpus_share_cache
     0.02%  mc-worker    libc.so.6              [.] strtouq
     0.02%  mc-worker    [kernel.kallsyms]      [k] perf_event_update_time
     0.02%  mc-worker    [kernel.kallsyms]      [k] __nf_ct_refresh_acct
     0.02%  mc-worker    [kernel.kallsyms]      [k] rcu_irq_enter
     0.02%  mc-worker    [kernel.kallsyms]      [k] aa_label_next_confined
     0.02%  mc-worker    [kernel.kallsyms]      [k] tcp_newly_delivered
     0.02%  mc-worker    [kernel.kallsyms]      [k] ip_finish_output
     0.02%  mc-worker    [kernel.kallsyms]      [k] __hrtimer_next_event_base
     0.02%  mc-worker    [kernel.kallsyms]      [k] copyout
     0.02%  mc-worker    [kernel.kallsyms]      [k] setup_pre_routing
     0.02%  mc-worker    [kernel.kallsyms]      [k] tcp_small_queue_check.isra.0
     0.02%  mc-worker    memcached              [.] do_cache_alloc
     0.02%  mc-worker    [kernel.kallsyms]      [k] __vfs_read
     0.02%  mc-worker    [kernel.kallsyms]      [k] tcp_recv_timestamp
     0.02%  mc-worker    [kernel.kallsyms]      [k] migrate_task_rq_fair
     0.02%  mc-worker    [kernel.kallsyms]      [k] __dev_forward_skb
     0.02%  mc-worker    [kernel.kallsyms]      [k] sockfd_lookup_light
     0.02%  mc-worker    [kernel.kallsyms]      [k] hrtick_update
     0.02%  mc-worker    [kernel.kallsyms]      [k] note_interrupt
     0.02%  mc-worker    [kernel.kallsyms]      [k] aa_label_is_subset
     0.02%  mc-worker    libc.so.6              [.] strtoimax
     0.02%  mc-worker    [kernel.kallsyms]      [k] __fdget
     0.02%  mc-worker    [kernel.kallsyms]      [k] __handle_irq_event_percpu
     0.02%  mc-worker    [kernel.kallsyms]      [k] mlx5_eq_comp_int
     0.02%  mc-worker    [kernel.kallsyms]      [k] do_csum
     0.02%  mc-worker    memcached              [.] resp_add_iov
     0.02%  mc-worker    libevent-2.1.so.7.0.1  [.] clock_gettime@plt
     0.02%  mc-worker    [kernel.kallsyms]      [k] net_dim
     0.02%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_do_rcv
     0.02%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_fn
     0.02%  mc-worker    [kernel.kallsyms]      [k] enqueue_timer
     0.02%  mc-worker    [kernel.kallsyms]      [k] __accumulate_pelt_segments
     0.02%  mc-lrumaint  [kernel.kallsyms]      [k] cpuacct_charge
     0.02%  mc-worker    [kernel.kallsyms]      [k] bictcp_cwnd_event
     0.02%  mc-worker    [kernel.kallsyms]      [k] br_forward
     0.02%  mc-worker    [kernel.kallsyms]      [k] calc_wheel_index
     0.02%  mc-worker    [kernel.kallsyms]      [k] inet_send_prepare
     0.02%  mc-worker    libevent-2.1.so.7.0.1  [.] event_changelist_remove_all_@plt
     0.02%  mc-worker    [kernel.kallsyms]      [k] tcp_event_data_recv
     0.02%  mc-worker    [kernel.kallsyms]      [k] find_next_and_bit
     0.02%  mc-worker    [kernel.kallsyms]      [k] br_handle_vlan
     0.01%  mc-worker    [kernel.kallsyms]      [k] hrtimer_interrupt
     0.01%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing_finish_bridge
     0.01%  mc-worker    libevent-2.1.so.7.0.1  [.] evmap_io_active_@plt
     0.01%  mc-worker    [kernel.kallsyms]      [k] group_sched_in
     0.01%  mc-worker    [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.0
     0.01%  mc-worker    [kernel.kallsyms]      [k] mlx5e_napi_poll
     0.01%  mc-worker    [kernel.kallsyms]      [k] ip_vs_remote_request4
     0.01%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_rcx
     0.01%  mc-worker    [kernel.kallsyms]      [k] default_wake_function
     0.01%  mc-worker    [kernel.kallsyms]      [k] __pm_relax
     0.01%  mc-worker    [kernel.kallsyms]      [k] perf_log_itrace_start
     0.01%  mc-worker    [kernel.kallsyms]      [k] prepare_exit_to_usermode
     0.01%  mc-worker    [kernel.kallsyms]      [k] iov_iter_init
     0.01%  mc-worker    [kernel.kallsyms]      [k] mlx5e_poll_xdpsq_cq
     0.01%  mc-worker    [kernel.kallsyms]      [k] schedule_hrtimeout_range
     0.01%  mc-worker    [kernel.kallsyms]      [k] wakeup_preempt_entity.isra.0
     0.01%  mc-worker    memcached              [.] do_cache_free
     0.01%  mc-worker    [kernel.kallsyms]      [k] skb_csum_hwoffload_help
     0.01%  mc-worker    [kernel.kallsyms]      [k] aa_check_perms
     0.01%  mc-worker    [kernel.kallsyms]      [k] finish_task_switch
     0.01%  mc-worker    [kernel.kallsyms]      [k] tcp_send_mss
     0.01%  mc-worker    [kernel.kallsyms]      [k] tcp_rack_update_reo_wnd
     0.01%  mc-worker    [kernel.kallsyms]      [k] timerqueue_add
     0.01%  mc-lrumaint  memcached              [.] lru_maintainer_thread
     0.01%  mc-worker    [kernel.kallsyms]      [k] do_softirq_own_stack
     0.01%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_r8
     0.01%  mc-worker    [kernel.kallsyms]      [k] ktime_get_update_offsets_now
     0.01%  mc-worker    [kernel.kallsyms]      [k] skb_pull_rcsum
     0.01%  mc-worker    [kernel.kallsyms]      [k] mlx5e_completion_event
     0.01%  mc-worker    memcached              [.] memchr@plt
     0.01%  mc-worker    [kernel.kallsyms]      [k] update_process_times
     0.01%  mc-lrumaint  [kernel.kallsyms]      [k] perf_swevent_add
     0.01%  mc-worker    [kernel.kallsyms]      [k] cpumask_next_wrap
     0.01%  mc-worker    [kernel.kallsyms]      [k] ip_vs_out
     0.01%  mc-worker    [kernel.kallsyms]      [k] __tcp_ack_snd_check
     0.01%  mc-worker    [kernel.kallsyms]      [k] irq_enter
     0.01%  mc-worker    memcached              [.] process_update_command
     0.01%  mc-worker    memcached              [.] storage_delete
     0.01%  mc-worker    memcached              [.] slabs_alloc
     0.01%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_trylock
     0.01%  mc-worker    [kernel.kallsyms]      [k] ipod_hook_fn
     0.01%  mc-worker    [kernel.kallsyms]      [k] rw_verify_area
     0.01%  mc-worker    [kernel.kallsyms]      [k] napi_schedule_prep
     0.01%  mc-lrumaint  [kernel.kallsyms]      [k] dequeue_task_fair
     0.01%  mc-lrumaint  [kernel.kallsyms]      [k] visit_groups_merge
     0.01%  mc-worker    [kernel.kallsyms]      [k] account_entity_enqueue
     0.01%  mc-worker    [kernel.kallsyms]      [k] mlx5e_skb_from_cqe_linear
     0.01%  mc-worker    [kernel.kallsyms]      [k] perf_pmu_disable.part.0
     0.01%  mc-worker    [kernel.kallsyms]      [k] __release_sock
     0.01%  mc-lrumaint  [kernel.kallsyms]      [k] clear_user
     0.01%  mc-worker    memcached              [.] do_item_remove
     0.01%  mc-worker    memcached              [.] strcmp@plt
     0.01%  mc-worker    [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.01%  mc-worker    [kernel.kallsyms]      [k] should_failslab
     0.01%  mc-worker    [kernel.kallsyms]      [k] __wake_up_sync_key
     0.01%  mc-worker    [kernel.kallsyms]      [k] inet_gro_receive
     0.01%  mc-worker    [kernel.kallsyms]      [k] ret_from_intr
     0.01%  mc-worker    [kernel.kallsyms]      [k] remove_entity_load_avg
     0.01%  mc-worker    [kernel.kallsyms]      [k] __x64_sys_read
     0.01%  mc-worker    [kernel.kallsyms]      [k] _copy_to_iter
     0.01%  mc-worker    [kernel.kallsyms]      [k] sk_page_frag_refill
     0.01%  mc-worker    [kernel.kallsyms]      [k] perf_event_sched_in
     0.01%  mc-worker    [kernel.kallsyms]      [k] vxlan_rcv
     0.01%  mc-worker    [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.01%  mc-worker    [kernel.kallsyms]      [k] native_apic_msr_eoi_write
     0.01%  mc-worker    [kernel.kallsyms]      [k] tcp_chrono_start
     0.01%  mc-worker    [kernel.kallsyms]      [k] tcp_sendmsg
     0.01%  mc-worker    [kernel.kallsyms]      [k] sched_clock
     0.01%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_lock
     0.01%  mc-worker    [kernel.kallsyms]      [k] mlx5e_poll_tx_cq
     0.01%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_r14
     0.01%  mc-worker    [kernel.kallsyms]      [k] trigger_dyntick_cpu.isra.0
     0.01%  mc-lrumaint  memcached              [.] MurmurHash3_x86_32
     0.01%  mc-worker    [kernel.kallsyms]      [k] select_idle_sibling
     0.01%  mc-worker    [kernel.kallsyms]      [k] put_prev_entity
     0.01%  mc-worker    [kernel.kallsyms]      [k] perf_pmu_nop_void
     0.01%  mc-lrumaint  memcached              [.] lru_pull_tail
     0.01%  mc-worker    [kernel.kallsyms]      [k] arch_perf_update_userpage
     0.01%  mc-worker    [kernel.kallsyms]      [k] __copy_skb_header
     0.01%  mc-worker    [kernel.kallsyms]      [k] dql_completed
     0.01%  mc-worker    [kernel.kallsyms]      [k] skb_free_head
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] update_cfs_group
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] group_sched_in
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] __clear_user
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] common_nsleep
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.00%  mc-worker    [kernel.kallsyms]      [k] nbp_switchdev_allowed_egress
     0.00%  mc-lrumaint  memcached              [.] slab_automove_run
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] timerqueue_add
     0.00%  mc-lrumaint  memcached              [.] do_item_remove
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_disable_all
     0.00%  mc-lrumaint  memcached              [.] fill_item_stats_automove
     0.00%  mc-worker    [kernel.kallsyms]      [k] trigger_load_balance
     0.00%  mc-worker    [kernel.kallsyms]      [k] perf_event_task_tick
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] update_blocked_averages
     0.00%  mc-worker    [kernel.kallsyms]      [k] rebalance_domains
     0.00%  mc-worker    [kernel.kallsyms]      [k] x86_pmu_enable
     0.00%  mc-worker    [kernel.kallsyms]      [k] intel_pmu_enable_all
     0.00%  mc-worker    [kernel.kallsyms]      [k] perf_pmu_enable.part.0
     0.00%  mc-lrumaint  [kernel.kallsyms]      [k] native_write_msr
     0.00%  memcached    [kernel.kallsyms]      [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
