# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 144K of event 'cycles'
# Event count (approx.): 161207679977
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                     
# ........  ...............  ........................  ...........................................................................................................................................................................................................................
#
     0.01%  dockerd          dockerd                   [.] fmt.(*pp).printArg
     0.01%  wrk              libc-2.31.so              [.] __printf_fp
     0.01%  frontend         [kernel.kallsyms]         [k] tcp_sendmsg
     0.01%  frontend         frontend                  [.] gogo
     0.01%  dockerd          [kernel.kallsyms]         [k] udp_lib_get_port
     0.01%  swapper          [kernel.kallsyms]         [k] intel_pstate_update_util
     0.01%  docker-proxy     docker-proxy              [.] runtime.startm
     0.01%  frontend         [kernel.kallsyms]         [k] sched_clock_cpu
     0.01%  docker-proxy     [kernel.kallsyms]         [k] interrupt_entry
     0.01%  wrk              wrk                       [.] lj_vm_floor_sse
     0.01%  frontend         frontend                  [.] github.com/rs/zerolog.consoleDefaultFormatMessage.func1
     0.01%  wrk              [kernel.kallsyms]         [k] ktime_get_with_offset
     0.01%  wrk              wrk                       [.] hashkey.isra.0
     0.01%  frontend         frontend                  [.] reflect.resolveNameOff
     0.01%  frontend         [kernel.kallsyms]         [k] ip_local_deliver
     0.01%  frontend         [kernel.kallsyms]         [k] ipv4_conntrack_local
     0.01%  dockerd          [kernel.kallsyms]         [k] jbd2_journal_get_write_access
     0.01%  frontend         [kernel.kallsyms]         [k] inet_create
     0.01%  docker-proxy     [kernel.kallsyms]         [k] skb_network_protocol
     0.01%  frontend         [kernel.kallsyms]         [k] __ip_finish_output
     0.01%  dockerd          dockerd                   [.] runtime.(*sweepLocker).tryAcquire
     0.01%  dockerd          [kernel.kallsyms]         [k] map_id_up
     0.01%  systemd-udevd    [kernel.kallsyms]         [k] mutex_lock
     0.01%  docker-proxy     [kernel.kallsyms]         [k] tcp_send_mss
     0.01%  wrk              wrk                       [.] lua_tolstring
     0.01%  dockerd          [kernel.kallsyms]         [k] __es_tree_search.isra.0
     0.01%  dockerd          [kernel.kallsyms]         [k] __kmalloc
     0.01%  mongod           mongod                    [.] 0x0000000002f1476d
     0.01%  kworker/3:12-ev  [kernel.kallsyms]         [k] device_cmp
     0.01%  wrk              [kernel.kallsyms]         [k] tcp_check_space
     0.01%  containerd-shim  [kernel.kallsyms]         [k] ktime_get
     0.01%  swapper          [kernel.kallsyms]         [k] set_task_cpu
     0.01%  dockerd          dockerd                   [.] internal/poll.(*FD).ReadMsgInet4
     0.01%  frontend         frontend                  [.] net.dnsPacketRoundTrip
     0.01%  frontend         frontend                  [.] runtime.memequal8
     0.01%  frontend         [kernel.kallsyms]         [k] legitimize_path.isra.0
     0.01%  docker-proxy     [kernel.kallsyms]         [k] hrtimer_start_range_ns
     0.01%  systemd          libsystemd-shared-245.so  [.] internal_hashmap_new
     0.01%  wrk              [kernel.kallsyms]         [k] tcp_cleanup_rbuf
     0.01%  frontend         [kernel.kallsyms]         [k] futex_wait_queue_me
     0.01%  frontend         frontend                  [.] net/url.split
     0.01%  frontend         frontend                  [.] net/http.(*Transport).dialConn
     0.01%  docker-proxy     [kernel.kallsyms]         [k] rb_insert_color
     0.01%  frontend         [kernel.kallsyms]         [k] legitimize_links
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x0000000000006b45
     0.01%  frontend         [kernel.kallsyms]         [k] passthru_features_check
     0.01%  containerd-shim  [kernel.kallsyms]         [k] select_idle_sibling.part.0
     0.01%  frontend         [kernel.kallsyms]         [k] lockref_put_return
     0.01%  dockerd          [kernel.kallsyms]         [k] dev_hard_start_xmit
     0.01%  dockerd          dockerd                   [.] runtime.convTslice
     0.01%  frontend         [kernel.kallsyms]         [k] get_futex_value_locked
     0.01%  wrk              wrk                       [.] lj_BC_ISGE
     0.01%  wrk              [kernel.kallsyms]         [k] __alloc_skb
     0.01%  frontend         frontend                  [.] internal/poll.(*FD).readUnlock
     0.01%  frontend         [kernel.kallsyms]         [k] tcp_recv_timestamp
     0.01%  containerd-shim  [kernel.kallsyms]         [k] __x64_sys_write
     0.01%  docker-proxy     [kernel.kallsyms]         [k] get_nohz_timer_target
     0.01%  frontend         frontend                  [.] runtime.mDoFixup
     0.01%  frontend         [kernel.kallsyms]         [k] kill_fasync
     0.01%  mongod           mongod                    [.] 0x0000000002f14780
     0.01%  docker-proxy     [kernel.kallsyms]         [k] __wake_up_common_lock
     0.01%  dockerd          dockerd                   [.] runtime.mapaccess1
     0.01%  frontend         frontend                  [.] runtime.memclrHasPointers
     0.01%  frontend         [kernel.kallsyms]         [k] apparmor_inode_getattr
     0.01%  dockerd          dockerd                   [.] runtime.updateTimerPMask
     0.01%  dockerd          dockerd                   [.] github.com/miekg/dns.UnpackRRWithHeader
     0.01%  frontend         [kernel.kallsyms]         [k] _copy_from_user
     0.01%  frontend         frontend                  [.] net/http.newTextprotoReader
     0.01%  frontend         [kernel.kallsyms]         [k] _copy_to_iter
     0.01%  frontend         frontend                  [.] runtime.shrinkstack
     0.01%  dockerd          dockerd                   [.] runtime.pcdatavalue
     0.01%  kworker/7:26-ev  [kernel.kallsyms]         [k] inet_cmp
     0.01%  frontend         [kernel.kallsyms]         [k] br_netif_receive_skb
     0.01%  frontend         frontend                  [.] vendor/golang.org/x/net/dns/dnsmessage.(*Name).unpackCompressed
     0.01%  frontend         frontend                  [.] net.(*Resolver).lookupIPAddr
     0.01%  dockerd          [kernel.kallsyms]         [k] __es_insert_extent
     0.01%  frontend         [kernel.kallsyms]         [k] __tcp_ack_snd_check
     0.01%  frontend         [kernel.kallsyms]         [k] do_epoll_wait
     0.01%  frontend         frontend                  [.] reflect.(*rtype).exportedMethods
     0.01%  docker-proxy     [kernel.kallsyms]         [k] bictcp_cong_avoid
     0.01%  wrk              wrk                       [.] lj_BC_ISNEXT
     0.01%  frontend         [kernel.kallsyms]         [k] bictcp_acked
     0.01%  frontend         [kernel.kallsyms]         [k] sched_clock
     0.01%  systemd-journal  libsystemd-shared-245.so  [.] journal_file_fstat
     0.01%  frontend         frontend                  [.] net.(*Resolver).goLookupIPCNAMEOrder.func3.1
     0.01%  dockerd          dockerd                   [.] github.com/miekg/dns.unpackRRslice
     0.01%  frontend         frontend                  [.] runtime.gorecover
     0.01%  kworker/u32:3+n  [kernel.kallsyms]         [k] __local_bh_enable_ip
     0.01%  frontend         frontend                  [.] runtime.doaddtimer
     0.01%  docker-proxy     [kernel.kallsyms]         [k] set_user_sigmask
     0.01%  containerd-shim  [kernel.kallsyms]         [k] lock_hrtimer_base
     0.01%  wrk              [kernel.kallsyms]         [k] tcp_v4_send_check
     0.01%  runc:[2:INIT]    [kernel.kallsyms]         [k] link_path_walk.part.0
     0.01%  docker-proxy     [kernel.kallsyms]         [k] pick_next_entity
     0.01%  frontend         frontend                  [.] runtime.stackcache_clear
     0.01%  containerd-shim  [kernel.kallsyms]         [k] queued_write_lock_slowpath
     0.01%  wrk              wrk                       [.] time@plt
     0.01%  kworker/4:8-eve  [kernel.kallsyms]         [k] iter_net_only
     0.01%  containerd-shim  [kernel.kallsyms]         [k] touch_atime
     0.01%  frontend         [kernel.kallsyms]         [k] override_creds
     0.01%  dockerd          dockerd                   [.] sync.runtime_notifyListWait
     0.01%  frontend         [kernel.kallsyms]         [k] native_apic_msr_eoi_write
     0.01%  containerd       [kernel.kallsyms]         [k] psi_task_change
     0.01%  swapper          [kernel.kallsyms]         [k] udp_v4_early_demux
     0.01%  frontend         [kernel.kallsyms]         [k] ep_poll
     0.01%  docker-proxy     [kernel.kallsyms]         [k] rb_next
     0.01%  docker-proxy     [kernel.kallsyms]         [k] sk_filter_trim_cap
     0.01%  containerd-shim  [kernel.kallsyms]         [k] get_futex_key
     0.01%  swapper          [kernel.kallsyms]         [k] reschedule_interrupt
     0.01%  swapper          [kernel.kallsyms]         [k] ttwu_do_activate
     0.01%  dockerd          [kernel.kallsyms]         [k] generic_write_checks
     0.01%  frontend         [kernel.kallsyms]         [k] ip_send_check
     0.01%  frontend         frontend                  [.] bufio.(*Reader).ReadLine
     0.01%  wrk              [kernel.kallsyms]         [k] _cond_resched
     0.01%  docker-proxy     [kernel.kallsyms]         [k] wakeup_pipe_writers
     0.01%  dockerd          dockerd                   [.] time.Time.locabs
     0.01%  rs:main Q:Reg    [kernel.kallsyms]         [k] do_syscall_64
     0.01%  dockerd          [kernel.kallsyms]         [k] copy_page_to_iter
     0.01%  frontend         frontend                  [.] encoding/json.(*scanner).popParseState
     0.01%  frontend         [kernel.kallsyms]         [k] __usecs_to_jiffies
     0.01%  dockerd          dockerd                   [.] github.com/miekg/dns.Class.String
     0.01%  iptables         libc-2.31.so              [.] _dl_addr
     0.01%  rs:main Q:Reg    [kernel.kallsyms]         [k] xas_find
     0.01%  frontend         frontend                  [.] runtime.checkTimersNoP
     0.01%  dockerd          [kernel.kallsyms]         [k] get_mem_cgroup_from_mm
     0.01%  dockerd          [kernel.kallsyms]         [k] task_work_add
     0.01%  frontend         [kernel.kallsyms]         [k] bictcp_cwnd_event
     0.01%  wrk              wrk                       [.] newtab
     0.01%  dockerd          dockerd                   [.] runtime.semacquire1
     0.01%  dockerd          [kernel.kallsyms]         [k] walk_component
     0.01%  exe              [kernel.kallsyms]         [k] _raw_spin_lock
     0.01%  frontend         frontend                  [.] sync/atomic.runtime_procUnpin
     0.01%  frontend         frontend                  [.] net/url.ParseRequestURI
     0.01%  frontend         frontend                  [.] runtime.(*gcWork).tryGet
     0.01%  dockerd          dockerd                   [.] github.com/miekg/dns.(*Server).readUDP
     0.01%  wrk              [kernel.kallsyms]         [k] new_sync_read
     0.01%  dockerd          [kernel.kallsyms]         [k] ktime_get_ts64
     0.01%  swapper          [kernel.kallsyms]         [k] _local_bh_enable
     0.01%  frontend         frontend                  [.] sync/atomic.CompareAndSwapPointer
     0.01%  frontend         frontend                  [.] runtime.dodeltimer0
     0.01%  wrk              [kernel.kallsyms]         [k] tcp_push
     0.01%  dockerd          dockerd                   [.] time.Time.date
     0.01%  wrk              [kernel.kallsyms]         [k] do_softirq_own_stack
     0.01%  dockerd          [kernel.kallsyms]         [k] ksoftirqd_running
     0.01%  dockerd          [kernel.kallsyms]         [k] rw_copy_check_uvector
     0.01%  docker-proxy     [kernel.kallsyms]         [k] tcp_update_skb_after_send
     0.01%  dockerd          [kernel.kallsyms]         [k] nf_nat_inet_fn
     0.01%  dockerd          [kernel.kallsyms]         [k] xfrm_lookup_with_ifid
     0.01%  frontend         [kernel.kallsyms]         [k] sk_reset_timer
     0.01%  docker-proxy     [kernel.kallsyms]         [k] sk_stream_alloc_skb
     0.01%  frontend         [kernel.kallsyms]         [k] ovl_path_real
     0.01%  kworker/6:9-eve  [kernel.kallsyms]         [k] inet_cmp
     0.01%  wrk              [kernel.kallsyms]         [k] skb_clone_tx_timestamp
     0.01%  containerd-shim  [kernel.kallsyms]         [k] copy_user_generic_unrolled
     0.01%  wrk              wrk                       [.] lj_BC_MOV
     0.01%  kworker/10:2+ev  [kernel.kallsyms]         [k] iter_net_only
     0.01%  dockerd          [kernel.kallsyms]         [k] ktime_get_coarse_real_ts64
     0.01%  dockerd          [kernel.kallsyms]         [k] jbd2__journal_start
     0.01%  docker-proxy     [kernel.kallsyms]         [k] tcp_small_queue_check.isra.0
     0.01%  dockerd          [kernel.kallsyms]         [k] udp_send_skb.isra.0
     0.01%  wrk              wrk                       [.] gc_mark
     0.01%  dockerd          [kernel.kallsyms]         [k] br_handle_frame_finish
     0.01%  docker-proxy     docker-proxy              [.] runtime.park_m
     0.01%  dockerd          [kernel.kallsyms]         [k] plist_add
     0.01%  wrk              [kernel.kallsyms]         [k] iov_iter_advance
     0.01%  frontend         frontend                  [.] net.(*netFD).dial
     0.01%  wrk              wrk                       [.] lj_BC_CAT
     0.01%  docker-proxy     [kernel.kallsyms]         [k] validate_xmit_xfrm
     0.01%  dockerd          [kernel.kallsyms]         [k] ext4_ind_map_blocks
     0.01%  dockerd          dockerd                   [.] github.com/miekg/dns.(*Client).exchange
     0.01%  docker-proxy     [kernel.kallsyms]         [k] apparmor_socket_sock_rcv_skb
     0.01%  dockerd          dockerd                   [.] syscall.ParseNetlinkMessage
     0.01%  swapper          [kernel.kallsyms]         [k] __netif_receive_skb_core
     0.01%  wrk              [kernel.kallsyms]         [k] ip_local_out
     0.01%  frontend         frontend                  [.] sync/atomic.runtime_procPin
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x000000000003febd
     0.01%  dockerd          dockerd                   [.] runtime.pollWork
     0.01%  wrk              [kernel.kallsyms]         [k] tcp_rcv_space_adjust
     0.01%  systemd          libsystemd-shared-245.so  [.] siphash24_compress
     0.01%  dockerd          dockerd                   [.] internal/poll.(*FD).writeUnlock
     0.01%  dockerd          [kernel.kallsyms]         [k] netdev_core_pick_tx
     0.01%  docker-proxy     [kernel.kallsyms]         [k] __fdget
     0.01%  frontend         frontend                  [.] reflect.resolveTypeOff
     0.01%  swapper          [kernel.kallsyms]         [k] __remove_hrtimer
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x000000000003d3ca
     0.01%  dockerd          dockerd                   [.] runtime.(*mheap).freeSpanLocked
     0.01%  docker-proxy     [kernel.kallsyms]         [k] update_blocked_averages
     0.01%  wrk              [kernel.kallsyms]         [k] ksys_write
     0.01%  kworker/13:0-ev  [kernel.kallsyms]         [k] iter_net_only
     0.01%  kworker/u32:3+n  [kernel.kallsyms]         [k] __x86_indirect_thunk_rax
     0.01%  docker-proxy     [kernel.kallsyms]         [k] tcp_newly_delivered
     0.01%  dockerd          [kernel.kallsyms]         [k] do_dentry_open
     0.01%  dockerd          dockerd                   [.] runtime.readyWithTime
     0.01%  swapper          [kernel.kallsyms]         [k] file_free_rcu
     0.01%  frontend         frontend                  [.] github.com/uber/jaeger-client-go.(*Span).LogFields
     0.01%  frontend         [kernel.kallsyms]         [k] __do_sys_newfstatat
     0.01%  frontend         frontend                  [.] net/http.requestBodyRemains
     0.01%  dockerd          [kernel.kallsyms]         [k] apparmor_socket_recvmsg
     0.01%  dockerd          dockerd                   [.] runtime.futexwakeup
     0.01%  frontend         [kernel.kallsyms]         [k] putname
     0.01%  swapper          [kernel.kallsyms]         [k] update_dl_rq_load_avg
     0.01%  dockerd          [kernel.kallsyms]         [k] fget
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x00000000000e37c0
     0.01%  frontend         [kernel.kallsyms]         [k] validate_xmit_xfrm
     0.01%  frontend         [kernel.kallsyms]         [k] tcp_rate_skb_delivered
     0.01%  dockerd          [kernel.kallsyms]         [k] __ext4_journal_get_write_access
     0.01%  dockerd          [kernel.kallsyms]         [k] ctnetlink_dump_zone_id.isra.0
     0.01%  networkd-dispat  python3.8                 [.] _PyEval_EvalFrameDefault
     0.01%  frontend         frontend                  [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.ErrorClass
     0.01%  docker-proxy     docker-proxy              [.] runtime.checkIdleGCNoP
     0.01%  dockerd          dockerd                   [.] runtime.entersyscall
     0.01%  wrk              wrk                       [.] gen_next
     0.01%  dockerd          dockerd                   [.] gogo
     0.01%  exe              [kernel.kallsyms]         [k] zap_pte_range.isra.0
     0.01%  frontend         [kernel.kallsyms]         [k] ___slab_alloc
     0.01%  dockerd          [kernel.kallsyms]         [k] __x64_sys_setns
     0.01%  systemd-udevd    libc-2.31.so              [.] __strspn_sse42
     0.01%  dockerd          dockerd                   [.] golang.org/x/net/ipv4.(*ControlMessage).Parse
     0.01%  wrk              [kernel.kallsyms]         [k] aa_file_perm
     0.01%  frontend         frontend                  [.] runtime.resolveNameOff
     0.01%  wrk              libc-2.31.so              [.] __mpn_extract_double
     0.01%  wrk              wrk                       [.] lj_alloc_realloc
     0.01%  systemd-sysctl   [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.01%  wrk              [kernel.kallsyms]         [k] nf_nat_ipv4_out
     0.01%  dockerd          dockerd                   [.] sync.(*poolChain).pushHead
     0.01%  dockerd          [kernel.kallsyms]         [k] try_charge
     0.01%  swapper          [kernel.kallsyms]         [k] __softirqentry_text_start
     0.01%  wrk              wrk                       [.] luaL_addvalue
     0.01%  swapper          [kernel.kallsyms]         [k] ipt_do_table
     0.01%  dockerd          dockerd                   [.] net.(*netFD).dial
     0.01%  dockerd          [kernel.kallsyms]         [k] ext4_write_checks
     0.01%  docker-proxy     [kernel.kallsyms]         [k] __nf_ct_refresh_acct
     0.01%  dockerd          dockerd                   [.] runtime.concatstring3
     0.01%  wrk              [kernel.kallsyms]         [k] raw_local_deliver
     0.01%  containerd-shim  [kernel.kallsyms]         [k] ksys_write
     0.01%  frontend         [kernel.kallsyms]         [k] zap_pte_range.isra.0
     0.01%  containerd-shim  [kernel.kallsyms]         [k] hrtimer_nanosleep
     0.01%  docker-proxy     [kernel.kallsyms]         [k] __enqueue_entity
     0.01%  docker-proxy     [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x0000000000098517
     0.01%  frontend         [kernel.kallsyms]         [k] place_entity
     0.01%  dockerd          [kernel.kallsyms]         [k] __dentry_kill
     0.01%  dockerd          [kernel.kallsyms]         [k] ep_insert
     0.01%  wrk              [kernel.kallsyms]         [k] release_sock
     0.01%  frontend         [kernel.kallsyms]         [k] iptable_filter_hook
     0.01%  dockerd          dockerd                   [.] runtime.(*gcControllerState).trigger
     0.01%  dockerd          dockerd                   [.] sync.(*Mutex).Lock
     0.01%  frontend         [kernel.kallsyms]         [k] rcu_segcblist_enqueue
     0.01%  docker-proxy     [kernel.kallsyms]         [k] ___slab_alloc
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x0000000000003a49
     0.01%  wrk              [kernel.kallsyms]         [k] native_apic_msr_eoi_write
     0.01%  containerd-shim  containerd-shim-runc-v2   [.] 0x0000000000007506
     0.01%  dockerd          dockerd                   [.] github.com/docker/docker/libnetwork.(*Resolver).serveDNS.func1
     0.01%  dockerd          dockerd                   [.] runtime.wbBufFlush1
     0.01%  swapper          [kernel.kallsyms]         [k] irq_entries_start
     0.01%  frontend         [kernel.kallsyms]         [k] __udp_enqueue_schedule_skb
     0.01%  swapper          [kernel.kallsyms]         [k] ret_from_intr
     0.01%  frontend         frontend                  [.] runtime.addspecial
     0.01%  frontend         [kernel.kallsyms]         [k] get_futex_key_refs.isra.0
     0.01%  frontend         frontend                  [.] net/http.(*connReader).unlock
     0.01%  dockerd          [kernel.kallsyms]         [k] copy_cgroup_ns
     0.01%  wrk              [kernel.kallsyms]         [k] rcu_all_qs
     0.01%  kworker/6:9-eve  [kernel.kallsyms]         [k] iter_net_only
     0.01%  frontend         [kernel.kallsyms]         [k] tcp_v4_inbound_md5_hash
     0.01%  dockerd          [kernel.kallsyms]         [k] lookup_fast
     0.01%  dockerd          [kernel.kallsyms]         [k] skb_set_owner_w
     0.01%  frontend         frontend                  [.] net/http.ParseHTTPVersion
     0.01%  frontend         frontend                  [.] runtime.(*pallocData).allocRange
     0.01%  wrk              wrk                       [.] lj_tab_getinth
     0.01%  frontend         frontend                  [.] runtime.(*semaRoot).dequeue
     0.01%  dockerd          dockerd                   [.] runtime.stringtoslicebyte
     0.01%  frontend         frontend                  [.] github.com/rs/zerolog.(*Event).Msgf
     0.01%  frontend         frontend                  [.] internal/poll.setDeadlineImpl.dwrap.4
     0.01%  frontend         [kernel.kallsyms]         [k] copy_page_from_iter
     0.01%  exe              ld-2.31.so                [.] do_lookup_x
     0.01%  dockerd          [kernel.kallsyms]         [k] udp_rmem_release
     0.01%  6                [kernel.kallsyms]         [k] page_fault
     0.01%  runc:[2:INIT]    [kernel.kallsyms]         [k] clear_page_erms
     0.01%  docker-proxy     docker-proxy              [.] runtime.injectglist
     0.01%  dockerd          dockerd                   [.] time.(*Location).get
     0.01%  docker-proxy     [kernel.kallsyms]         [k] skb_push
     0.01%  docker-proxy     [kernel.kallsyms]         [k] sock_put
     0.01%  dockerd          [kernel.kallsyms]         [k] map_id_range_down
     0.01%  dockerd          [kernel.kallsyms]         [k] ipv4_conntrack_defrag
     0.01%  dockerd          dockerd                   [.] net.(*sysDialer).dialUDP
     0.01%  (spawn)          [kernel.kallsyms]         [k] zap_pte_range.isra.0
     0.01%  frontend         frontend                  [.] runtime.stackcacherelease
     0.01%  frontend         [kernel.kallsyms]         [k] __sk_dst_check
     0.01%  dockerd          [kernel.kallsyms]         [k] ipv4_conntrack_local
     0.01%  dockerd          [kernel.kallsyms]         [k] netns_install
     0.01%  wrk              [kernel.kallsyms]         [k] bictcp_cong_avoid
     0.01%  docker-proxy     [kernel.kallsyms]         [k] tcp_mstamp_refresh
     0.01%  dockerd          [kernel.kallsyms]         [k] __fdget_pos
     0.01%  frontend         [kernel.kallsyms]         [k] __kmalloc_reserve.isra.0
     0.01%  exe              dockerd                   [.] runtime.mapassign_faststr
     0.01%  frontend         frontend                  [.] runtime.(*pageCache).alloc
     0.01%  frontend         frontend                  [.] google.golang.org/grpc.setCallInfoCodec
     0.01%  swapper          [kernel.kallsyms]         [k] attach_entity_load_avg
     0.01%  frontend         frontend                  [.] net.ipToSockaddr
     0.01%  docker-proxy     [kernel.kallsyms]         [k] __tcp_v4_send_check
     0.01%  frontend         [kernel.kallsyms]         [k] pick_next_task_idle
     0.01%  frontend         [kernel.kallsyms]         [k] account_entity_dequeue
     0.01%  dockerd          [kernel.kallsyms]         [k] process_backlog
     0.01%  frontend         [kernel.kallsyms]         [k] skb_pull_rcsum
     0.01%  docker-proxy     [kernel.kallsyms]         [k] skb_release_head_state
     0.01%  frontend         frontend                  [.] runtime.selparkcommit
     0.01%  frontend         frontend                  [.] syscall.Syscall6.abi0
     0.01%  frontend         frontend                  [.] runtime.pcdatavalue1
     0.01%  frontend         [kernel.kallsyms]         [k] tcp_wfree
     0.01%  dockerd          [kernel.kallsyms]         [k] unlock_page
     0.01%  dockerd          [kernel.kallsyms]         [k] ip_rcv_finish_core.isra.0
     0.01%  docker-proxy     [kernel.kallsyms]         [k] hrtimer_interrupt
     0.01%  exe              [kernel.kallsyms]         [k] smp_call_function_many
     0.01%  dockerd          dockerd                   [.] go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).SpanContext
     0.01%  wrk              [kernel.kallsyms]         [k] sk_filter_trim_cap
     0.01%  dockerd          [kernel.kallsyms]         [k] nf_conntrack_tuple_taken
     0.01%  dockerd          dockerd                   [.] runtime.makemap
     0.01%  docker-proxy     [kernel.kallsyms]         [k] skb_release_all
     0.01%  frontend         frontend                  [.] github.com/opentracing-contrib/go-stdlib/nethttp.(*statusCodeTracker).WriteHeader
     0.01%  frontend         frontend                  [.] runtime.newproc
     0.01%  dockerd          [kernel.kallsyms]         [k] validate_xmit_skb
     0.01%  frontend         frontend                  [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.01%  frontend         frontend                  [.] google.golang.org/grpc/codes.(*Code).String
     0.01%  frontend         frontend                  [.] sync.(*poolChain).pushHead
     0.01%  frontend         frontend                  [.] runtime.mapassign_fast64ptr
     0.01%  frontend         [kernel.kallsyms]         [k] sk_forced_mem_schedule
     0.01%  frontend         [kernel.kallsyms]         [k] swapgs_restore_regs_and_return_to_usermode
     0.01%  docker-proxy     [kernel.kallsyms]         [k] skb_scrub_packet
     0.01%  wrk              [kernel.kallsyms]         [k] netif_rx_internal
     0.01%  docker-proxy     [kernel.kallsyms]         [k] __netif_receive_skb
     0.01%  dockerd          [kernel.kallsyms]         [k] __hrtimer_next_event_base
     0.01%  containerd-shim  [kernel.kallsyms]         [k] get_futex_key_refs.isra.0
     0.01%  frontend         [kernel.kallsyms]         [k] sk_stream_alloc_skb
     0.01%  wrk              wrk                       [.] lj_meta_tset
     0.01%  frontend         [kernel.kallsyms]         [k] ip_local_out
     0.01%  dockerd          [kernel.kallsyms]         [k] hrtimer_interrupt
     0.01%  frontend         frontend                  [.] runtime.nilinterequal
     0.01%  runc             [kernel.kallsyms]         [k] error_entry
     0.01%  dockerd          [kernel.kallsyms]         [k] reschedule_interrupt
     0.01%  dockerd          dockerd                   [.] runtime.(*pageAlloc).alloc
     0.01%  modprobe         [kernel.kallsyms]         [k] filemap_map_pages
     0.01%  frontend         frontend                  [.] runtime.stackcacherefill
     0.01%  frontend         frontend                  [.] runtime.entersyscall
     0.01%  containerd-shim  [kernel.kallsyms]         [k] hrtimer_try_to_cancel
     0.01%  frontend         [kernel.kallsyms]         [k] put_prev_task_fair
     0.01%  frontend         frontend                  [.] strconv.mult64bitPow10
     0.01%  containerd-shim  [kernel.kallsyms]         [k] get_timespec64
     0.01%  swapper          [kernel.kallsyms]         [k] __update_load_avg_blocked_se
     0.01%  frontend         frontend                  [.] runtime.releasep
     0.01%  dockerd          [kernel.kallsyms]         [k] nf_nat_ipv4_local_fn
     0.01%  wrk              [kernel.kallsyms]         [k] __enqueue_entity
     0.01%  frontend         [kernel.kallsyms]         [k] dst_release
     0.01%  docker-proxy     [kernel.kallsyms]         [k] wakeup_pipe_readers
     0.01%  wrk              [kernel.kallsyms]         [k] ___slab_alloc
     0.01%  dockerd          dockerd                   [.] strings.Index
     0.01%  wrk              [kernel.kallsyms]         [k] rb_next
     0.01%  frontend         frontend                  [.] runtime.startm
     0.01%  docker-proxy     [kernel.kallsyms]         [k] get_timespec64
     0.01%  frontend         frontend                  [.] runtime.(*stackScanState).getPtr
     0.00%  runc:[2:INIT]    [kernel.kallsyms]         [k] memset_erms
     0.00%  docker-proxy     [kernel.kallsyms]         [k] security_sock_rcv_skb
     0.00%  dockerd          dockerd                   [.] context.(*cancelCtx).cancel
     0.00%  rs:main Q:Reg    [kernel.kallsyms]         [k] psi_task_change
     0.00%  dockerd          dockerd                   [.] runtime.siftupTimer
     0.00%  wrk              wrk                       [.] lj_ff_math_floor
     0.00%  frontend         frontend                  [.] log.(*Logger).Output
     0.00%  dockerd          dockerd                   [.] fmt.(*fmt).fmtInteger
     0.00%  frontend         frontend                  [.] runtime.(*stackScanState).putPtr
     0.00%  containerd-shim  [kernel.kallsyms]         [k] aa_file_perm
     0.00%  containerd-shim  containerd-shim-runc-v2   [.] 0x000000000003cbd1
     0.00%  systemd-sysctl   [kernel.kallsyms]         [k] filemap_map_pages
     0.00%  systemd-udevd    systemd-udevd             [.] 0x000000000005d188
     0.00%  frontend         frontend                  [.] strconv.atof64exact
     0.00%  frontend         frontend                  [.] runtime.callers.func1
     0.00%  frontend         [kernel.kallsyms]         [k] complete_walk
     0.00%  frontend         frontend                  [.] runtime.(*gcControllerState).findRunnableGCWorker
     0.00%  frontend         [kernel.kallsyms]         [k] vfs_statx
     0.00%  frontend         frontend                  [.] net/http.(*headerSorter).Less
     0.00%  frontend         [kernel.kallsyms]         [k] udp_sendmsg
     0.00%  frontend         [kernel.kallsyms]         [k] __call_rcu
     0.00%  mongod           [kernel.kallsyms]         [k] swapgs_restore_regs_and_return_to_usermode
     0.00%  swapper          [kernel.kallsyms]         [k] __handle_irq_event_percpu
     0.00%  dockerd          [kernel.kallsyms]         [k] attach_entity_load_avg
     0.00%  docker-proxy     [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     0.00%  wrk              [kernel.kallsyms]         [k] tcp_sendmsg
     0.00%  wrk              [kernel.kallsyms]         [k] tcp_rate_skb_sent
     0.00%  docker-proxy     [kernel.kallsyms]         [k] get_futex_key_refs.isra.0
     0.00%  containerd-shim  [kernel.kallsyms]         [k] check_preempt_curr
     0.00%  frontend         frontend                  [.] fmt.(*pp).doPrintln
     0.00%  frontend         frontend                  [.] runtime.goready.func1
     0.00%  all-in-one-linu  all-in-one-linux          [.] runtime.gcDrain
     0.00%  dockerd          dockerd                   [.] runtime.selunlock
     0.00%  frontend         frontend                  [.] time.Until
