# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 80K of event 'cycles'
# Event count (approx.): 144895019115
#
# Overhead  Command   Shared Object       Symbol                                                                                                          
# ........  ........  ..................  ................................................................................................................
#
     0.05%  frontend  frontend            [.] google.golang.org/grpc.(*pickerWrapper).pick
     0.05%  frontend  frontend            [.] google.golang.org/grpc/transport.(*recvBuffer).load
     0.05%  frontend  [kernel.kallsyms]   [k] rb_insert_color
     0.05%  frontend  frontend            [.] encoding/json.(*decodeState).value
     0.05%  frontend  [kernel.kallsyms]   [k] rw_verify_area
     0.05%  frontend  frontend            [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.05%  frontend  [kernel.kallsyms]   [k] ksoftirqd_running
     0.05%  frontend  [kernel.kallsyms]   [k] nf_nat_packet
     0.05%  frontend  [kernel.kallsyms]   [k] __br_forward
     0.05%  frontend  frontend            [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.05%  frontend  frontend            [.] google.golang.org/grpc/transport.(*decodeState).decodeResponseHeader
     0.05%  frontend  [kernel.kallsyms]   [k] strncpy_from_user
     0.05%  frontend  [kernel.kallsyms]   [k] attach_entity_load_avg
     0.05%  frontend  [kernel.kallsyms]   [k] ip_rcv_finish_core.isra.0
     0.05%  frontend  [kernel.kallsyms]   [k] tcp_check_space
     0.05%  frontend  frontend            [.] runtime.tracebackdefers
     0.05%  frontend  frontend            [.] runtime.mapdelete_faststr
     0.05%  frontend  frontend            [.] github.com/rs/zerolog.(*ConsoleWriter).Write
     0.05%  frontend  [kernel.kallsyms]   [k] ep_item_poll.isra.0
     0.05%  frontend  [kernel.kallsyms]   [k] futex_wait
     0.05%  frontend  frontend            [.] strconv.ryuDigits32
     0.05%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).StartSpan
     0.05%  frontend  [kernel.kallsyms]   [k] tcp_push
     0.05%  frontend  [kernel.kallsyms]   [k] netif_skb_features
     0.05%  frontend  frontend            [.] time.atoi
     0.05%  frontend  [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.05%  frontend  frontend            [.] runtime.mapaccess2_fast32
     0.05%  frontend  [kernel.kallsyms]   [k] conntrack_mt_v3
     0.05%  frontend  frontend            [.] time.Now
     0.05%  frontend  [kernel.kallsyms]   [k] apparmor_socket_sendmsg
     0.05%  frontend  [kernel.kallsyms]   [k] ext4_getattr
     0.05%  frontend  [kernel.kallsyms]   [k] tcp_recv_timestamp
     0.05%  frontend  frontend            [.] strings.LastIndex
     0.05%  frontend  [kernel.kallsyms]   [k] newidle_balance
     0.05%  frontend  [kernel.kallsyms]   [k] sock_sendmsg
     0.05%  frontend  frontend            [.] runtime.pidleget
     0.05%  frontend  [kernel.kallsyms]   [k] ip_rcv_finish
     0.05%  frontend  [kernel.kallsyms]   [k] mutex_unlock
     0.05%  frontend  frontend            [.] net/http.(*connReader).lock
     0.05%  frontend  frontend            [.] syscall.fstatat
     0.05%  frontend  frontend            [.] strconv.readFloat
     0.05%  frontend  frontend            [.] golang.org/x/net/http2.readFrameHeader
     0.05%  frontend  [kernel.kallsyms]   [k] activate_task
     0.05%  frontend  [kernel.kallsyms]   [k] native_flush_tlb_one_user
     0.05%  frontend  frontend            [.] runtime.checkTimersNoP
     0.05%  frontend  frontend            [.] strconv.Atoi
     0.05%  frontend  frontend            [.] internal/poll.(*pollDesc).prepare
     0.05%  frontend  [kernel.kallsyms]   [k] ovl_permission
     0.05%  frontend  [kernel.kallsyms]   [k] __x64_sys_epoll_pwait
     0.05%  frontend  frontend            [.] time.tzsetName
     0.05%  frontend  frontend            [.] internal/poll.(*FD).writeUnlock
     0.05%  frontend  [kernel.kallsyms]   [k] ipv4_conntrack_local
     0.05%  frontend  [kernel.kallsyms]   [k] vfs_read
     0.04%  frontend  frontend            [.] runtime.convTslice
     0.04%  frontend  [kernel.kallsyms]   [k] __skb_clone
     0.04%  frontend  [kernel.kallsyms]   [k] nf_nat_ipv4_pre_routing
     0.04%  frontend  frontend            [.] runtime.(*spanSet).reset
     0.04%  frontend  frontend            [.] net.(*conn).Write
     0.04%  frontend  frontend            [.] github.com/rs/zerolog.(*Logger).newEvent
     0.04%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).CloseStream
     0.04%  frontend  [kernel.kallsyms]   [k] do_softirq.part.0
     0.04%  frontend  [kernel.kallsyms]   [k] nf_nat_ipv4_local_fn
     0.04%  frontend  frontend            [.] context.parentCancelCtx
     0.04%  frontend  [kernel.kallsyms]   [k] kfree_skbmem
     0.04%  frontend  frontend            [.] reflect.(*rtype).uncommon
     0.04%  frontend  [kernel.kallsyms]   [k] ep_autoremove_wake_function
     0.04%  frontend  frontend            [.] github.com/rs/zerolog.newEvent
     0.04%  frontend  frontend            [.] github.com/rs/zerolog.(*Logger).should
     0.04%  frontend  frontend            [.] github.com/opentracing-contrib/go-stdlib/nethttp.Middleware.func2
     0.04%  frontend  frontend            [.] runtime.pidleput
     0.04%  frontend  [kernel.kallsyms]   [k] perf_swevent_add
     0.04%  frontend  [kernel.kallsyms]   [k] bictcp_acked
     0.04%  frontend  frontend            [.] runtime.chanrecv
     0.04%  frontend  frontend            [.] golang.org/x/net/http2.FrameHeader.Header
     0.04%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).itemHandler-fm
     0.04%  frontend  [kernel.kallsyms]   [k] ip_local_out
     0.04%  frontend  frontend            [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.04%  frontend  [kernel.kallsyms]   [k] sock_recvmsg
     0.04%  frontend  frontend            [.] strings.ToLower
     0.04%  frontend  frontend            [.] runtime.(*mcentral).uncacheSpan
     0.04%  frontend  frontend            [.] reflect.packEface
     0.04%  frontend  [kernel.kallsyms]   [k] iptable_filter_hook
     0.04%  frontend  [kernel.kallsyms]   [k] ep_poll
     0.04%  frontend  [kernel.kallsyms]   [k] new_sync_read
     0.04%  frontend  [kernel.kallsyms]   [k] ip_finish_output
     0.04%  frontend  frontend            [.] time.tzsetNum
     0.04%  frontend  frontend            [.] internal/reflectlite.(*rtype).Comparable
     0.04%  frontend  frontend            [.] google.golang.org/grpc.(*clientStream).finish
     0.04%  frontend  [kernel.kallsyms]   [k] ctx_sched_out
     0.04%  frontend  frontend            [.] google.golang.org/grpc.invoke
     0.04%  frontend  frontend            [.] runtime.futex.abi0
     0.04%  frontend  [kernel.kallsyms]   [k] common_perm_cond
     0.04%  frontend  [kernel.kallsyms]   [k] br_dev_queue_push_xmit
     0.04%  frontend  frontend            [.] runtime.procyield.abi0
     0.04%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.04%  frontend  frontend            [.] github.com/rs/zerolog.colorize
     0.04%  frontend  frontend            [.] runtime.(*pallocBits).summarize
     0.04%  frontend  [kernel.kallsyms]   [k] br_nf_dev_queue_xmit
     0.04%  frontend  [kernel.kallsyms]   [k] perf_event_update_userpage
     0.04%  frontend  [kernel.kallsyms]   [k] ovl_getattr
     0.04%  frontend  [kernel.kallsyms]   [k] __wake_up_common_lock
     0.04%  frontend  frontend            [.] reflect.(*rtype).ptrTo
     0.04%  frontend  frontend            [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.04%  frontend  frontend            [.] runtime.(*lfstack).push
     0.04%  frontend  [kernel.kallsyms]   [k] nf_confirm
     0.04%  frontend  frontend            [.] reflect.New
     0.04%  frontend  [kernel.kallsyms]   [k] __x64_sys_write
     0.04%  frontend  [kernel.kallsyms]   [k] inet_sendmsg
     0.04%  frontend  frontend            [.] reflect.directlyAssignable
     0.04%  frontend  frontend            [.] runtime.(*consistentHeapStats).release
     0.04%  frontend  [kernel.kallsyms]   [k] __kfree_skb_flush
     0.04%  frontend  [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.04%  frontend  frontend            [.] reflect.makemap
     0.04%  frontend  frontend            [.] net/http.(*maskedSig).match
     0.04%  frontend  frontend            [.] runtime.usleep.abi0
     0.04%  frontend  [kernel.kallsyms]   [k] netdev_core_pick_tx
     0.04%  frontend  frontend            [.] os.fillFileStatFromSys
     0.04%  frontend  frontend            [.] runtime.notesleep
     0.04%  frontend  frontend            [.] runtime.(*headTailIndex).incTail
     0.04%  frontend  [kernel.kallsyms]   [k] tcp_wfree
     0.04%  frontend  [kernel.kallsyms]   [k] tcp_small_queue_check.isra.0
     0.04%  frontend  frontend            [.] runtime.funcspdelta
     0.04%  frontend  frontend            [.] runtime.markroot
     0.04%  frontend  [kernel.kallsyms]   [k] amd_clear_divider
     0.04%  frontend  [kernel.kallsyms]   [k] __enqueue_entity
     0.04%  frontend  [kernel.kallsyms]   [k] ctx_sched_in
     0.04%  frontend  frontend            [.] runtime.getempty
     0.04%  frontend  frontend            [.] bytes.(*Buffer).WriteTo
     0.04%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).Timestamp
     0.04%  frontend  frontend            [.] runtime.wakep
     0.04%  frontend  frontend            [.] fmt.(*pp).free
     0.04%  frontend  [kernel.kallsyms]   [k] __sb_start_write
     0.04%  frontend  frontend            [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.04%  frontend  [kernel.kallsyms]   [k] br_allowed_ingress
     0.04%  frontend  [kernel.kallsyms]   [k] security_sock_rcv_skb
     0.04%  frontend  frontend            [.] runtime.convT2I
     0.04%  frontend  [kernel.kallsyms]   [k] security_file_permission
     0.04%  frontend  frontend            [.] internal/poll.(*pollDesc).wait
     0.04%  frontend  [kernel.kallsyms]   [k] ip_sabotage_in
     0.04%  frontend  [kernel.kallsyms]   [k] interrupt_entry
     0.04%  frontend  frontend            [.] runtime.selparkcommit
     0.04%  frontend  frontend            [.] math/rand.(*rngSource).Int63
     0.04%  frontend  [kernel.kallsyms]   [k] getname_flags
     0.04%  frontend  frontend            [.] encoding/json.stateBeginString
     0.04%  frontend  frontend            [.] strconv.genericFtoa
     0.04%  frontend  frontend            [.] google.golang.org/grpc.(*clientStream).SendMsg
     0.04%  frontend  [kernel.kallsyms]   [k] fput
     0.04%  frontend  frontend            [.] bufio.(*Reader).ReadSlice
     0.04%  frontend  frontend            [.] google.golang.org/grpc.(*ClientConn).Invoke
     0.04%  frontend  [kernel.kallsyms]   [k] raw_local_deliver
     0.04%  frontend  frontend            [.] time.(*Location).get
     0.04%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*dynamicTable).add
     0.04%  frontend  [kernel.kallsyms]   [k] ktime_get_with_offset
     0.04%  frontend  [kernel.kallsyms]   [k] x86_pmu_disable
     0.04%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.04%  frontend  [kernel.kallsyms]   [k] rb_erase
     0.04%  frontend  frontend            [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.04%  frontend  [kernel.kallsyms]   [k] place_entity
     0.04%  frontend  frontend            [.] reflect.cvtBytesString
     0.04%  frontend  frontend            [.] runtime.entersyscall.abi0
     0.04%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).getStream
     0.04%  frontend  frontend            [.] golang.org/x/net/http2/hpack.(*Decoder).Write
     0.04%  frontend  frontend            [.] runtime.assertI2I2
     0.04%  frontend  frontend            [.] strconv.fmtF
     0.04%  frontend  [kernel.kallsyms]   [k] ovl_override_creds
     0.04%  frontend  frontend            [.] runtime.memhash64
     0.04%  frontend  frontend            [.] strconv.ryuFtoaShortest
     0.04%  frontend  frontend            [.] fmt.(*fmt).fmtS
     0.04%  frontend  [kernel.kallsyms]   [k] ip_send_check
     0.04%  frontend  frontend            [.] bytes.(*Reader).Read
     0.04%  frontend  frontend            [.] net/url.shouldEscape
     0.04%  frontend  frontend            [.] runtime.binarySearchTree
     0.04%  frontend  [kernel.kallsyms]   [k] br_validate_ipv4.isra.0
     0.04%  frontend  [kernel.kallsyms]   [k] deactivate_task
     0.04%  frontend  frontend            [.] reflect.Value.Pointer
     0.04%  frontend  frontend            [.] bufio.(*Writer).WriteString
     0.04%  frontend  [kernel.kallsyms]   [k] ttwu_do_wakeup
     0.04%  frontend  frontend            [.] google.golang.org/grpc/encoding/proto.codec.Unmarshal
     0.04%  frontend  frontend            [.] net/http.readRequest
     0.04%  frontend  [kernel.kallsyms]   [k] nf_nat_ipv4_fn
     0.04%  frontend  [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.04%  frontend  frontend            [.] os.statNolog
     0.04%  frontend  frontend            [.] runtime.exitsyscall.abi0
     0.04%  frontend  [kernel.kallsyms]   [k] __tcp_select_window
     0.04%  frontend  frontend            [.] internal/poll.runtime_pollWait
     0.04%  frontend  [kernel.kallsyms]   [k] ipv4_conntrack_in
     0.04%  frontend  frontend            [.] google.golang.org/grpc.(*parser).recvMsg
     0.03%  frontend  [kernel.kallsyms]   [k] update_min_vruntime
     0.03%  frontend  [kernel.kallsyms]   [k] override_creds
     0.03%  frontend  [kernel.kallsyms]   [k] tcp_established_options
     0.03%  frontend  frontend            [.] net/url.parse
     0.03%  frontend  [kernel.kallsyms]   [k] __x64_sys_read
     0.03%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).caller
     0.03%  frontend  frontend            [.] reflect.makeString
     0.03%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).reportSpan
     0.03%  frontend  frontend            [.] net/textproto.(*Reader).ReadMIMEHeader
     0.03%  frontend  [kernel.kallsyms]   [k] sk_filter_trim_cap
     0.03%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Tracer).Inject
     0.03%  frontend  [kernel.kallsyms]   [k] event_sched_in.isra.0
     0.03%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).enc_proto3_string
     0.03%  frontend  [kernel.kallsyms]   [k] put_prev_entity
     0.03%  frontend  [kernel.kallsyms]   [k] validate_xmit_xfrm
     0.03%  frontend  frontend            [.] os.Getenv
     0.03%  frontend  frontend            [.] reflect.(*rtype).NumMethod
     0.03%  frontend  [kernel.kallsyms]   [k] tcp_v4_fill_cb
     0.03%  frontend  [kernel.kallsyms]   [k] timerqueue_add
     0.03%  frontend  [kernel.kallsyms]   [k] dequeue_entity
     0.03%  frontend  [kernel.kallsyms]   [k] __x64_sys_futex
     0.03%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).Marshal
     0.03%  frontend  frontend            [.] path.Clean
     0.03%  frontend  [kernel.kallsyms]   [k] futex_wake
     0.03%  frontend  frontend            [.] runtime.netpollblockcommit
     0.03%  frontend  [kernel.kallsyms]   [k] skb_push
     0.03%  frontend  frontend            [.] net/url.(*URL).String
     0.03%  frontend  frontend            [.] encoding/json.(*scanner).pushParseState
     0.03%  frontend  [kernel.kallsyms]   [k] link_path_walk.part.0
     0.03%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Inject
     0.03%  frontend  frontend            [.] google.golang.org/grpc/transport.(*inFlow).onData
     0.03%  frontend  frontend            [.] net/http.Header.writeSubset
     0.03%  frontend  [kernel.kallsyms]   [k] filename_lookup
     0.03%  frontend  [kernel.kallsyms]   [k] br_forward_finish
     0.03%  frontend  frontend            [.] runtime.makeslicecopy
     0.03%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*Span).SetTag
     0.03%  frontend  [kernel.kallsyms]   [k] bictcp_cwnd_event
     0.03%  frontend  [kernel.kallsyms]   [k] nbp_switchdev_frame_mark
     0.03%  frontend  [kernel.kallsyms]   [k] __alloc_skb
     0.03%  frontend  [kernel.kallsyms]   [k] get_nohz_timer_target
     0.03%  frontend  [kernel.kallsyms]   [k] skb_clone
     0.03%  frontend  frontend            [.] time.getnum
     0.03%  frontend  [kernel.kallsyms]   [k] cpumask_next_wrap
     0.03%  frontend  [kernel.kallsyms]   [k] nf_nat_ipv4_local_in
     0.03%  frontend  frontend            [.] sort.insertionSort_func
     0.03%  frontend  frontend            [.] google.golang.org/grpc.encode
     0.03%  frontend  frontend            [.] context.removeChild
     0.03%  frontend  [kernel.kallsyms]   [k] br_nf_forward_finish
     0.03%  frontend  frontend            [.] runtime.makemap_small
     0.03%  frontend  frontend            [.] bufio.(*Reader).fill
     0.03%  frontend  frontend            [.] reflect.Value.Bytes
     0.03%  frontend  frontend            [.] runtime.typedslicecopy
     0.03%  frontend  frontend            [.] net/http.readTransfer
     0.03%  frontend  frontend            [.] github.com/rs/zerolog.consoleDefaultFormatCaller.func1
     0.03%  frontend  frontend            [.] runtime.convT64
     0.03%  frontend  frontend            [.] encoding/json.(*Decoder).refill
     0.03%  frontend  [kernel.kallsyms]   [k] do_futex
     0.03%  frontend  [kernel.kallsyms]   [k] rb_first
     0.03%  frontend  frontend            [.] github.com/rs/zerolog.(*Event).Str
     0.03%  frontend  frontend            [.] reflect.Value.SetString
     0.03%  frontend  [kernel.kallsyms]   [k] detach_if_pending
     0.03%  frontend  frontend            [.] sync.(*Cond).Broadcast
     0.03%  frontend  frontend            [.] google.golang.org/grpc/transport.(*bdpEstimator).calculate
     0.03%  frontend  frontend            [.] time.skip
     0.03%  frontend  [kernel.kallsyms]   [k] security_socket_sendmsg
     0.03%  frontend  [kernel.kallsyms]   [k] clear_page_erms
     0.03%  frontend  frontend            [.] runtime.futexsleep
     0.03%  frontend  frontend            [.] context.propagateCancel
     0.03%  frontend  [kernel.kallsyms]   [k] __x86_indirect_thunk_r14
     0.03%  frontend  [kernel.kallsyms]   [k] __update_idle_core
     0.03%  frontend  frontend            [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp.func1
     0.03%  frontend  [kernel.kallsyms]   [k] account_entity_dequeue
     0.03%  frontend  frontend            [.] github.com/uber/jaeger-client-go.NewTracer.func2
     0.03%  frontend  [kernel.kallsyms]   [k] tcp_options_write
     0.03%  frontend  [kernel.kallsyms]   [k] __tcp_ack_snd_check
     0.03%  frontend  frontend            [.] strings.IndexAny
     0.03%  frontend  frontend            [.] runtime.scanstack
     0.03%  frontend  [kernel.kallsyms]   [k] __do_sys_newfstatat
     0.03%  frontend  frontend            [.] runtime.runqsteal
     0.03%  frontend  [kernel.kallsyms]   [k] schedule
     0.03%  frontend  [kernel.kallsyms]   [k] enqueue_timer
     0.03%  frontend  frontend            [.] runtime.ifaceeq
     0.03%  frontend  frontend            [.] internal/poll.setDeadlineImpl
     0.03%  frontend  frontend            [.] runtime.Caller
     0.03%  frontend  frontend            [.] context.(*valueCtx).Deadline
     0.03%  frontend  frontend            [.] reflect.name.name
     0.03%  frontend  [kernel.kallsyms]   [k] ovl_inode_upper
     0.03%  frontend  frontend            [.] github.com/harlow/go-micro-services/services/frontend.(*Server).recommendHandler
     0.03%  frontend  [kernel.kallsyms]   [k] do_epoll_wait
     0.03%  frontend  [kernel.kallsyms]   [k] __nf_ct_refresh_acct
     0.03%  frontend  frontend            [.] runtime.selectnbsend
     0.03%  frontend  frontend            [.] google.golang.org/grpc.(*acBalancerWrapper).getAddrConn
     0.03%  frontend  [kernel.kallsyms]   [k] vfs_getattr_nosec
     0.03%  frontend  [kernel.kallsyms]   [k] flexible_sched_in
     0.03%  frontend  frontend            [.] time.tzsetOffset
     0.03%  frontend  frontend            [.] fmt.(*fmt).padString
     0.03%  frontend  frontend            [.] google.golang.org/grpc/transport.(*recvBufferReader).Read
     0.03%  frontend  frontend            [.] github.com/golang/protobuf/proto.(*Buffer).Unmarshal
     0.03%  frontend  [kernel.kallsyms]   [k] cpus_share_cache
     0.03%  frontend  [kernel.kallsyms]   [k] group_sched_in
     0.03%  frontend  frontend            [.] runtime.typedmemclr
     0.03%  frontend  frontend            [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.03%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*compositeObserver).OnStartSpan
     0.03%  frontend  frontend            [.] net/http.(*connReader).backgroundRead
     0.03%  frontend  [kernel.kallsyms]   [k] tcp_rcv_space_adjust
     0.03%  frontend  frontend            [.] reflect.(*rtype).PkgPath
     0.03%  frontend  frontend            [.] type..eq.google.golang.org/grpc/resolver.Address
     0.03%  frontend  frontend            [.] google.golang.org/grpc/encoding/proto.codec.Marshal
     0.03%  frontend  frontend            [.] runtime.nilinterhash
     0.03%  frontend  [kernel.kallsyms]   [k] kmalloc_slab
     0.03%  frontend  [kernel.kallsyms]   [k] set_user_sigmask
     0.03%  frontend  [kernel.kallsyms]   [k] __ip_local_out
     0.03%  frontend  [kernel.kallsyms]   [k] futex_wait_queue_me
     0.03%  frontend  frontend            [.] reflect.(*rtype).Key
     0.03%  frontend  frontend            [.] google.golang.org/grpc.(*ClientConn).GetMethodConfig
     0.03%  frontend  [kernel.kallsyms]   [k] __usecs_to_jiffies
     0.03%  frontend  [kernel.kallsyms]   [k] __check_heap_object
     0.03%  frontend  frontend            [.] runtime.epollwait.abi0
     0.03%  frontend  [kernel.kallsyms]   [k] check_preempt_wakeup
     0.03%  frontend  frontend            [.] fmt.(*pp).fmtString
     0.03%  frontend  frontend            [.] sync/atomic.(*Value).Store
     0.03%  frontend  frontend            [.] context.WithCancel
     0.03%  frontend  frontend            [.] runtime.sendDirect
     0.03%  frontend  [kernel.kallsyms]   [k] ep_scan_ready_list.constprop.0
     0.03%  frontend  frontend            [.] runtime.memhash
     0.03%  frontend  frontend            [.] sync/atomic.CompareAndSwapUintptr
     0.03%  frontend  [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.03%  frontend  [kernel.kallsyms]   [k] tcp_data_ready
     0.03%  frontend  frontend            [.] sort.Sort
     0.03%  frontend  frontend            [.] encoding/json.newEncodeState
     0.03%  frontend  [kernel.kallsyms]   [k] brnf_get_logical_dev
     0.03%  frontend  frontend            [.] runtime.send
     0.03%  frontend  [kernel.kallsyms]   [k] sk_page_frag_refill
     0.03%  frontend  frontend            [.] reflect.valueInterface
     0.03%  frontend  frontend            [.] runtime.sysmon
     0.03%  frontend  [kernel.kallsyms]   [k] sock_put
     0.03%  frontend  frontend            [.] runtime.entersyscall
     0.03%  frontend  [kernel.kallsyms]   [k] __vfs_read
     0.03%  frontend  frontend            [.] net/http.(*exactSig).match
     0.03%  frontend  [kernel.kallsyms]   [k] __accumulate_pelt_segments
     0.03%  frontend  frontend            [.] encoding/json.(*scanner).popParseState
     0.02%  frontend  [kernel.kallsyms]   [k] skb_release_head_state
     0.02%  frontend  [kernel.kallsyms]   [k] lockref_put_return
     0.02%  frontend  [kernel.kallsyms]   [k] tcp_rate_check_app_limited
     0.02%  frontend  frontend            [.] net/http.(*response).write
     0.02%  frontend  [kernel.kallsyms]   [k] apparmor_socket_sock_rcv_skb
     0.02%  frontend  [kernel.kallsyms]   [k] cp_new_stat
     0.02%  frontend  frontend            [.] runtime.callers
     0.02%  frontend  frontend            [.] reflect.mapassign
     0.02%  frontend  frontend            [.] reflect.Value.Convert
     0.02%  frontend  [kernel.kallsyms]   [k] sk_free
     0.02%  frontend  frontend            [.] runtime.assertE2I2
     0.02%  frontend  frontend            [.] internal/reflectlite.Swapper
     0.02%  frontend  frontend            [.] encoding/json.stateEndTop
     0.02%  frontend  frontend            [.] runtime.gogo.abi0
     0.02%  frontend  frontend            [.] github.com/rs/zerolog.consoleDefaultFormatLevel.func1
     0.02%  frontend  frontend            [.] github.com/rs/zerolog.consoleDefaultFormatTimestamp
     0.02%  frontend  [kernel.kallsyms]   [k] __copy_skb_header
     0.02%  frontend  frontend            [.] runtime.concatstring3
     0.02%  frontend  [kernel.kallsyms]   [k] inet_ehashfn
     0.02%  frontend  frontend            [.] runtime.gfget
     0.02%  frontend  frontend            [.] bufio.(*Reader).ReadLine
     0.02%  frontend  [kernel.kallsyms]   [k] ip_local_deliver_finish
     0.02%  frontend  frontend            [.] cmpbody
     0.02%  frontend  frontend            [.] net/http.htmlSig.match
     0.02%  frontend  [kernel.kallsyms]   [k] __dev_forward_skb
     0.02%  frontend  [kernel.kallsyms]   [k] br_handle_vlan
     0.02%  frontend  [kernel.kallsyms]   [k] finish_task_switch
     0.02%  frontend  frontend            [.] golang.org/x/net/http2.parseHeadersFrame
     0.02%  frontend  frontend            [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnSetTag
     0.02%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).adjustWindow
     0.02%  frontend  [kernel.kallsyms]   [k] get_futex_key
     0.02%  frontend  frontend            [.] encoding/json.stateBeginStringOrEmpty
     0.02%  frontend  [kernel.kallsyms]   [k] aa_sk_perm
     0.02%  frontend  frontend            [.] runtime.globrunqget
     0.02%  frontend  [kernel.kallsyms]   [k] ipod_hook_fn
     0.02%  frontend  frontend            [.] runtime.(*mheap).nextSpanForSweep
     0.02%  frontend  frontend            [.] context.WithCancel.func1
     0.02%  frontend  [kernel.kallsyms]   [k] ovl_path_real
     0.02%  frontend  [kernel.kallsyms]   [k] tcp_rate_skb_sent
     0.02%  frontend  frontend            [.] github.com/rs/zerolog.Level.String
     0.02%  frontend  frontend            [.] runtime.concatstring2
     0.02%  frontend  frontend            [.] net/http.(*response).finishRequest
     0.02%  frontend  [kernel.kallsyms]   [k] nf_bridge_update_protocol
     0.02%  frontend  frontend            [.] runtime.startm
     0.02%  frontend  frontend            [.] runtime.memhash32
     0.02%  frontend  frontend            [.] runtime.findnull
     0.02%  frontend  frontend            [.] internal/poll.(*FD).readUnlock
     0.02%  frontend  frontend            [.] google.golang.org/grpc.(*clientStream).SendMsg.func1
     0.02%  frontend  [kernel.kallsyms]   [k] security_inode_getattr
     0.02%  frontend  frontend            [.] internal/poll.(*FD).Write.dwrap.13
     0.02%  frontend  frontend            [.] runtime.deductSweepCredit
     0.02%  frontend  frontend            [.] sync.runtime_procUnpin
     0.02%  frontend  frontend            [.] sync/atomic.StoreUintptr
     0.02%  frontend  frontend            [.] net/http.serverHandler.ServeHTTP
     0.02%  frontend  frontend            [.] reflect.unsafe_New
     0.02%  frontend  frontend            [.] golang.org/x/net/http2.(*MetaHeadersFrame).PseudoFields
     0.02%  frontend  frontend            [.] net/textproto.(*Reader).readContinuedLineSlice
     0.02%  frontend  [kernel.kallsyms]   [k] futex_wait_setup
     0.02%  frontend  frontend            [.] github.com/harlow/go-micro-services/services/frontend.geoJSONResponse
     0.02%  frontend  frontend            [.] google.golang.org/grpc.setCallInfoCodec
     0.02%  frontend  [kernel.kallsyms]   [k] __tcp_v4_send_check
     0.02%  frontend  frontend            [.] fmt.(*pp).printValue
     0.02%  frontend  frontend            [.] net/http.HandlerFunc.ServeHTTP
     0.02%  frontend  frontend            [.] runtime.funcline1
     0.02%  frontend  frontend            [.] golang.org/x/net/http2.(*DataFrame).Header
     0.02%  frontend  [kernel.kallsyms]   [k] copy_page_from_iter
     0.02%  frontend  [kernel.kallsyms]   [k] __x86_indirect_thunk_rbx
     0.02%  frontend  frontend            [.] runtime.strhash
     0.02%  frontend  frontend            [.] runtime.newproc1
     0.02%  frontend  [kernel.kallsyms]   [k] iov_iter_init
     0.02%  frontend  [kernel.kallsyms]   [k] tcp_update_pacing_rate
     0.02%  frontend  frontend            [.] net/http.(*connReader).Read
     0.02%  frontend  frontend            [.] reflect.(*MapIter).Key
     0.02%  frontend  [kernel.kallsyms]   [k] check_stack_object
     0.02%  frontend  frontend            [.] runtime.goready
     0.02%  frontend  frontend            [.] google.golang.org/grpc/transport.newFramer.func1
     0.02%  frontend  [kernel.kallsyms]   [k] __sk_dst_check
     0.02%  frontend  [kernel.kallsyms]   [k] pick_next_entity
     0.02%  frontend  frontend            [.] internal/poll.(*FD).decref
     0.02%  frontend  frontend            [.] reflect.Value.NumMethod
     0.02%  frontend  [kernel.kallsyms]   [k] __tcp_push_pending_frames
     0.02%  frontend  frontend            [.] sort.quickSort
     0.02%  frontend  [kernel.kallsyms]   [k] tcp_mtu_probe
