# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1456439977
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                            
# ........  ...............  ..................  ..................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  conn44           mongod              [.] mongo::KeyString::decodeRecordIdAtEnd
     0.02%  conn44           [kernel.kallsyms]   [k] update_blocked_averages
     0.02%  conn56           mongod              [.] mongo::LockerImpl::getLockMode
     0.02%  conn44           [kernel.kallsyms]   [k] simple_copy_to_iter
     0.02%  conn44           mongod              [.] __session_begin_transaction
     0.01%  conn56           mongod              [.] mongo::KeyPattern::isIdKeyPattern
     0.01%  JournalFlusher   [kernel.kallsyms]   [k] blk_mq_dispatch_rq_list
     0.01%  conn44           mongod              [.] __config_process_value
     0.01%  ftdc             [kernel.kallsyms]   [k] icmpmsg_put
     0.01%  ftdc             mongod              [.] mongo::intrusive_ptr_release
     0.01%  conn56           mongod              [.] mongo::CollectionCatalog::getDatabaseProfileSettings
     0.01%  conn56           libpthread-2.27.so  [.] pthread_mutex_trylock
     0.01%  conn56           mongod              [.] mongo::getGlobalServiceContext
     0.01%  conn44           mongod              [.] std::vector<std::set<unsigned long, std::less<unsigned long>, std::allocator<unsigned long> >, std::allocator<std::set<unsigned long, std::less<unsigned long>, std::allocator<unsigned long> > > >::_M_default_append
     0.01%  ftdc             [kernel.kallsyms]   [k] memset_erms
     0.01%  ftdc             mongod              [.] mongo::ServerStatusMetricField<mongo::Counter64>::appendAtLeaf
     0.01%  JournalFlusher   mongod              [.] __wt_cond_signal
     0.01%  conn56           [kernel.kallsyms]   [k] psi_task_change
     0.01%  conn44           [kernel.kallsyms]   [k] nf_nat_manip_pkt
     0.01%  mongod           [kernel.kallsyms]   [k] read_tsc
     0.01%  conn44           mongod              [.] mongo::RecoveryUnit::RecoveryUnit
     0.01%  conn44           mongod              [.] mongo::IDLParserErrorContext::parseNSCollectionRequired
     0.01%  conn44           mongod              [.] __wt_btcur_reset
     0.01%  conn44           mongod              [.] mongo::CommandHelpers::runCommandInvocation
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] deactivate_task
     0.01%  conn56           [kernel.kallsyms]   [k] __fget_light
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] get_futex_value_locked
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] perf_pmu_enable.part.0
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] visit_groups_merge
     0.01%  WTCheck.tThread  [kernel.kallsyms]   [k] perf_event_update_userpage
     0.01%  conn44           mongod              [.] mongo::CollectionImpl::checkValidation
     0.01%  conn44           mongod              [.] mongo::transport::TransportLayerASIO::makeBaton
     0.01%  conn44           [kernel.kallsyms]   [k] __run_timers.part.0
     0.01%  conn56           mongod              [.] std::vector<mongo::OpMsg::DocumentSequence, std::allocator<mongo::OpMsg::DocumentSequence> >::_M_realloc_insert<mongo::OpMsg::DocumentSequence>
     0.01%  ftdc             mongod              [.] mongo::procparser::parseProcNetstat
     0.01%  ftdc             [kernel.kallsyms]   [k] snmp_fold_field
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] newidle_balance
     0.01%  ftdc             [kernel.kallsyms]   [k] cpumask_next
     0.01%  conn56           [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.01%  Backgro.kSource  [kernel.kallsyms]   [k] ipt_do_table
     0.01%  ftdc             [kernel.kallsyms]   [k] netdev_core_pick_tx
     0.00%  ftdc             mongod              [.] mongo::repl::ReplExecutorSSM::appendAtLeaf
     0.00%  ftdc             [kernel.kallsyms]   [k] ovl_inode_upper
     0.00%  ftdc             [kernel.kallsyms]   [k] seq_vprintf
     0.00%  conn56           [vdso]              [.] gettimeofday
     0.00%  mongod           [kernel.kallsyms]   [k] __ext4fs_dirhash
     0.00%  JournalFlusher   mongod              [.] mongo::DecorationRegistry<mongo::OperationContext>::destroyAt<mongo::rpc::ConfigServerMetadata>
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] perf_swevent_add
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] xas_load
     0.00%  conn44           mongod              [.] mongo::(anonymous namespace)::receivedCommands(mongo::OperationContext*, mongo::Message const&, mongo::ServiceEntryPointCommon::Hooks const&)::{lambda()#1}::operator()
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] update_blocked_averages
     0.00%  ftdc             mongod              [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.00%  conn44           [kernel.kallsyms]   [k] sk_forced_mem_schedule
     0.00%  conn56           mongod              [.] mongo::BSONObjIterator::next
     0.00%  ftdc             [kernel.kallsyms]   [k] link_path_walk.part.0
     0.00%  WTCheck.tThread  mongod              [.] __wt_buf_grow_worker
     0.00%  ftdc             mongod              [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn
     0.00%  ftdc             mongod              [.] mongo::(anonymous namespace)::MemBase::appendAtLeaf
     0.00%  ftdc             mongod              [.] std::use_facet<std::ctype<char> >
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] rb_next
     0.00%  JournalFlusher   mongod              [.] __log_slot_switch_internal
     0.00%  conn44           mongod              [.] snappy::ByteArraySource::Available
     0.00%  conn56           mongod              [.] mongo::OperationContextSession::get
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] __softirqentry_text_start
     0.00%  JournalFlusher   mongod              [.] mongo::LockerImpl::~LockerImpl
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.00%  conn44           mongod              [.] mongo::IndexCatalogImpl::prepareInsertDeleteOptions
     0.00%  conn44           mongod              [.] mongo::QueryRequest::parseMaxTimeMS
     0.00%  mongod           [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.00%  mongod           [kernel.kallsyms]   [k] inode_permission
     0.00%  mongod           [kernel.kallsyms]   [k] update_blocked_averages
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] update_load_avg
     0.00%  conn56           [kernel.kallsyms]   [k] check_cfs_rq_runtime
     0.00%  JournalFlusher   mongod              [.] mongo::transport::TransportLayerManager::makeBaton
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.00%  conn44           mongod              [.] __wt_struct_size
     0.00%  conn56           [kernel.kallsyms]   [k] update_blocked_averages
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] native_sched_clock
     0.00%  conn44           [kernel.kallsyms]   [k] update_dl_rq_load_avg
     0.00%  JournalFlusher   mongod              [.] mongo::LatchAnalyzer::onRelease
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] update_blocked_averages
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] update_load_avg
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] native_write_msr
     0.00%  conn44           [kernel.kallsyms]   [k] native_write_msr
     0.00%  Backgro.kSource  [kernel.kallsyms]   [k] native_write_msr
     0.00%  mongod           [kernel.kallsyms]   [k] native_write_msr
     0.00%  conn56           [kernel.kallsyms]   [k] native_write_msr
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] __intel_pmu_enable_all.constprop.0
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] _raw_spin_lock
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] x86_pmu_enable
     0.00%  conn44           [kernel.kallsyms]   [k] __intel_pmu_enable_all.constprop.0
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] intel_pmu_enable_all
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] perf_pmu_nop_void
     0.00%  conn44           [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.00%  WTCheck.tThread  [kernel.kallsyms]   [k] perf_pmu_disable.part.0
     0.00%  JournalFlusher   [kernel.kallsyms]   [k] perf_pmu_enable.part.0
     0.00%  conn44           [kernel.kallsyms]   [k] intel_pmu_enable_all
     0.00%  WTCheck.tThread  [kernel.kallsyms]   [k] __intel_pmu_enable_all.constprop.0
     0.00%  WTCheck.tThread  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FlowCon.fresher  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Timesta.Monitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  DeadlineMonitor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  ftdc             [kernel.kallsyms]   [k] native_write_msr
     0.00%  clientcursormon  [kernel.kallsyms]   [k] native_write_msr
     0.00%  decreas.ressure  [kernel.kallsyms]   [k] native_write_msr
     0.00%  WTIdleS.Sweeper  [kernel.kallsyms]   [k] native_write_msr
     0.00%  FreeMon.ocessor  [kernel.kallsyms]   [k] native_write_msr
     0.00%  Periodi.kRunner  [kernel.kallsyms]   [k] native_write_msr
     0.00%  TTLMonitor       [kernel.kallsyms]   [k] native_write_msr
     0.00%  abortEx.actions  [kernel.kallsyms]   [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
