# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 54619642632
#
# Overhead  Command      Shared Object      Symbol                                                                                                         
# ........  ...........  .................  ...............................................................................................................
#
     0.05%  reservation  reservation        [.] time.tzsetOffset
     0.05%  reservation  [kernel.kallsyms]  [k] tcp_push
     0.05%  reservation  reservation        [.] time.Now
     0.05%  reservation  [kernel.kallsyms]  [k] skb_release_head_state
     0.05%  reservation  reservation        [.] runtime.releasep
     0.05%  reservation  [kernel.kallsyms]  [k] kfree
     0.05%  reservation  [kernel.kallsyms]  [k] mod_timer
     0.05%  reservation  [kernel.kallsyms]  [k] mark_wake_futex
     0.05%  reservation  reservation        [.] reflect.Value.assignTo
     0.05%  reservation  reservation        [.] runtime.funcspdelta
     0.05%  reservation  [kernel.kallsyms]  [k] kmalloc_slab
     0.05%  reservation  reservation        [.] time.(*Location).get
     0.05%  reservation  [kernel.kallsyms]  [k] apparmor_socket_sock_rcv_skb
     0.05%  reservation  reservation        [.] bufio.(*Writer).Write
     0.05%  reservation  reservation        [.] google.golang.org/grpc/transport.newFramer.func1
     0.05%  reservation  [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.05%  reservation  [kernel.kallsyms]  [k] __tcp_ack_snd_check
     0.05%  reservation  [kernel.kallsyms]  [k] __br_forward
     0.05%  reservation  [kernel.kallsyms]  [k] event_sched_in.isra.0
     0.05%  reservation  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.05%  reservation  reservation        [.] fmt.notSpace
     0.05%  reservation  [kernel.kallsyms]  [k] rw_verify_area
     0.05%  reservation  reservation        [.] runtime.stackfree
     0.05%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.05%  reservation  reservation        [.] runtime.execute
     0.05%  reservation  [kernel.kallsyms]  [k] nf_confirm
     0.05%  reservation  reservation        [.] runtime.(*mcentral).cacheSpan
     0.05%  reservation  [kernel.kallsyms]  [k] mutex_lock
     0.05%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.05%  reservation  [kernel.kallsyms]  [k] sock_recvmsg
     0.05%  reservation  reservation        [.] net.(*netFD).Read
     0.05%  reservation  [kernel.kallsyms]  [k] ep_scan_ready_list.constprop.0
     0.05%  reservation  [kernel.kallsyms]  [k] kfree_skbmem
     0.05%  reservation  reservation        [.] syscall.read
     0.05%  reservation  reservation        [.] context.(*cancelCtx).cancel
     0.05%  reservation  [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     0.05%  reservation  [kernel.kallsyms]  [k] ip_rcv_finish_core.isra.0
     0.05%  reservation  [kernel.kallsyms]  [k] skb_clone
     0.05%  reservation  [kernel.kallsyms]  [k] br_fdb_find_rcu
     0.05%  reservation  [kernel.kallsyms]  [k] wake_up_q
     0.05%  reservation  [kernel.kallsyms]  [k] bictcp_acked
     0.05%  reservation  reservation        [.] github.com/rs/zerolog.(*Event).msg
     0.05%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.05%  reservation  reservation        [.] fmt.(*pp).free
     0.05%  reservation  reservation        [.] google.golang.org/grpc/transport.(*bdpEstimator).calculate
     0.05%  reservation  reservation        [.] runtime.netpollblockcommit
     0.05%  reservation  [kernel.kallsyms]  [k] ep_item_poll.isra.0
     0.05%  reservation  [kernel.kallsyms]  [k] br_nf_dev_queue_xmit
     0.05%  reservation  [kernel.kallsyms]  [k] activate_task
     0.05%  reservation  [kernel.kallsyms]  [k] aa_sk_perm
     0.05%  reservation  [kernel.kallsyms]  [k] do_softirq_own_stack
     0.05%  reservation  reservation        [.] github.com/golang/protobuf/proto.getbase
     0.05%  reservation  reservation        [.] net.(*TCPConn).Write
     0.05%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).WriteHeaders
     0.04%  reservation  reservation        [.] github.com/uber/jaeger-client-go.newHTTPHeaderPropagator.func2
     0.04%  reservation  [kernel.kallsyms]  [k] tcp_v4_early_demux
     0.04%  reservation  reservation        [.] github.com/golang/protobuf/proto.Clone
     0.04%  reservation  reservation        [.] github.com/harlow/go-micro-services/services/reservation.(*Server).CheckAvailability.func1
     0.04%  reservation  reservation        [.] internal/poll.(*FD).readUnlock
     0.04%  reservation  reservation        [.] github.com/rs/zerolog.(*Event).caller
     0.04%  reservation  [kernel.kallsyms]  [k] __x64_sys_nanosleep
     0.04%  reservation  reservation        [.] runtime.(*sweepLocked).sweep
     0.04%  reservation  reservation        [.] gogo
     0.04%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFreeConn
     0.04%  reservation  [kernel.kallsyms]  [k] cpumask_next_wrap
     0.04%  reservation  [kernel.kallsyms]  [k] __netif_receive_skb
     0.04%  reservation  [kernel.kallsyms]  [k] tcp_rack_update_reo_wnd
     0.04%  reservation  [kernel.kallsyms]  [k] clear_buddies
     0.04%  reservation  [kernel.kallsyms]  [k] ipv4_mtu
     0.04%  reservation  reservation        [.] runtime.resolveTypeOff
     0.04%  reservation  reservation        [.] runtime.ready
     0.04%  reservation  reservation        [.] sync.(*Pool).Put
     0.04%  reservation  reservation        [.] github.com/uber/jaeger-client-go.TraceIDFromString
     0.04%  reservation  [kernel.kallsyms]  [k] __intel_pmu_disable_all
     0.04%  reservation  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.04%  reservation  reservation        [.] math/rand.(*rngSource).Int63
     0.04%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.04%  reservation  [kernel.kallsyms]  [k] __kfree_skb_flush
     0.04%  reservation  [kernel.kallsyms]  [k] netif_rx_internal
     0.04%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.04%  reservation  [kernel.kallsyms]  [k] skb_entail
     0.04%  reservation  [kernel.kallsyms]  [k] security_sock_rcv_skb
     0.04%  reservation  [kernel.kallsyms]  [k] passthru_features_check
     0.04%  reservation  [kernel.kallsyms]  [k] ksoftirqd_running
     0.04%  reservation  [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.04%  reservation  [kernel.kallsyms]  [k] br_forward
     0.04%  reservation  reservation        [.] runtime.notetsleep_internal
     0.04%  reservation  [kernel.kallsyms]  [k] security_socket_sendmsg
     0.04%  reservation  reservation        [.] github.com/opentracing/opentracing-go.startSpanFromContextWithTracer
     0.04%  reservation  [kernel.kallsyms]  [k] release_sock
     0.04%  reservation  reservation        [.] golang.org/x/net/http2/hpack.readVarInt
     0.04%  reservation  reservation        [.] reflect.valueInterface
     0.04%  reservation  [kernel.kallsyms]  [k] ip_local_deliver
     0.04%  reservation  reservation        [.] reflect.Value.Elem
     0.04%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).Extract
     0.04%  reservation  reservation        [.] time.tzset
     0.04%  reservation  reservation        [.] github.com/rs/zerolog.(*Logger).newEvent
     0.04%  reservation  [kernel.kallsyms]  [k] tcp_wfree
     0.04%  reservation  [kernel.kallsyms]  [k] __x64_sys_read
     0.04%  reservation  [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.04%  reservation  [kernel.kallsyms]  [k] plist_add
     0.04%  reservation  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.04%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).closeStream
     0.04%  reservation  [kernel.kallsyms]  [k] ep_autoremove_wake_function
     0.04%  reservation  reservation        [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.04%  reservation  reservation        [.] runtime.adjustdefers
     0.04%  reservation  reservation        [.] reflect.(*rtype).PkgPath
     0.04%  reservation  [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.04%  reservation  [kernel.kallsyms]  [k] sk_free
     0.04%  reservation  [kernel.kallsyms]  [k] _copy_from_user
     0.04%  reservation  reservation        [.] runtime.(*pallocBits).summarize
     0.04%  reservation  reservation        [.] google.golang.org/grpc.(*Server).handleStream
     0.04%  reservation  reservation        [.] runtime.newproc
     0.04%  reservation  reservation        [.] runtime.(*fixalloc).alloc
     0.04%  reservation  reservation        [.] google.golang.org/grpc/transport.(*quotaPool).add
     0.04%  reservation  [kernel.kallsyms]  [k] __slab_free
     0.04%  reservation  [kernel.kallsyms]  [k] do_epoll_wait
     0.04%  reservation  reservation        [.] runtime.copystack
     0.04%  reservation  [kernel.kallsyms]  [k] nbp_switchdev_frame_mark
     0.04%  reservation  reservation        [.] runtime.injectglist
     0.04%  reservation  reservation        [.] reflect.name.name
     0.04%  reservation  reservation        [.] internal/poll.runtime_pollWait
     0.04%  reservation  reservation        [.] runtime.chanparkcommit
     0.04%  reservation  reservation        [.] net.(*TCPConn).SetDeadline
     0.04%  reservation  reservation        [.] bytes.(*Buffer).WriteByte
     0.04%  reservation  reservation        [.] sort.Sort
     0.04%  reservation  [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.04%  reservation  [kernel.kallsyms]  [k] nf_ip_checksum
     0.04%  reservation  [kernel.kallsyms]  [k] sock_rfree
     0.04%  reservation  reservation        [.] runtime.stopm
     0.04%  reservation  reservation        [.] runtime.(*mcache).refill
     0.04%  reservation  [kernel.kallsyms]  [k] ip_sabotage_in
     0.04%  reservation  reservation        [.] runtime.convT2I
     0.04%  reservation  [kernel.kallsyms]  [k] ip_send_check
     0.04%  reservation  [kernel.kallsyms]  [k] br_dev_queue_push_xmit
     0.04%  reservation  [kernel.kallsyms]  [k] detach_if_pending
     0.04%  reservation  reservation        [.] github.com/rs/zerolog.(*Event).write
     0.04%  reservation  reservation        [.] runtime.(*mspan).nextFreeIndex
     0.04%  reservation  [kernel.kallsyms]  [k] ip_local_deliver_finish
     0.04%  reservation  [kernel.kallsyms]  [k] cpumask_next
     0.04%  reservation  [kernel.kallsyms]  [k] account_entity_enqueue
     0.04%  reservation  reservation        [.] time.now.abi0
     0.04%  reservation  [kernel.kallsyms]  [k] skb_scrub_packet
     0.04%  reservation  [kernel.kallsyms]  [k] __skb_clone
     0.04%  reservation  reservation        [.] runtime.exitsyscall.abi0
     0.03%  reservation  [kernel.kallsyms]  [k] inet6_recvmsg
     0.03%  reservation  reservation        [.] runtime.morestack.abi0
     0.03%  reservation  [kernel.kallsyms]  [k] lock_hrtimer_base
     0.03%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*compositeObserver).OnStartSpan
     0.03%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).Write.func1
     0.03%  reservation  [kernel.kallsyms]  [k] __ip_local_out
     0.03%  reservation  reservation        [.] runtime.(*mcentral).uncacheSpan
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_rate_gen
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_cleanup_rbuf
     0.03%  reservation  [kernel.kallsyms]  [k] nf_nat_ipv4_out
     0.03%  reservation  [kernel.kallsyms]  [k] __alloc_skb
     0.03%  reservation  [kernel.kallsyms]  [k] inet6_sendmsg
     0.03%  reservation  [kernel.kallsyms]  [k] __x86_indirect_thunk_r13
     0.03%  reservation  reservation        [.] type..hash.golang.org/x/net/http2/hpack.pairNameValue
     0.03%  reservation  reservation        [.] internal/poll.(*FD).Read.dwrap.10
     0.03%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).putFreeConn
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_stream_memory_free
     0.03%  reservation  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.03%  reservation  [kernel.kallsyms]  [k] ktime_get_with_offset
     0.03%  reservation  reservation        [.] google.golang.org/grpc.(*Server).processUnaryRPC.func3
     0.03%  reservation  reservation        [.] bytes.(*Buffer).WriteString
     0.03%  reservation  reservation        [.] runtime.sendDirect
     0.03%  reservation  [kernel.kallsyms]  [k] enqueue_hrtimer
     0.03%  reservation  [kernel.kallsyms]  [k] _raw_spin_unlock_bh
     0.03%  reservation  reservation        [.] sync.(*RWMutex).RUnlock
     0.03%  reservation  reservation        [.] runtime.gfput
     0.03%  reservation  reservation        [.] runtime.gogo.abi0
     0.03%  reservation  reservation        [.] github.com/golang/protobuf/proto.(*Buffer).Unmarshal
     0.03%  reservation  [kernel.kallsyms]  [k] skb_push
     0.03%  reservation  [kernel.kallsyms]  [k] __sk_dst_check
     0.03%  reservation  [kernel.kallsyms]  [k] drop_futex_key_refs.isra.0
     0.03%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.03%  reservation  reservation        [.] encoding/json.(*decodeState).value
     0.03%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.03%  reservation  reservation        [.] context.(*cancelCtx).Value
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_established_options
     0.03%  reservation  [kernel.kallsyms]  [k] sk_page_frag_refill
     0.03%  reservation  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.03%  reservation  reservation        [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.03%  reservation  reservation        [.] time.Time.Format
     0.03%  reservation  reservation        [.] fmt.(*pp).fmtString
     0.03%  reservation  reservation        [.] golang.org/x/net/http2.(*DataFrame).invalidate
     0.03%  reservation  [kernel.kallsyms]  [k] ip_rcv
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_update_pacing_rate
     0.03%  reservation  reservation        [.] runtime.funcfile
     0.03%  reservation  reservation        [.] github.com/rs/zerolog.callerHook.Run
     0.03%  reservation  [kernel.kallsyms]  [k] get_futex_key_refs.isra.0
     0.03%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).getConn
     0.03%  reservation  reservation        [.] runtime.checkdead
     0.03%  reservation  reservation        [.] fmt.(*fmt).fmtS
     0.03%  reservation  reservation        [.] reflect.packEface
     0.03%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*mongoCluster).Acquire
     0.03%  reservation  reservation        [.] runtime.interhash
     0.03%  reservation  [kernel.kallsyms]  [k] validate_xmit_skb
     0.03%  reservation  reservation        [.] golang.org/x/net/http2.(*HeadersFrame).HeadersEnded
     0.03%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Tracer).randomID
     0.03%  reservation  reservation        [.] runtime.assertE2I
     0.03%  reservation  reservation        [.] runtime.(*mheap).freeSpanLocked
     0.03%  reservation  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.03%  reservation  reservation        [.] runtime.concatstring5
     0.03%  reservation  reservation        [.] fmt.(*ss).okVerb
     0.03%  reservation  [kernel.kallsyms]  [k] __unqueue_futex
     0.03%  reservation  reservation        [.] reflect.Zero
     0.03%  reservation  [kernel.kallsyms]  [k] hrtimer_nanosleep
     0.03%  reservation  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.03%  reservation  reservation        [.] time.Until
     0.03%  reservation  reservation        [.] internal/testlog.Getenv
     0.03%  reservation  [kernel.kallsyms]  [k] calc_timer_values
     0.03%  reservation  [kernel.kallsyms]  [k] sched_clock
     0.03%  reservation  reservation        [.] runtime.makemap_small
     0.03%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).WriteHeader
     0.03%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).Write
     0.03%  reservation  reservation        [.] fmt.(*ss).scanUint
     0.03%  reservation  [kernel.kallsyms]  [k] ktime_get_ts64
     0.03%  reservation  reservation        [.] github.com/harlow/go-micro-services/services/reservation.(*Server).MakeReservation
     0.03%  reservation  [kernel.kallsyms]  [k] apparmor_socket_sendmsg
     0.03%  reservation  [kernel.kallsyms]  [k] setup_pre_routing
     0.03%  reservation  reservation        [.] runtime.convTslice
     0.03%  reservation  [kernel.kallsyms]  [k] prepend_name
     0.03%  reservation  [kernel.kallsyms]  [k] __slab_alloc
     0.03%  reservation  reservation        [.] github.com/uber/jaeger-client-go.NewTracer.func2
     0.03%  reservation  [kernel.kallsyms]  [k] netif_skb_features
     0.03%  reservation  reservation        [.] runtime.modtimer
     0.03%  reservation  reservation        [.] reflect.(*structType).FieldByName
     0.03%  reservation  [kernel.kallsyms]  [k] skb_network_protocol
     0.03%  reservation  reservation        [.] strings.Index
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_small_queue_check.isra.0
     0.03%  reservation  [kernel.kallsyms]  [k] nf_nat_ipv4_fn
     0.03%  reservation  [kernel.kallsyms]  [k] vfs_getattr_nosec
     0.03%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*staticAddr).String
     0.03%  reservation  reservation        [.] internal/poll.(*pollDesc).wait
     0.03%  reservation  [kernel.kallsyms]  [k] __tcp_v4_send_check
     0.03%  reservation  reservation        [.] github.com/rs/zerolog.(*Event).Msgf
     0.03%  reservation  reservation        [.] runtime.strhash
     0.03%  reservation  [kernel.kallsyms]  [k] set_next_buddy
     0.03%  reservation  [kernel.kallsyms]  [k] ipv4_conntrack_in
     0.03%  reservation  [kernel.kallsyms]  [k] __fdget_pos
     0.03%  reservation  [kernel.kallsyms]  [k] ip_local_out
     0.03%  reservation  [kernel.kallsyms]  [k] set_next_task_idle
     0.03%  reservation  reservation        [.] runtime.typehash
     0.03%  reservation  reservation        [.] strconv.formatBits
     0.03%  reservation  reservation        [.] golang.org/x/net/http2.validWireHeaderFieldName
     0.03%  reservation  reservation        [.] runtime.publicationBarrier.abi0
     0.03%  reservation  reservation        [.] syscall.Syscall6.abi0
     0.03%  reservation  reservation        [.] encoding/json.stateBeginString
     0.03%  reservation  [kernel.kallsyms]  [k] sk_reset_timer
     0.03%  reservation  [kernel.kallsyms]  [k] __x64_sys_write
     0.03%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*mongoSocket).Acquire
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_v4_inbound_md5_hash
     0.03%  reservation  [kernel.kallsyms]  [k] rcu_all_qs
     0.03%  reservation  [kernel.kallsyms]  [k] security_socket_recvmsg
     0.03%  reservation  [kernel.kallsyms]  [k] __update_load_avg_blocked_se
     0.03%  reservation  reservation        [.] encoding/json.stateBeginValue
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_recv_timestamp
     0.03%  reservation  [kernel.kallsyms]  [k] tcp_options_write
     0.02%  reservation  reservation        [.] context.parentCancelCtx
     0.02%  reservation  reservation        [.] fmt.(*fmt).padString
     0.02%  reservation  [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%  reservation  reservation        [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.02%  reservation  reservation        [.] golang.org/x/net/http2.parsePingFrame
     0.02%  reservation  reservation        [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.02%  reservation  [kernel.kallsyms]  [k] fput
     0.02%  reservation  reservation        [.] runtime.exitsyscallfast_reacquired
     0.02%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti.func1
     0.02%  reservation  reservation        [.] golang.org/x/net/http2.parseHeadersFrame
     0.02%  reservation  reservation        [.] runtime.mapassign_fast32
     0.02%  reservation  reservation        [.] runtime.gfget.func1
     0.02%  reservation  [kernel.kallsyms]  [k] hrtimer_wakeup
     0.02%  reservation  [kernel.kallsyms]  [k] select_idle_sibling
     0.02%  reservation  reservation        [.] runtime.memequal0
     0.02%  reservation  reservation        [.] runtime.goexit1
     0.02%  reservation  [kernel.kallsyms]  [k] __tcp_select_window
     0.02%  reservation  reservation        [.] runtime.entersyscall
     0.02%  reservation  [kernel.kallsyms]  [k] prepend_path.isra.0
     0.02%  reservation  [kernel.kallsyms]  [k] __x86_indirect_thunk_r14
     0.02%  reservation  [kernel.kallsyms]  [k] ___slab_alloc
     0.02%  reservation  reservation        [.] github.com/golang/protobuf/proto.mergeStruct
     0.02%  reservation  reservation        [.] sync/atomic.StorePointer
     0.02%  reservation  reservation        [.] reflect.Value.SetMapIndex
     0.02%  reservation  [kernel.kallsyms]  [k] nf_nat_packet
     0.02%  reservation  [kernel.kallsyms]  [k] pick_next_entity
     0.02%  reservation  [kernel.kallsyms]  [k] __sock_wfree
     0.02%  reservation  [kernel.kallsyms]  [k] perf_pmu_enable.part.0
     0.02%  reservation  reservation        [.] strconv.Atoi
     0.02%  reservation  reservation        [.] fmt.(*ss).convertString
     0.02%  reservation  reservation        [.] runtime.memequal8
     0.02%  reservation  reservation        [.] google.golang.org/grpc/transport.decodeMetadataHeader
     0.02%  reservation  [kernel.kallsyms]  [k] memset
     0.02%  reservation  reservation        [.] github.com/opentracing/opentracing-go.(*SpanReference).Apply
     0.02%  reservation  reservation        [.] reflect.(*rtype).ptrTo
     0.02%  reservation  [kernel.kallsyms]  [k] get_nohz_timer_target
     0.02%  reservation  [kernel.kallsyms]  [k] inet_ehashfn
     0.02%  reservation  reservation        [.] runtime.resetspinning
     0.02%  reservation  reservation        [.] google.golang.org/grpc.(*Server).serveStreams.func2
     0.02%  reservation  reservation        [.] encoding/json.(*decodeState).scanWhile
     0.02%  reservation  reservation        [.] google.golang.org/grpc.(*Server).sendResponse
     0.02%  reservation  reservation        [.] os.statNolog
     0.02%  reservation  reservation        [.] google.golang.org/grpc.(*Server).serveStreams.func1
     0.02%  reservation  reservation        [.] reflect.Value.NumMethod
     0.02%  reservation  reservation        [.] gopkg.in/mgo%2ev2.copySession
     0.02%  reservation  reservation        [.] sync.(*WaitGroup).Add
     0.02%  reservation  reservation        [.] strings.Count
     0.02%  reservation  [kernel.kallsyms]  [k] nf_bridge_update_protocol
     0.02%  reservation  reservation        [.] time.skip
     0.02%  reservation  [kernel.kallsyms]  [k] __x64_sys_getcwd
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_rate_check_app_limited
     0.02%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.02%  reservation  reservation        [.] time.Time.abs
     0.02%  reservation  reservation        [.] net.(*conn).Write
     0.02%  reservation  reservation        [.] runtime.memhash64
     0.02%  reservation  [kernel.kallsyms]  [k] perf_pmu_disable.part.0
     0.02%  reservation  [kernel.kallsyms]  [k] copy_page_from_iter
     0.02%  reservation  [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.02%  reservation  [kernel.kallsyms]  [k] ipv4_conntrack_local
     0.02%  reservation  reservation        [.] github.com/uber/jaeger-lib/metrics.(*nullCounter).Inc
     0.02%  reservation  reservation        [.] github.com/opentracing/opentracing-go.(*Tag).Apply
     0.02%  reservation  reservation        [.] google.golang.org/grpc/encoding/proto.(*codec).Unmarshal
     0.02%  reservation  [kernel.kallsyms]  [k] security_file_permission
     0.02%  reservation  reservation        [.] internal/poll.setDeadlineImpl
     0.02%  reservation  reservation        [.] runtime.typedslicecopy
     0.02%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1
     0.02%  reservation  reservation        [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey
     0.02%  reservation  [kernel.kallsyms]  [k] __check_heap_object
     0.02%  reservation  [kernel.kallsyms]  [k] tick_program_event
     0.02%  reservation  [kernel.kallsyms]  [k] aa_file_perm
     0.02%  reservation  reservation        [.] runtime.goexit0
     0.02%  reservation  [kernel.kallsyms]  [k] skb_try_coalesce
     0.02%  reservation  reservation        [.] runtime.(*mcache).nextFree
     0.02%  reservation  [kernel.kallsyms]  [k] bictcp_cong_avoid
     0.02%  reservation  reservation        [.] gopkg.in/mgo%2ev2.(*mongoSocket).Query
     0.02%  reservation  reservation        [.] runtime.(*consistentHeapStats).release
     0.02%  reservation  [kernel.kallsyms]  [k] hrtimer_active
     0.02%  reservation  reservation        [.] runtime.chanrecv1
     0.02%  reservation  reservation        [.] time.Time.AddDate
     0.02%  reservation  reservation        [.] sync.runtime_procUnpin
     0.02%  reservation  [kernel.kallsyms]  [k] __nf_ct_refresh_acct
     0.02%  reservation  reservation        [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.02%  reservation  reservation        [.] golang.org/x/net/http2.(*Framer).WriteWindowUpdate
     0.02%  reservation  [kernel.kallsyms]  [k] sk_filter_trim_cap
     0.02%  reservation  reservation        [.] runtime.newproc.func1
     0.02%  reservation  reservation        [.] runtime.goexit1.abi0
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_rcv_space_adjust
     0.02%  reservation  [kernel.kallsyms]  [k] iov_iter_init
     0.02%  reservation  [kernel.kallsyms]  [k] br_handle_vlan
     0.02%  reservation  [kernel.kallsyms]  [k] rb_first
     0.02%  reservation  reservation        [.] google.golang.org/grpc/transport.(*recvBuffer).put
     0.02%  reservation  [kernel.kallsyms]  [k] mutex_unlock
     0.02%  reservation  reservation        [.] reflect.Value.Set
     0.02%  reservation  [kernel.kallsyms]  [k] ksys_read
     0.02%  reservation  [kernel.kallsyms]  [k] nf_nat_ipv4_local_in
     0.02%  reservation  reservation        [.] runtime.findnull
     0.02%  reservation  [kernel.kallsyms]  [k] iov_iter_advance
     0.02%  reservation  reservation        [.] runtime.send
     0.02%  reservation  reservation        [.] internal/poll.(*pollDesc).prepare
     0.02%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*conn).extendDeadline
     0.02%  reservation  reservation        [.] os.(*File).Write
     0.02%  reservation  [kernel.kallsyms]  [k] __tcp_push_pending_frames
     0.02%  reservation  [kernel.kallsyms]  [k] __skb_ext_put
     0.02%  reservation  reservation        [.] context.propagateCancel
     0.02%  reservation  reservation        [.] fmt.errorHandler
     0.02%  reservation  reservation        [.] golang.org/x/net/http2.readFrameHeader
     0.02%  reservation  reservation        [.] runtime.mapaccess2_fast32
     0.02%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnSetTag
     0.02%  reservation  [kernel.kallsyms]  [k] do_softirq.part.0
     0.02%  reservation  reservation        [.] runtime.heapBits.initSpan
     0.02%  reservation  reservation        [.] time.getnum
     0.02%  reservation  reservation        [.] runtime.mPark
     0.02%  reservation  reservation        [.] sort.Search
     0.02%  reservation  [kernel.kallsyms]  [k] ret_from_intr
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_newly_delivered
     0.02%  reservation  reservation        [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr
     0.02%  reservation  [kernel.kallsyms]  [k] nf_nat_ipv4_pre_routing
     0.02%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Decoder).callEmit
     0.02%  reservation  reservation        [.] github.com/uber/jaeger-client-go.ContextFromString
     0.02%  reservation  [kernel.kallsyms]  [k] nf_checksum
     0.02%  reservation  reservation        [.] time.Time.String
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_mtu_probe
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_data_ready
     0.02%  reservation  [kernel.kallsyms]  [k] tcp_parse_md5sig_option
     0.02%  reservation  [kernel.kallsyms]  [k] perf_event_sched_in
     0.02%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Span).Finish
     0.02%  reservation  reservation        [.] reflect.makemap
     0.02%  reservation  [kernel.kallsyms]  [k] dput
     0.02%  reservation  reservation        [.] runtime.(*Frames).Next
     0.02%  reservation  [kernel.kallsyms]  [k] bictcp_cwnd_event
     0.02%  reservation  reservation        [.] github.com/golang/protobuf/proto.isProto3Zero
     0.02%  reservation  reservation        [.] runtime.gorecover
     0.02%  reservation  reservation        [.] bytes.(*Buffer).WriteTo
     0.02%  reservation  [kernel.kallsyms]  [k] br_forward_finish
     0.02%  reservation  [kernel.kallsyms]  [k] override_creds
     0.02%  reservation  reservation        [.] runtime.rawstringtmp
     0.02%  reservation  reservation        [.] github.com/uber/jaeger-client-go.(*Span).SetTag
     0.02%  reservation  [kernel.kallsyms]  [k] mntput
     0.02%  reservation  [kernel.kallsyms]  [k] _copy_to_user
     0.02%  reservation  reservation        [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
