# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 150K of event 'cycles'
# Event count (approx.): 203462796398
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  frontend         [kernel.kallsyms]        [k] __skb_datagram_iter
     0.02%  frontend         [kernel.kallsyms]        [k] __update_load_avg_se
     0.02%  search           [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.02%  search           search                   [.] bytes.(*Buffer).WriteByte
     0.02%  geo              geo                      [.] fmt.(*pp).doPrintf
     0.02%  wrk              [kernel.kallsyms]        [k] nf_ct_seq_offset
     0.02%  frontend         frontend                 [.] runtime.makeslice
     0.02%  geo              [kernel.kallsyms]        [k] tcp_in_window
     0.02%  geo              [kernel.kallsyms]        [k] __update_load_avg_se
     0.02%  dockerd          [kernel.kallsyms]        [k] futex_wait
     0.02%  search           [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.02%  swapper          [kernel.kallsyms]        [k] rcu_dynticks_eqs_exit
     0.02%  frontend         frontend                 [.] encoding/json.(*decodeState).literalStore
     0.02%  dockerd          [kernel.kallsyms]        [k] jbd2_write_access_granted
     0.02%  frontend         [kernel.kallsyms]        [k] __kmalloc_node_track_caller
     0.02%  swapper          [kernel.kallsyms]        [k] put_prev_task_idle
     0.02%  search           search                   [.] google.golang.org/grpc/transport.(*http2Server).WriteStatus
     0.02%  search           search                   [.] reflect.Value.Elem
     0.02%  frontend         frontend                 [.] net.(*conn).Read
     0.02%  containerd-shim  containerd-shim-runc-v2  [.] 0x0000000000003ace
     0.02%  search           search                   [.] google.golang.org/grpc.(*clientStream).RecvMsg
     0.02%  dockerd          [kernel.kallsyms]        [k] finish_task_switch
     0.02%  frontend         frontend                 [.] runtime.(*pallocBits).summarize
     0.02%  search           [kernel.kallsyms]        [k] nf_ct_get_tuple
     0.02%  search           [kernel.kallsyms]        [k] cpuacct_charge
     0.02%  frontend         frontend                 [.] strings.EqualFold
     0.02%  wrk              [kernel.kallsyms]        [k] _raw_spin_lock_bh
     0.02%  dockerd          dockerd                  [.] time.absDate
     0.02%  wrk              wrk                      [.] lj_BC_TSETS
     0.02%  dockerd          [kernel.kallsyms]        [k] ext4_file_write_iter
     0.02%  dockerd          [kernel.kallsyms]        [k] generic_perform_write
     0.02%  frontend         [kernel.kallsyms]        [k] eth_type_trans
     0.02%  frontend         frontend                 [.] net/http.(*connReader).lock
     0.02%  recommendation   recommendation           [.] runtime.mapassign_faststr
     0.02%  frontend         [kernel.kallsyms]        [k] __check_object_size
     0.02%  frontend         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     0.02%  dockerd          dockerd                  [.] runtime.futexsleep
     0.02%  search           [kernel.kallsyms]        [k] tcp_rcv_established
     0.02%  search           search                   [.] sort.insertionSort
     0.02%  recommendation   [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.02%  dockerd          [kernel.kallsyms]        [k] start_this_handle
     0.02%  frontend         [kernel.kallsyms]        [k] br_handle_frame_finish
     0.02%  containerd-shim  [kernel.kallsyms]        [k] ep_item_poll.isra.0
     0.02%  search           [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.02%  search           [kernel.kallsyms]        [k] __update_load_avg_se
     0.02%  wrk              wrk                      [.] index2adr
     0.02%  dockerd          [kernel.kallsyms]        [k] dequeue_entity
     0.02%  dockerd          [kernel.kallsyms]        [k] _raw_write_lock_irq
     0.02%  search           search                   [.] runtime.gopark
     0.02%  containerd-shim  [kernel.kallsyms]        [k] record_times
     0.02%  docker-proxy     [kernel.kallsyms]        [k] veth_xmit
     0.02%  containerd-shim  [kernel.kallsyms]        [k] fsnotify
     0.02%  search           [kernel.kallsyms]        [k] fput_many
     0.02%  wrk              libc-2.31.so             [.] __strncpy_avx2
     0.02%  frontend         frontend                 [.] strings.ToLower
     0.02%  search           [kernel.kallsyms]        [k] __inet_lookup_established
     0.02%  swapper          [kernel.kallsyms]        [k] sched_clock_cpu
     0.02%  frontend         frontend                 [.] reflect.Value.Set
     0.02%  docker-proxy     [kernel.kallsyms]        [k] ipv4_mtu
     0.02%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).Write
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __kmalloc_node_track_caller
     0.02%  frontend         [kernel.kallsyms]        [k] ktime_get
     0.02%  frontend         frontend                 [.] bufio.(*Writer).Flush
     0.02%  wrk              wrk                      [.] hdr_record_value
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __calc_delta
     0.02%  search           search                   [.] strconv.rightShift
     0.02%  recommendation   recommendation           [.] runtime.sysmon
     0.02%  search           [kernel.kallsyms]        [k] __wake_up_common
     0.02%  recommendation   [kernel.kallsyms]        [k] timerqueue_add
     0.02%  dockerd          dockerd                  [.] runtime.schedule
     0.02%  docker-proxy     docker-proxy             [.] runtime.reentersyscall
     0.02%  wrk              [kernel.kallsyms]        [k] __netif_receive_skb_core
     0.02%  frontend         frontend                 [.] runtime.(*mcache).refill
     0.02%  frontend         [kernel.kallsyms]        [k] __local_bh_enable_ip
     0.02%  search           search                   [.] hash/crc32.slicingUpdate
     0.02%  frontend         frontend                 [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.02%  search           search                   [.] bufio.(*Reader).Read
     0.02%  frontend         [kernel.kallsyms]        [k] ip_output
     0.02%  recommendation   recommendation           [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.02%  wrk              [kernel.kallsyms]        [k] tcp_ack
     0.02%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.getBuffer
     0.02%  docker-proxy     [kernel.kallsyms]        [k] tcp_splice_read
     0.02%  frontend         frontend                 [.] net/http.Header.writeSubset
     0.02%  search           [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     0.02%  frontend         frontend                 [.] runtime.adjustpointers
     0.02%  dockerd          [kernel.kallsyms]        [k] __lock_text_start
     0.02%  wrk              [kernel.kallsyms]        [k] _raw_spin_lock
     0.02%  frontend         frontend                 [.] reflect.Value.Elem
     0.02%  search           search                   [.] syscall.Syscall.abi0
     0.02%  dockerd          dockerd                  [.] runtime.greyobject
     0.02%  frontend         frontend                 [.] time.(*Location).lookup
     0.02%  frontend         frontend                 [.] runtime.makemap
     0.02%  frontend         frontend                 [.] runtime.(*sweepLocked).sweep
     0.02%  frontend         frontend                 [.] net/url.shouldEscape
     0.02%  frontend         frontend                 [.] time.absDate
     0.02%  dockerd          [kernel.kallsyms]        [k] ep_item_poll.isra.0
     0.02%  recommendation   [kernel.kallsyms]        [k] dequeue_task_fair
     0.02%  search           search                   [.] internal/poll.(*FD).Read
     0.02%  search           search                   [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.02%  dockerd          dockerd                  [.] github.com/containerd/fifo.(*fifo).Read
     0.02%  frontend         frontend                 [.] runtime.execute
     0.02%  frontend         frontend                 [.] bytes.(*Buffer).Write
     0.02%  dockerd          [kernel.kallsyms]        [k] __x64_sys_epoll_pwait
     0.02%  search           search                   [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.02%  geo              [kernel.kallsyms]        [k] nf_conntrack_in
     0.02%  wrk              libc-2.31.so             [.] __memchr_avx2
     0.02%  frontend         frontend                 [.] runtime.mapassign_fast32
     0.02%  dockerd          [kernel.kallsyms]        [k] __x64_sys_futex
     0.02%  dockerd          dockerd                  [.] sync.(*Pool).Put
     0.02%  geo              [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     0.02%  containerd-shim  [kernel.kallsyms]        [k] select_idle_sibling.part.0
     0.02%  search           search                   [.] runtime.sweepone
     0.02%  geo              geo                      [.] memeqbody
     0.02%  frontend         [kernel.kallsyms]        [k] fsnotify
     0.02%  frontend         frontend                 [.] runtime.mcall
     0.02%  dockerd          dockerd                  [.] sync.(*Cond).Wait
     0.02%  search           search                   [.] time.Date
     0.02%  recommendation   [kernel.kallsyms]        [k] __update_load_avg_se
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __x86_indirect_thunk_rax
     0.02%  recommendation   recommendation           [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.02%  frontend         frontend                 [.] bufio.(*Reader).ReadSlice
     0.02%  geo              [kernel.kallsyms]        [k] ip_finish_output2
     0.02%  frontend         frontend                 [.] fmt.(*pp).fmtString
     0.02%  dockerd          dockerd                  [.] runtime.stopm
     0.02%  docker-proxy     [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.02%  frontend         [kernel.kallsyms]        [k] tcp_ack_update_rtt.isra.0
     0.02%  dockerd          [kernel.kallsyms]        [k] newidle_balance
     0.02%  wrk              libc-2.31.so             [.] __mpn_mul_1
     0.02%  frontend         frontend                 [.] runtime.(*mcentral).cacheSpan
     0.02%  search           [kernel.kallsyms]        [k] __kmalloc_node_track_caller
     0.02%  recommendation   recommendation           [.] runtime.schedule
     0.02%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.02%  search           [kernel.kallsyms]        [k] select_idle_sibling.part.0
     0.02%  geo              geo                      [.] golang.org/x/net/http2.(*MetaHeadersFrame).checkPseudos
     0.02%  docker-proxy     [kernel.kallsyms]        [k] native_sched_clock
     0.02%  geo              [kernel.kallsyms]        [k] __netif_receive_skb_core
     0.02%  dockerd          [kernel.kallsyms]        [k] do_futex
     0.02%  search           search                   [.] runtime.slicebytetostring
     0.02%  recommendation   [kernel.kallsyms]        [k] __fget_light
     0.02%  dockerd          [kernel.kallsyms]        [k] record_times
     0.02%  frontend         frontend                 [.] reflect.implements
     0.02%  recommendation   recommendation           [.] runtime.retake
     0.02%  frontend         [kernel.kallsyms]        [k] pipe_write
     0.02%  frontend         [kernel.kallsyms]        [k] sock_read_iter
     0.02%  wrk              [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.02%  dockerd          dockerd                  [.] runtime.(*limiterEvent).stop
     0.02%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_got_tick
     0.02%  wrk              wrk                      [.] response_complete
     0.02%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.02%  frontend         [kernel.kallsyms]        [k] ipv4_mtu
     0.02%  frontend         frontend                 [.] runtime.resolveTypeOff
     0.02%  search           search                   [.] runtime.(*pallocBits).summarize
     0.02%  frontend         [kernel.kallsyms]        [k] __x64_sys_getcwd
     0.02%  dockerd          dockerd                  [.] syscall.Syscall
     0.02%  recommendation   recommendation           [.] runtime.futex.abi0
     0.02%  wrk              libm-2.31.so             [.] __ieee754_log_fma
     0.02%  frontend         frontend                 [.] runtime.newMarkBits
     0.02%  docker-proxy     [kernel.kallsyms]        [k] pick_next_task_fair
     0.02%  frontend         frontend                 [.] internal/poll.(*fdMutex).rwunlock
     0.02%  search           [kernel.kallsyms]        [k] hash_conntrack_raw
     0.02%  wrk              [kernel.kallsyms]        [k] tcp_clean_rtx_queue
     0.02%  search           search                   [.] runtime.runqgrab
     0.02%  search           search                   [.] encoding/json.(*Decoder).Decode
     0.02%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.02%  docker-proxy     [kernel.kallsyms]        [k] enqueue_timer
     0.02%  frontend         frontend                 [.] reflect.(*rtype).Elem
     0.02%  wrk              libc-2.31.so             [.] __libc_realloc
     0.02%  search           search                   [.] internal/poll.(*FD).Write
     0.02%  geo              [kernel.kallsyms]        [k] timerqueue_add
     0.02%  frontend         [kernel.kallsyms]        [k] release_sock
     0.02%  docker-proxy     docker-proxy             [.] runtime.checkRunqsNoP
     0.02%  containerd-shim  [kernel.kallsyms]        [k] __lock_text_start
     0.02%  frontend         [kernel.kallsyms]        [k] ip_rcv_core.isra.0
     0.02%  frontend         [kernel.kallsyms]        [k] apparmor_socket_recvmsg
     0.02%  containerd-shim  [kernel.kallsyms]        [k] __update_idle_core
     0.02%  recommendation   [kernel.kallsyms]        [k] nf_hook_slow
     0.02%  search           search                   [.] fmt.(*fmt).pad
     0.02%  dockerd          dockerd                  [.] runtime.findObject
     0.02%  frontend         [kernel.kallsyms]        [k] select_idle_sibling.part.0
     0.02%  wrk              [kernel.kallsyms]        [k] dequeue_task_fair
     0.02%  frontend         [kernel.kallsyms]        [k] nf_ct_deliver_cached_events
     0.02%  geo              geo                      [.] runtime.mapdelete
     0.02%  dockerd          [kernel.kallsyms]        [k] find_next_bit
     0.02%  dockerd          [kernel.kallsyms]        [k] fput_many
     0.02%  recommendation   recommendation           [.] runtime.mapaccess1_faststr
     0.02%  search           [kernel.kallsyms]        [k] vfs_write
     0.02%  search           search                   [.] time.(*Location).lookup
     0.02%  containerd-shim  [kernel.kallsyms]        [k] new_sync_read
     0.02%  dockerd          [kernel.kallsyms]        [k] __generic_file_write_iter
     0.02%  frontend         [kernel.kallsyms]        [k] strncpy_from_user
     0.02%  recommendation   [kernel.kallsyms]        [k] enqueue_entity
     0.02%  recommendation   [kernel.kallsyms]        [k] veth_xmit
     0.02%  frontend         [kernel.kallsyms]        [k] enqueue_to_backlog
     0.02%  search           search                   [.] sync.runtime_procPin
     0.02%  frontend         frontend                 [.] github.com/rs/zerolog.(*Event).write
     0.02%  search           [kernel.kallsyms]        [k] skb_release_data
     0.02%  containerd-shim  [kernel.kallsyms]        [k] __x64_sys_epoll_pwait
     0.02%  frontend         frontend                 [.] runtime.interhash
     0.02%  wrk              wrk                      [.] move_next
     0.02%  dockerd          dockerd                  [.] runtime.checkRunqsNoP
     0.02%  docker-proxy     docker-proxy             [.] runtime.sysmon
     0.02%  docker-proxy     docker-proxy             [.] runtime.netpollready
     0.02%  frontend         frontend                 [.] runtime.netpoll
     0.02%  search           [kernel.kallsyms]        [k] __local_bh_enable_ip
     0.02%  frontend         frontend                 [.] google.golang.org/grpc.(*balancerWrapper).Pick
     0.02%  docker-proxy     [kernel.kallsyms]        [k] pipe_lock
     0.02%  frontend         frontend                 [.] google.golang.org/grpc/transport.loopyWriter
     0.02%  frontend         [kernel.kallsyms]        [k] prepend_path.isra.0
     0.02%  search           search                   [.] runtime.(*mcache).refill
     0.02%  dockerd          [kernel.kallsyms]        [k] anon_pipe_buf_release
     0.02%  frontend         frontend                 [.] net/textproto.(*Reader).ReadMIMEHeader
     0.02%  docker-proxy     [kernel.kallsyms]        [k] process_backlog
     0.02%  frontend         frontend                 [.] fmt.Sprintf
     0.02%  docker-proxy     [kernel.kallsyms]        [k] ip_output
     0.02%  recommendation   recommendation           [.] runtime.mapassign
     0.02%  recommendation   [kernel.kallsyms]        [k] try_to_wake_up
     0.02%  dockerd          dockerd                  [.] runtime.netpollblock
     0.02%  docker-proxy     [kernel.kallsyms]        [k] update_rq_clock
     0.02%  search           [kernel.kallsyms]        [k] ipv4_dst_check
     0.02%  search           search                   [.] bytes.(*Buffer).Write
     0.02%  docker-proxy     [kernel.kallsyms]        [k] ktime_get
     0.02%  wrk              [kernel.kallsyms]        [k] rb_insert_color
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __ksize
     0.02%  wrk              [kernel.kallsyms]        [k] __cgroup_bpf_run_filter_skb
     0.02%  search           search                   [.] google.golang.org/grpc/transport.(*http2Client).Write
     0.02%  dockerd          dockerd                  [.] runtime.heapBitsSetType
     0.02%  wrk              [vdso]                   [.] time
     0.02%  recommendation   [kernel.kallsyms]        [k] __switch_to_asm
     0.02%  frontend         frontend                 [.] fmt.newPrinter
     0.02%  containerd-shim  [kernel.kallsyms]        [k] finish_task_switch
     0.02%  dockerd          [kernel.kallsyms]        [k] _cond_resched
     0.02%  search           search                   [.] runtime.stackalloc
     0.02%  frontend         frontend                 [.] net/textproto.(*Reader).readLineSlice
     0.02%  docker-proxy     docker-proxy             [.] runtime.runqgrab
     0.02%  geo              [kernel.kallsyms]        [k] select_idle_sibling.part.0
     0.02%  docker-proxy     docker-proxy             [.] runtime.netpollblock
     0.02%  dockerd          [kernel.kallsyms]        [k] native_write_msr
     0.02%  docker-proxy     [kernel.kallsyms]        [k] timerqueue_add
     0.02%  geo              geo                      [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.02%  docker-proxy     [kernel.kallsyms]        [k] dst_release
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __switch_to_asm
     0.02%  frontend         frontend                 [.] time.now.abi0
     0.02%  search           search                   [.] github.com/rs/zerolog.(*Logger).newEvent
     0.02%  docker-proxy     [kernel.kallsyms]        [k] get_pipe_info
     0.02%  recommendation   [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.02%  docker-proxy     [kernel.kallsyms]        [k] select_idle_sibling.part.0
     0.02%  search           search                   [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.02%  frontend         frontend                 [.] net/http.extraHeader.Write
     0.02%  docker-proxy     docker-proxy             [.] runtime.retake
     0.02%  search           [kernel.kallsyms]        [k] path_init
     0.02%  frontend         frontend                 [.] runtime.(*mcentral).uncacheSpan
     0.02%  containerd-shim  [kernel.kallsyms]        [k] update_rq_clock
     0.02%  wrk              [kernel.kallsyms]        [k] ktime_get_ts64
     0.02%  frontend         frontend                 [.] encoding/json.(*Decoder).Decode
     0.02%  frontend         frontend                 [.] hash/crc32.slicingUpdate
     0.02%  search           [kernel.kallsyms]        [k] switch_fpu_return
     0.02%  search           search                   [.] runtime.(*mspan).refillAllocCache
     0.02%  docker-proxy     [kernel.kallsyms]        [k] record_times
     0.02%  recommendation   recommendation           [.] runtime.netpoll
     0.02%  search           search                   [.] runtime.exitsyscallfast
     0.02%  swapper          [kernel.kallsyms]        [k] __enqueue_entity
     0.02%  frontend         frontend                 [.] reflect.convertOp
     0.02%  containerd-shim  [kernel.kallsyms]        [k] newidle_balance
     0.02%  search           search                   [.] sort.quickSort
     0.02%  containerd-shim  [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.02%  frontend         frontend                 [.] reflect.Value.SetMapIndex
     0.02%  wrk              [kernel.kallsyms]        [k] skb_page_frag_refill
     0.02%  search           [kernel.kallsyms]        [k] available_idle_cpu
     0.02%  search           search                   [.] runtime.mapassign_fast32
     0.02%  dockerd          [kernel.kallsyms]        [k] find_get_entry
     0.02%  frontend         [kernel.kallsyms]        [k] rw_verify_area
     0.02%  search           search                   [.] golang.org/x/net/http2.(*Framer).endWrite
     0.02%  search           [kernel.kallsyms]        [k] strncpy_from_user
     0.02%  search           search                   [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.02%  frontend         frontend                 [.] fmt.(*pp).fmtInteger
     0.02%  wrk              wrk                      [.] delay_request
     0.02%  dockerd          [kernel.kallsyms]        [k] add_transaction_credits
     0.02%  wrk              libc-2.31.so             [.] _IO_default_xsputn
     0.02%  search           search                   [.] github.com/harlow/go-micro-services/services/search.(*Server).Nearby
     0.02%  recommendation   [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.02%  docker-proxy     docker-proxy             [.] runtime.futex.abi0
     0.02%  frontend         frontend                 [.] compress/flate.(*huffmanBitWriter).flush
     0.02%  wrk              [kernel.kallsyms]        [k] __ip_queue_xmit
     0.02%  frontend         frontend                 [.] net/http.(*conn).hijacked
     0.02%  containerd-shim  [kernel.kallsyms]        [k] update_min_vruntime
     0.02%  containerd-shim  [kernel.kallsyms]        [k] pipe_write
     0.02%  frontend         [kernel.kallsyms]        [k] ip_finish_output
     0.02%  search           search                   [.] internal/poll.(*fdMutex).rwlock
     0.02%  wrk              wrk                      [.] resizetab
     0.02%  docker-proxy     [kernel.kallsyms]        [k] br_dev_xmit
     0.02%  wrk              wrk                      [.] lj_BC_UGET
     0.02%  geo              [kernel.kallsyms]        [k] _raw_spin_lock
     0.02%  recommendation   recommendation           [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.02%  search           [kernel.kallsyms]        [k] nf_ct_deliver_cached_events
     0.02%  search           search                   [.] runtime.systemstack.abi0
     0.02%  swapper          [kernel.kallsyms]        [k] account_entity_enqueue
     0.02%  geo              geo                      [.] runtime.mapaccess1_faststr
     0.02%  docker-proxy     [kernel.kallsyms]        [k] tcp_read_sock
     0.02%  frontend         frontend                 [.] os.(*File).Write
     0.02%  geo              [kernel.kallsyms]        [k] try_to_wake_up
     0.02%  dockerd          dockerd                  [.] runtime.memclrNoHeapPointers
     0.02%  docker-proxy     [vdso]                   [.] __vdso_clock_gettime
     0.02%  geo              geo                      [.] runtime.reentersyscall
     0.02%  frontend         frontend                 [.] sync.runtime_procPin
     0.02%  recommendation   recommendation           [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.02%  recommendation   [kernel.kallsyms]        [k] reweight_entity
     0.02%  geo              [kernel.kallsyms]        [k] _raw_spin_lock_bh
     0.02%  frontend         [kernel.kallsyms]        [k] ksoftirqd_running
     0.02%  wrk              [kernel.kallsyms]        [k] schedule
     0.02%  search           search                   [.] sync.(*RWMutex).RUnlock
     0.02%  recommendation   [kernel.kallsyms]        [k] select_task_rq_fair
     0.02%  docker-proxy     [kernel.kallsyms]        [k] splice_to_pipe
     0.02%  dockerd          [kernel.kallsyms]        [k] _raw_read_unlock_irqrestore
     0.02%  search           search                   [.] runtime.funcMaxSPDelta
     0.02%  search           search                   [.] runtime.(*mcentral).cacheSpan
     0.02%  frontend         [kernel.kallsyms]        [k] tcp_v4_early_demux
     0.02%  recommendation   [kernel.kallsyms]        [k] pick_next_task_fair
     0.02%  search           search                   [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.02%  wrk              wrk                      [.] lj_BC_CALLT
     0.02%  search           [kernel.kallsyms]        [k] apic_timer_interrupt
     0.02%  frontend         [kernel.kallsyms]        [k] activate_task
     0.02%  frontend         [kernel.kallsyms]        [k] update_blocked_averages
     0.02%  geo              [kernel.kallsyms]        [k] common_file_perm
     0.02%  frontend         frontend                 [.] time.(*Location).get
     0.02%  dockerd          [kernel.kallsyms]        [k] __update_idle_core
     0.02%  frontend         [kernel.kallsyms]        [k] new_sync_read
     0.02%  docker-proxy     [kernel.kallsyms]        [k] tcp_event_new_data_sent
     0.02%  frontend         [kernel.kallsyms]        [k] fput_many
     0.02%  wrk              [kernel.kallsyms]        [k] ep_item_poll.isra.0
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __splice_segment.part.0
     0.02%  search           search                   [.] encoding/json.stateBeginValue
     0.02%  search           search                   [.] golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.02%  frontend         frontend                 [.] runtime.isSystemGoroutine
     0.02%  search           search                   [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingClientInterceptor.func1
     0.02%  frontend         frontend                 [.] context.WithValue
     0.02%  geo              [kernel.kallsyms]        [k] kmem_cache_free
     0.02%  search           search                   [.] fmt.newPrinter
     0.02%  search           [kernel.kallsyms]        [k] br_nf_hook_thresh
     0.02%  recommendation   recommendation           [.] runtime.unlock2
     0.02%  search           [kernel.kallsyms]        [k] ovl_getattr
     0.02%  swapper          [kernel.kallsyms]        [k] lapic_next_deadline
     0.02%  docker-proxy     [kernel.kallsyms]        [k] __skb_splice_bits
     0.02%  frontend         [kernel.kallsyms]        [k] aa_file_perm
     0.02%  swapper          [kernel.kallsyms]        [k] smp_apic_timer_interrupt
     0.02%  wrk              [kernel.kallsyms]        [k] __x86_indirect_thunk_rax
     0.02%  geo              [kernel.kallsyms]        [k] __dev_queue_xmit
     0.02%  geo              geo                      [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.02%  search           [kernel.kallsyms]        [k] mod_timer
     0.02%  dockerd          [kernel.kallsyms]        [k] schedule
     0.02%  search           search                   [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.02%  docker-proxy     docker-proxy             [.] runtime.procyield.abi0
     0.02%  recommendation   [kernel.kallsyms]        [k] br_handle_frame
     0.02%  docker-proxy     [kernel.kallsyms]        [k] inet_send_prepare
     0.02%  search           search                   [.] runtime.stackfree
     0.02%  geo              [kernel.kallsyms]        [k] read_tsc
     0.02%  frontend         frontend                 [.] context.(*cancelCtx).cancel
     0.02%  frontend         frontend                 [.] fmt.(*fmt).pad
     0.02%  containerd-shim  [kernel.kallsyms]        [k] __hrtimer_init
     0.02%  docker-proxy     [kernel.kallsyms]        [k] net_rx_action
     0.02%  geo              geo                      [.] bufio.(*Reader).Read
     0.02%  frontend         [kernel.kallsyms]        [k] kfree
     0.02%  search           [kernel.kallsyms]        [k] nf_ct_seq_offset
     0.02%  geo              [kernel.kallsyms]        [k] futex_wait
     0.02%  frontend         [kernel.kallsyms]        [k] apparmor_socket_sendmsg
     0.02%  search           search                   [.] runtime.selunlock
     0.02%  dockerd          dockerd                  [.] os.(*File).Read
     0.02%  wrk              [kernel.kallsyms]        [k] ep_poll_callback
     0.02%  frontend         frontend                 [.] compress/flate.(*byFreq).Swap
     0.02%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.returnBuffer
     0.02%  frontend         frontend                 [.] google.golang.org/grpc.(*clientStream).SendMsg
     0.02%  frontend         frontend                 [.] google.golang.org/grpc.(*ClientConn).Invoke
     0.02%  search           search                   [.] google.golang.org/grpc/transport.loopyWriter
     0.02%  recommendation   [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.02%  frontend         [kernel.kallsyms]        [k] new_sync_write
     0.02%  search           [kernel.kallsyms]        [k] __check_object_size
     0.02%  geo              geo                      [.] runtime.greyobject
     0.02%  frontend         [kernel.kallsyms]        [k] __lock_text_start
     0.02%  containerd-shim  containerd-shim-runc-v2  [.] 0x0000000000031434
     0.02%  search           search                   [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.02%  geo              geo                      [.] runtime.sysmon
     0.02%  recommendation   recommendation           [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.02%  wrk              [kernel.kallsyms]        [k] __wake_up_common
     0.02%  wrk              [kernel.kallsyms]        [k] mutex_lock
     0.02%  geo              geo                      [.] runtime.schedule
     0.02%  search           search                   [.] runtime.releaseSudog
     0.02%  wrk              wrk                      [.] aeCreateFileEvent
     0.02%  frontend         [kernel.kallsyms]        [k] net_rx_action
     0.02%  dockerd          [kernel.kallsyms]        [k] __fsnotify_parent
     0.02%  wrk              [kernel.kallsyms]        [k] __kmalloc_node_track_caller
     0.02%  docker-proxy     docker-proxy             [.] runtime/internal/syscall.Syscall6
     0.02%  recommendation   [kernel.kallsyms]        [k] _raw_spin_lock
     0.02%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.02%  docker-proxy     [kernel.kallsyms]        [k] _raw_read_lock_irqsave
     0.02%  dockerd          dockerd                  [.] runtime.(*mcache).prepareForSweep
     0.02%  search           search                   [.] os.(*File).Write
     0.02%  frontend         frontend                 [.] runtime.publicationBarrier.abi0
     0.02%  frontend         frontend                 [.] google.golang.org/grpc.invoke
     0.02%  search           search                   [.] runtime.(*Frames).Next
     0.02%  search           search                   [.] encoding/json.(*decodeState).value
     0.02%  search           [kernel.kallsyms]        [k] __cgroup_bpf_run_filter_skb
     0.02%  recommendation   [kernel.kallsyms]        [k] __netif_receive_skb_core
     0.02%  frontend         [kernel.kallsyms]        [k] __slab_free
     0.02%  recommendation   [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.02%  search           search                   [.] encoding/json.(*decodeState).unmarshal
     0.02%  docker-proxy     [kernel.kallsyms]        [k] nf_ct_get_tuple
     0.02%  dockerd          dockerd                  [.] internal/poll.(*fdMutex).rwlock
     0.02%  search           search                   [.] golang.org/x/net/http2.(*Framer).readMetaFrame
     0.02%  search           [kernel.kallsyms]        [k] __lock_text_start
     0.02%  wrk              wrk                      [.] lj_vm_call_dispatch_f
