# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 212631010484
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  swapper          [kernel.kallsyms]        [k] set_task_cpu
     0.01%  recommendation   recommendation           [.] google.golang.org/grpc/transport.encodeGrpcMessage
     0.01%  geo              [kernel.kallsyms]        [k] memset_erms
     0.01%  frontend         [kernel.kallsyms]        [k] sk_forced_mem_schedule
     0.01%  frontend         [kernel.kallsyms]        [k] tcp_push
     0.01%  frontend         frontend                 [.] time.tzset
     0.01%  swapper          [kernel.kallsyms]        [k] irq_exit
     0.01%  frontend         [kernel.kallsyms]        [k] rb_erase
     0.01%  search           search                   [.] github.com/golang/protobuf/proto.getbase
     0.01%  frontend         frontend                 [.] bytes.(*Buffer).WriteTo
     0.01%  search           search                   [.] github.com/rs/zerolog.consoleDefaultFormatCaller.func1
     0.01%  search           [kernel.kallsyms]        [k] ksoftirqd_running
     0.01%  geo              geo                      [.] context.propagateCancel
     0.01%  frontend         [kernel.kallsyms]        [k] vfs_getattr_nosec
     0.01%  recommendation   recommendation           [.] github.com/golang/protobuf/proto.Clone
     0.01%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.01%  search           [kernel.kallsyms]        [k] link_path_walk.part.0
     0.01%  recommendation   [kernel.kallsyms]        [k] _raw_spin_lock_bh
     0.01%  frontend         frontend                 [.] net/http.newTextprotoReader
     0.01%  geo              geo                      [.] runtime.mapaccess2_faststr
     0.01%  wrk              [kernel.kallsyms]        [k] fput
     0.01%  dockerd          [kernel.kallsyms]        [k] mb_find_extent
     0.01%  recommendation   [kernel.kallsyms]        [k] mod_timer
     0.01%  frontend         [kernel.kallsyms]        [k] __netif_receive_skb_one_core
     0.01%  search           search                   [.] runtime.deferreturn
     0.01%  dockerd          dockerd                  [.] internal/poll.(*FD).writeUnlock
     0.01%  frontend         frontend                 [.] reflect.directlyAssignable
     0.01%  docker-proxy     [kernel.kallsyms]        [k] get_futex_value_locked
     0.01%  search           [kernel.kallsyms]        [k] generic_permission
     0.01%  geo              geo                      [.] runtime.stopm
     0.01%  frontend         frontend                 [.] runtime.semrelease1
     0.01%  recommendation   [kernel.kallsyms]        [k] deactivate_task
     0.01%  frontend         [kernel.kallsyms]        [k] aa_sk_perm
     0.01%  geo              [kernel.kallsyms]        [k] smp_call_function_many
     0.01%  search           [kernel.kallsyms]        [k] tcp_wfree
     0.01%  all-in-one-linu  all-in-one-linux         [.] runtime.findObject
     0.01%  containerd-shim  [kernel.kallsyms]        [k] hrtimer_nanosleep
     0.01%  dockerd          [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.01%  dockerd          [kernel.kallsyms]        [k] ksys_read
     0.01%  search           search                   [.] runtime.(*consistentHeapStats).acquire
     0.01%  docker-proxy     [kernel.kallsyms]        [k] __x64_sys_epoll_pwait
     0.01%  recommendation   recommendation           [.] runtime.timeSleepUntil
     0.01%  search           search                   [.] compress/gzip.(*Reader).readHeader
     0.01%  search           search                   [.] hash/crc32.Update
     0.01%  search           search                   [.] github.com/uber/jaeger-client-go.(*compositeSpanObserver).OnSetTag
     0.01%  frontend         frontend                 [.] sync.(*poolChain).pushHead
     0.01%  search           search                   [.] google.golang.org/grpc.(*balancerWrapper).Pick
     0.01%  swapper          [kernel.kallsyms]        [k] resched_curr
     0.01%  search           [kernel.kallsyms]        [k] __fsnotify_parent
     0.01%  docker-proxy     [kernel.kallsyms]        [k] tcp_cleanup_rbuf
     0.01%  docker-proxy     [kernel.kallsyms]        [k] _cond_resched
     0.01%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock_irq
     0.01%  geo              [kernel.kallsyms]        [k] activate_task
     0.01%  geo              [kernel.kallsyms]        [k] ip_output
     0.01%  frontend         [kernel.kallsyms]        [k] record_times
     0.01%  geo              [kernel.kallsyms]        [k] get_l4proto
     0.01%  search           search                   [.] runtime.freedefer
     0.01%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.appendIndexedName
     0.01%  search           [kernel.kallsyms]        [k] skb_ext_add
     0.01%  frontend         frontend                 [.] compress/flate.(*huffmanBitWriter).writeBytes
     0.01%  geo              [kernel.kallsyms]        [k] __kmalloc_node_track_caller
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x0000000000037f9b
     0.01%  recommendation   recommendation           [.] reflect.(*structType).Field
     0.01%  user             [kernel.kallsyms]        [k] do_syscall_64
     0.01%  search           search                   [.] github.com/rs/zerolog.consoleDefaultFormatLevel.func1
     0.01%  dockerd          [kernel.kallsyms]        [k] ksys_write
     0.01%  docker-proxy     docker-proxy             [.] runtime.memequal64
     0.01%  docker-proxy     [kernel.kallsyms]        [k] ip_local_out
     0.01%  recommendation   recommendation           [.] runtime.chansend
     0.01%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.(*dynamicTable).add
     0.01%  geo              [kernel.kallsyms]        [k] ep_poll_callback
     0.01%  containerd-shim  [kernel.kallsyms]        [k] __remove_hrtimer
     0.01%  frontend         frontend                 [.] compress/flate.(*compressor).fillStore
     0.01%  recommendation   [kernel.kallsyms]        [k] tcp_clean_rtx_queue
     0.01%  recommendation   [kernel.kallsyms]        [k] ktime_get
     0.01%  geo              [kernel.kallsyms]        [k] interrupt_entry
     0.01%  search           search                   [.] runtime.callers
     0.01%  frontend         frontend                 [.] strconv.ryuFtoaShortest
     0.01%  dockerd          [kernel.kallsyms]        [k] select_estimate_accuracy
     0.01%  geo              geo                      [.] golang.org/x/net/http2/hpack.(*headerFieldTable).evictOldest
     0.01%  geo              [kernel.kallsyms]        [k] nf_ct_seq_offset
     0.01%  dockerd          [kernel.kallsyms]        [k] account_entity_enqueue
     0.01%  wrk              [kernel.kallsyms]        [k] native_write_msr
     0.01%  docker-proxy     [kernel.kallsyms]        [k] bictcp_cwnd_event
     0.01%  frontend         frontend                 [.] net.(*netFD).Read
     0.01%  frontend         frontend                 [.] google.golang.org/grpc.(*addrConn).getReadyTransport
     0.01%  search           search                   [.] golang.org/x/net/http2.parseHeadersFrame
     0.01%  frontend         frontend                 [.] net/http.newBufioWriterSize
     0.01%  wrk              wrk                      [.] lj_BC_CALLM
     0.01%  containerd-shim  [kernel.kallsyms]        [k] __x64_sys_read
     0.01%  search           search                   [.] google.golang.org/grpc.invoke
     0.01%  docker-proxy     [kernel.kallsyms]        [k] cpumask_next_wrap
     0.01%  containerd-shim  [kernel.kallsyms]        [k] hash_futex
     0.01%  frontend         frontend                 [.] net/url.validOptionalPort
     0.01%  search           search                   [.] compress/flate.(*decompressor).dataBlock
     0.01%  search           [kernel.kallsyms]        [k] ovl_path_real
     0.01%  geo              geo                      [.] runtime.mcall
     0.01%  swapper          [kernel.kallsyms]        [k] intel_pstate_update_util
     0.01%  search           search                   [.] github.com/uber/jaeger-client-go.NewTracer.func2
     0.01%  dockerd          dockerd                  [.] runtime.runqput
     0.01%  geo              [kernel.kallsyms]        [k] __softirqentry_text_start
     0.01%  recommendation   [kernel.kallsyms]        [k] nf_ct_get_tuple
     0.01%  dockerd          [kernel.kallsyms]        [k] ext4_inode_block_valid
     0.01%  wrk              [kernel.kallsyms]        [k] finish_task_switch
     0.01%  dockerd          [kernel.kallsyms]        [k] apic_timer_interrupt
     0.01%  recommendation   [kernel.kallsyms]        [k] ipv4_dst_check
     0.01%  search           search                   [.] github.com/rs/zerolog.(*Event).Msgf
     0.01%  wrk              wrk                      [.] luaL_addvalue
     0.01%  wrk              [kernel.kallsyms]        [k] ip_rcv
     0.01%  frontend         frontend                 [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.01%  frontend         [kernel.kallsyms]        [k] detach_if_pending
     0.01%  search           search                   [.] github.com/harlow/go-micro-services/services/geo/proto.(*geoClient).Nearby
     0.01%  frontend         frontend                 [.] net/url.(*URL).setPath
     0.01%  geo              geo                      [.] google.golang.org/grpc/transport.(*recvBuffer).put
     0.01%  search           search                   [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Inject
     0.01%  frontend         frontend                 [.] net/http.Header.Clone
     0.01%  frontend         [kernel.kallsyms]        [k] __tcp_push_pending_frames
     0.01%  search           search                   [.] runtime.convT32
     0.01%  search           [kernel.kallsyms]        [k] __x64_sys_write
     0.01%  search           [kernel.kallsyms]        [k] futex_wait
     0.01%  search           search                   [.] reflect.Value.Bytes
     0.01%  search           search                   [.] github.com/rs/zerolog.glob..func5
     0.01%  geo              geo                      [.] sync.(*Pool).Get
     0.01%  search           search                   [.] golang.org/x/net/http2.readFrameHeader
     0.01%  containerd-shim  [kernel.kallsyms]        [k] ktime_get_coarse_real_ts64
     0.01%  search           search                   [.] github.com/uber/jaeger-client-go.ContextFromString
     0.01%  search           [kernel.kallsyms]        [k] memcpy_erms
     0.01%  frontend         frontend                 [.] context.(*valueCtx).Deadline
     0.01%  recommendation   recommendation           [.] reflect.name.name
     0.01%  recommendation   [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     0.01%  frontend         frontend                 [.] strconv.Atoi
     0.01%  frontend         [kernel.kallsyms]        [k] nbp_switchdev_frame_mark
     0.01%  containerd-shim  [kernel.kallsyms]        [k] rcu_all_qs
     0.01%  docker-proxy     [kernel.kallsyms]        [k] check_preempt_curr
     0.01%  search           [kernel.kallsyms]        [k] ip_output
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.01%  geo              [kernel.kallsyms]        [k] hrtimer_active
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*decodeState).decodeResponseHeader
     0.01%  search           [kernel.kallsyms]        [k] ipv4_conntrack_local
     0.01%  frontend         frontend                 [.] reflect.(*rtype).Key
     0.01%  wrk              [kernel.kallsyms]        [k] tcp_cleanup_rbuf
     0.01%  wrk              [kernel.kallsyms]        [k] __slab_free
     0.01%  wrk              [kernel.kallsyms]        [k] sock_read_iter
     0.01%  geo              [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.01%  dockerd          [kernel.kallsyms]        [k] account_page_dirtied
     0.01%  dockerd          dockerd                  [.] runtime.memequal64
     0.01%  frontend         [kernel.kallsyms]        [k] native_sched_clock
     0.01%  frontend         frontend                 [.] runtime.entersyscall
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*http2Client).itemHandler-fm
     0.01%  frontend         frontend                 [.] github.com/uber/jaeger-client-go.(*Tracer).Inject
     0.01%  geo              geo                      [.] reflect.(*structType).Field
     0.01%  wrk              [kernel.kallsyms]        [k] __skb_clone
     0.01%  frontend         [kernel.kallsyms]        [k] ipod_hook_fn
     0.01%  frontend         frontend                 [.] context.parentCancelCtx
     0.01%  frontend         [kernel.kallsyms]        [k] kmalloc_slab
     0.01%  search           search                   [.] github.com/rs/zerolog/internal/json.Encoder.AppendTime
     0.01%  search           search                   [.] google.golang.org/grpc.(*pickerWrapper).pick
     0.01%  geo              [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.01%  search           search                   [.] runtime.funcname
     0.01%  wrk              libm-2.31.so             [.] logf32x
     0.01%  recommendation   recommendation           [.] internal/poll.(*FD).Read
     0.01%  frontend         [kernel.kallsyms]        [k] ipv4_conntrack_in
     0.01%  search           search                   [.] runtime.typedmemclr
     0.01%  frontend         frontend                 [.] net/textproto.mustHaveFieldNameColon
     0.01%  frontend         frontend                 [.] reflect.(*rtype).Name
     0.01%  recommendation   recommendation           [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.01%  frontend         frontend                 [.] runtime.gcWriteBarrierDX
     0.01%  search           search                   [.] context.removeChild
     0.01%  search           search                   [.] compress/gzip.(*Reader).Reset
     0.01%  docker-proxy     docker-proxy             [.] runtime.netpollblockcommit
     0.01%  frontend         frontend                 [.] net/http.(*ServeMux).handler
     0.01%  search           search                   [.] encoding/json.(*scanner).popParseState
     0.01%  wrk              wrk                      [.] script_request
     0.01%  frontend         frontend                 [.] context.(*cancelCtx).Deadline
     0.01%  search           search                   [.] google.golang.org/grpc.(*roundRobin).Get
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x000000000001c7dc
     0.01%  search           search                   [.] google.golang.org/grpc.(*clientStream).finish
     0.01%  search           [kernel.kallsyms]        [k] put_prev_entity
     0.01%  frontend         frontend                 [.] strconv.atof32
     0.01%  search           [kernel.kallsyms]        [k] kfree
     0.01%  geo              geo                      [.] runtime.mapaccess2
     0.01%  frontend         [kernel.kallsyms]        [k] nf_nat_ipv4_local_in
     0.01%  frontend         [kernel.kallsyms]        [k] fput
     0.01%  dockerd          [kernel.kallsyms]        [k] __x64_sys_write
     0.01%  recommendation   recommendation           [.] bufio.(*Writer).Flush
     0.01%  dockerd          dockerd                  [.] time.Time.Format
     0.01%  frontend         frontend                 [.] golang.org/x/net/http2.readFrameHeader
     0.01%  dockerd          [kernel.kallsyms]        [k] ktime_get
     0.01%  geo              [kernel.kallsyms]        [k] set_task_cpu
     0.01%  search           search                   [.] time.(*Location).get
     0.01%  search           search                   [.] runtime.semacquire1
     0.01%  docker-proxy     [kernel.kallsyms]        [k] __sk_dst_check
     0.01%  frontend         [kernel.kallsyms]        [k] place_entity
     0.01%  frontend         frontend                 [.] runtime.(*semaRoot).dequeue
     0.01%  docker-proxy     [kernel.kallsyms]        [k] ip_rcv_finish_core.isra.0
     0.01%  frontend         [kernel.kallsyms]        [k] cp_new_stat
     0.01%  recommendation   [kernel.kallsyms]        [k] ep_poll
     0.01%  dockerd          [kernel.kallsyms]        [k] rb_next
     0.01%  frontend         [kernel.kallsyms]        [k] bictcp_cwnd_event
     0.01%  search           search                   [.] golang.org/x/net/http2/hpack.readVarInt
     0.01%  docker-proxy     docker-proxy             [.] runtime.notetsleep_internal
     0.01%  search           search                   [.] runtime.rawstringtmp
     0.01%  frontend         [kernel.kallsyms]        [k] pick_next_task_fair
     0.01%  recommendation   [kernel.kallsyms]        [k] skb_release_data
     0.01%  frontend         [kernel.kallsyms]        [k] __x64_sys_read
     0.01%  geo              [kernel.kallsyms]        [k] sock_poll
     0.01%  frontend         [kernel.kallsyms]        [k] security_socket_recvmsg
     0.01%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.(*Decoder).at
     0.01%  docker-proxy     [kernel.kallsyms]        [k] netif_skb_features
     0.01%  geo              [kernel.kallsyms]        [k] finish_task_switch
     0.01%  frontend         [kernel.kallsyms]        [k] apic_timer_interrupt
     0.01%  recommendation   recommendation           [.] runtime.(*itabTableType).find
     0.01%  docker-proxy     [kernel.kallsyms]        [k] tcp_mstamp_refresh
     0.01%  geo              [kernel.kallsyms]        [k] skb_ext_add
     0.01%  frontend         frontend                 [.] strconv.ParseFloat
     0.01%  frontend         frontend                 [.] cmpbody
     0.01%  wrk              wrk                      [.] lua_tolstring
     0.01%  docker-proxy     [kernel.kallsyms]        [k] __tcp_select_window
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*Stream).Read
     0.01%  search           [kernel.kallsyms]        [k] vfs_read
     0.01%  frontend         frontend                 [.] github.com/opentracing-contrib/go-stdlib/nethttp.(*statusCodeTracker).Header
     0.01%  frontend         [kernel.kallsyms]        [k] br_validate_ipv4.isra.0
     0.01%  frontend         frontend                 [.] context.removeChild
     0.01%  recommendation   recommendation           [.] runtime.acquireSudog
     0.01%  docker-proxy     [kernel.kallsyms]        [k] do_splice_to
     0.01%  search           [kernel.kallsyms]        [k] account_entity_enqueue
     0.01%  docker-proxy     [kernel.kallsyms]        [k] clear_buddies
     0.01%  docker-proxy     [kernel.kallsyms]        [k] ip_send_check
     0.01%  wrk              [kernel.kallsyms]        [k] memset_erms
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x000000000003dc3f
     0.01%  frontend         frontend                 [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.SetSpanTags
     0.01%  docker-proxy     [kernel.kallsyms]        [k] get_futex_key
     0.01%  docker-proxy     [kernel.kallsyms]        [k] raw_local_deliver
     0.01%  dockerd          dockerd                  [.] runtime.procyield.abi0
     0.01%  frontend         [kernel.kallsyms]        [k] apparmor_file_permission
     0.01%  frontend         [kernel.kallsyms]        [k] _raw_write_lock_irq
     0.01%  wrk              [kernel.kallsyms]        [k] tcp_rcv_space_adjust
     0.01%  user             user                     [.] runtime.heapBitsSetType
     0.01%  recommendation   [kernel.kallsyms]        [k] __ksize
     0.01%  frontend         frontend                 [.] net/http.HandlerFunc.ServeHTTP
     0.01%  dockerd          dockerd                  [.] runtime.checkIdleGCNoP
     0.01%  frontend         frontend                 [.] os.statNolog
     0.01%  recommendation   [kernel.kallsyms]        [k] _raw_write_lock_irq
     0.01%  geo              [kernel.kallsyms]        [k] __lock_text_start
     0.01%  wrk              [kernel.kallsyms]        [k] ip_sabotage_in
     0.01%  frontend         [kernel.kallsyms]        [k] link_path_walk.part.0
     0.01%  wrk              [kernel.kallsyms]        [k] tcp_grow_window.isra.0
     0.01%  wrk              [kernel.kallsyms]        [k] skb_release_head_state
     0.01%  dockerd          dockerd                  [.] runtime.updateTimerPMask
     0.01%  search           [kernel.kallsyms]        [k] record_times
     0.01%  docker-proxy     docker-proxy             [.] internal/poll.(*fdMutex).rwlock
     0.01%  swapper          [kernel.kallsyms]        [k] tick_check_oneshot_broadcast_this_cpu
     0.01%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).itemHandler-fm
     0.01%  wrk              libc-2.31.so             [.] _IO_no_init
     0.01%  docker-proxy     [kernel.kallsyms]        [k] nf_nat_ipv4_fn
     0.01%  dockerd          dockerd                  [.] time.Time.abs
     0.01%  geo              [kernel.kallsyms]        [k] net_rx_action
     0.01%  docker-proxy     [kernel.kallsyms]        [k] get_nohz_timer_target
     0.01%  recommendation   recommendation           [.] runtime.memequal
     0.01%  geo              [kernel.kallsyms]        [k] native_flush_tlb_one_user
     0.01%  docker-proxy     docker-proxy             [.] runtime.stopm
     0.01%  geo              [kernel.kallsyms]        [k] ip_rcv_core.isra.0
     0.01%  frontend         [kernel.kallsyms]        [k] do_softirq.part.0
     0.01%  search           search                   [.] runtime.usleep.abi0
     0.01%  frontend         frontend                 [.] strconv.ryuDigits
     0.01%  search           search                   [.] reflect.Value.SetString
     0.01%  containerd-shim  [kernel.kallsyms]        [k] _cond_resched
     0.01%  search           [kernel.kallsyms]        [k] ovl_path_type
     0.01%  swapper          [kernel.kallsyms]        [k] sched_clock
     0.01%  frontend         frontend                 [.] github.com/rs/zerolog.callerHook.Run
     0.01%  dockerd          [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.01%  swapper          [kernel.kallsyms]        [k] reschedule_interrupt
     0.01%  search           [kernel.kallsyms]        [k] vfs_getattr_nosec
     0.01%  recommendation   [kernel.kallsyms]        [k] finish_task_switch
     0.01%  frontend         [kernel.kallsyms]        [k] ep_autoremove_wake_function
     0.01%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger/jsonfilelog.marshalMessage
     0.01%  geo              geo                      [.] runtime.systemstack.abi0
     0.01%  frontend         frontend                 [.] reflect.valueInterface
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x00000000000693a2
     0.01%  wrk              wrk                      [.] lj_BC_LEN
     0.01%  search           [kernel.kallsyms]        [k] _copy_to_user
     0.01%  frontend         frontend                 [.] runtime.semacquire1
     0.01%  frontend         [kernel.kallsyms]        [k] release_sock
     0.01%  geo              [kernel.kallsyms]        [k] do_epoll_wait
     0.01%  search           search                   [.] syscall.Syscall6.abi0
     0.01%  geo              geo                      [.] internal/poll.runtime_pollReset
     0.01%  wrk              libc-2.31.so             [.] random_r
     0.01%  recommendation   recommendation           [.] runtime.typedmemmove
     0.01%  recommendation   [kernel.kallsyms]        [k] __inet_lookup_established
     0.01%  search           search                   [.] runtime.resolveNameOff
     0.01%  geo              geo                      [.] runtime.goexit0
     0.01%  frontend         [kernel.kallsyms]        [k] tcp_update_skb_after_send
     0.01%  search           search                   [.] github.com/rs/zerolog.callerHook.Run
     0.01%  recommendation   recommendation           [.] runtime.mapaccess2
     0.01%  recommendation   recommendation           [.] runtime.sellock
     0.01%  frontend         frontend                 [.] reflect.(*rtype).ptrTo
     0.01%  geo              geo                      [.] sync.(*Mutex).Unlock
     0.01%  geo              [kernel.kallsyms]        [k] __skb_datagram_iter
     0.01%  containerd-shim  [kernel.kallsyms]        [k] mark_wake_futex
     0.01%  frontend         [kernel.kallsyms]        [k] activate_task
     0.01%  dockerd          [kernel.kallsyms]        [k] prepare_exit_to_usermode
     0.01%  wrk              [kernel.kallsyms]        [k] sock_recvmsg
     0.01%  geo              geo                      [.] runtime.mapdelete_fast32
     0.01%  wrk              [kernel.kallsyms]        [k] put_prev_entity
     0.01%  geo              [kernel.kallsyms]        [k] fput_many
     0.01%  geo              geo                      [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.01%  wrk              [kernel.kallsyms]        [k] _raw_read_lock_irqsave
     0.01%  containerd-shim  [kernel.kallsyms]        [k] generic_pipe_buf_confirm
     0.01%  docker-proxy     [kernel.kallsyms]        [k] rcu_all_qs
     0.01%  frontend         frontend                 [.] runtime.gcWriteBarrierCX
     0.01%  dockerd          [kernel.kallsyms]        [k] map_id_up
     0.01%  search           search                   [.] google.golang.org/grpc.(*clientStream).SendMsg
     0.01%  docker-proxy     [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.01%  dockerd          [kernel.kallsyms]        [k] percpu_counter_add_batch
     0.01%  geo              [kernel.kallsyms]        [k] __ip_queue_xmit
     0.01%  frontend         [kernel.kallsyms]        [k] __switch_to
     0.01%  recommendation   recommendation           [.] runtime.gopark
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*http2Client).operateHeaders
     0.01%  geo              geo                      [.] golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
     0.01%  geo              [kernel.kallsyms]        [k] nf_nat_inet_fn
     0.01%  recommendation   recommendation           [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.01%  geo              [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.01%  recommendation   recommendation           [.] runtime.mcall
     0.01%  geo              geo                      [.] runtime.makeslice
     0.01%  frontend         [kernel.kallsyms]        [k] native_write_msr
     0.01%  frontend         [kernel.kallsyms]        [k] __tcp_ack_snd_check
     0.01%  frontend         [kernel.kallsyms]        [k] __ip_local_out
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*http2Server).handleData
     0.01%  search           search                   [.] github.com/rs/zerolog.(*Logger).should
     0.01%  wrk              wrk                      [.] lj_BC_ITERN
     0.01%  search           search                   [.] google.golang.org/grpc/transport.encodeGrpcMessage
     0.01%  containerd-shim  [kernel.kallsyms]        [k] get_futex_value_locked
     0.01%  geo              [kernel.kallsyms]        [k] tcp_current_mss
     0.01%  docker-proxy     [kernel.kallsyms]        [k] tcp_mtu_probe
     0.01%  wrk              libc-2.31.so             [.] __printf_fp
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x0000000000039c18
     0.01%  frontend         frontend                 [.] encoding/json.stateBeginStringOrEmpty
     0.01%  frontend         [kernel.kallsyms]        [k] is_skb_forwardable
     0.01%  swapper          [kernel.kallsyms]        [k] tick_program_event
     0.01%  geo              geo                      [.] runtime.wbBufFlush1
     0.01%  search           [kernel.kallsyms]        [k] account_entity_dequeue
     0.01%  search           [kernel.kallsyms]        [k] sock_poll
     0.01%  search           [kernel.kallsyms]        [k] fput
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x00000000000984fb
     0.01%  geo              geo                      [.] runtime.futexsleep
     0.01%  frontend         frontend                 [.] runtime.memhash32
     0.01%  geo              [kernel.kallsyms]        [k] rb_next
     0.01%  search           search                   [.] compress/flate.(*huffmanBitWriter).writeBytes
     0.01%  search           [kernel.kallsyms]        [k] netif_rx_internal
     0.01%  search           search                   [.] runtime.netpollready
     0.01%  recommendation   [kernel.kallsyms]        [k] __enqueue_entity
     0.01%  dockerd          [kernel.kallsyms]        [k] get_nohz_timer_target
     0.01%  wrk              [kernel.kallsyms]        [k] tcp_push
     0.01%  swapper          [kernel.kallsyms]        [k] perf_event_task_tick
     0.01%  search           [kernel.kallsyms]        [k] ep_item_poll.isra.0
     0.01%  docker-proxy     [kernel.kallsyms]        [k] futex_wait_setup
     0.01%  search           [kernel.kallsyms]        [k] ovl_inode_upper
     0.01%  search           search                   [.] github.com/golang/protobuf/proto.(*Buffer).dec_proto3_int32
     0.01%  geo              geo                      [.] runtime.funcspdelta
     0.01%  geo              geo                      [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.01%  search           [kernel.kallsyms]        [k] __alloc_skb
     0.01%  containerd-shim  containerd-shim-runc-v2  [.] 0x000000000003ce43
     0.01%  dockerd          [kernel.kallsyms]        [k] ext4_mb_good_group
     0.01%  frontend         [kernel.kallsyms]        [k] do_softirq_own_stack
     0.01%  swapper          [kernel.kallsyms]        [k] cpuidle_select
     0.01%  search           [kernel.kallsyms]        [k] amd_clear_divider
     0.01%  recommendation   recommendation           [.] runtime.acquirep
     0.01%  geo              geo                      [.] runtime.runqsteal
     0.01%  search           search                   [.] google.golang.org/grpc/transport.(*Stream).waitOnHeader
     0.01%  frontend         frontend                 [.] net/http.hasToken
     0.01%  search           search                   [.] levelgzip.(*compressor).Decompress
     0.01%  search           [kernel.kallsyms]        [k] iptable_filter_hook
     0.01%  dockerd          dockerd                  [.] runtime.stringtoslicebyte
     0.01%  recommendation   recommendation           [.] context.(*cancelCtx).cancel
     0.01%  wrk              [kernel.kallsyms]        [k] nf_nat_packet
     0.01%  frontend         [kernel.kallsyms]        [k] file_update_time
     0.01%  frontend         frontend                 [.] reflect.resolveTypeOff
     0.01%  search           search                   [.] google.golang.org/grpc.(*parser).recvMsg
     0.01%  search           search                   [.] compress/flate.(*huffmanBitWriter).writeBits
     0.01%  wrk              [kernel.kallsyms]        [k] ipv4_conntrack_local
     0.01%  recommendation   recommendation           [.] runtime.copystack
     0.01%  frontend         frontend                 [.] fmt.(*pp).catchPanic
     0.01%  search           [kernel.kallsyms]        [k] cpumask_next_wrap
     0.01%  dockerd          [kernel.kallsyms]        [k] ext4_writepage_trans_blocks
     0.01%  wrk              [kernel.kallsyms]        [k] deactivate_task
     0.01%  search           [kernel.kallsyms]        [k] rb_next
     0.01%  wrk              [kernel.kallsyms]        [k] vfs_write
     0.01%  recommendation   [kernel.kallsyms]        [k] futex_wait_queue_me
     0.01%  docker-proxy     [kernel.kallsyms]        [k] __br_forward
     0.01%  search           [kernel.kallsyms]        [k] attach_entity_load_avg
     0.01%  geo              geo                      [.] context.parentCancelCtx
     0.01%  frontend         frontend                 [.] strings.indexFunc
     0.01%  search           search                   [.] github.com/opentracing/opentracing-go.(*Tag).Apply
     0.01%  frontend         frontend                 [.] github.com/opentracing/opentracing-go.(*SpanReference).Apply
     0.01%  search           [kernel.kallsyms]        [k] __check_heap_object
     0.01%  geo              geo                      [.] runtime.epollwait.abi0
     0.01%  dockerd          [kernel.kallsyms]        [k] current_time
     0.01%  dockerd          [kernel.kallsyms]        [k] xas_start
     0.01%  geo              geo                      [.] google.golang.org/grpc/transport.(*controlBuffer).load
     0.01%  geo              geo                      [.] internal/poll.(*FD).Read
     0.01%  frontend         frontend                 [.] sync.(*poolDequeue).popHead
     0.01%  geo              geo                      [.] golang.org/x/net/http2/hpack.(*Decoder).Write
     0.01%  search           search                   [.] runtime.newproc1
     0.01%  frontend         [kernel.kallsyms]        [k] lockref_put_return
     0.01%  search           search                   [.] github.com/golang/protobuf/proto.(*Buffer).Unmarshal
     0.01%  frontend         frontend                 [.] runtime.markroot
     0.01%  dockerd          [kernel.kallsyms]        [k] clear_page_erms
