# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 33701115651
#
# Overhead  Command         Shared Object       Symbol                                                                                                                
# ........  ..............  ..................  ......................................................................................................................
#
     0.05%  recommendation  [kernel.kallsyms]   [k] ktime_get_coarse_real_ts64
     0.05%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.isProto3Zero
     0.05%  recommendation  [kernel.kallsyms]   [k] tcp_v4_rcv
     0.05%  recommendation  [kernel.kallsyms]   [k] sock_rfree
     0.05%  recommendation  recommendation      [.] fmt.(*pp).fmtString
     0.05%  recommendation  recommendation      [.] reflect.(*structType).FieldByName
     0.05%  recommendation  recommendation      [.] runtime.mapdelete
     0.05%  recommendation  [kernel.kallsyms]   [k] mutex_unlock
     0.05%  recommendation  [kernel.kallsyms]   [k] _cond_resched
     0.05%  recommendation  recommendation      [.] reflect.Value.assignTo
     0.05%  recommendation  [kernel.kallsyms]   [k] __bitmap_and
     0.05%  recommendation  recommendation      [.] github.com/opentracing/opentracing-go.(*Tag).Apply
     0.05%  recommendation  [kernel.kallsyms]   [k] _raw_read_unlock_irqrestore
     0.05%  recommendation  recommendation      [.] runtime.acquireSudog
     0.05%  recommendation  recommendation      [.] runtime.runqput
     0.05%  recommendation  [kernel.kallsyms]   [k] br_fdb_update
     0.05%  recommendation  [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.05%  recommendation  [kernel.kallsyms]   [k] unmap_page_range
     0.05%  recommendation  [kernel.kallsyms]   [k] netif_skb_features
     0.05%  recommendation  [kernel.kallsyms]   [k] mod_timer
     0.05%  recommendation  [kernel.kallsyms]   [k] ktime_get_seconds
     0.05%  recommendation  [kernel.kallsyms]   [k] cp_new_stat
     0.05%  recommendation  recommendation      [.] syscall.Syscall.abi0
     0.05%  recommendation  recommendation      [.] os.Getenv
     0.05%  recommendation  [kernel.kallsyms]   [k] __skb_datagram_iter
     0.05%  recommendation  [kernel.kallsyms]   [k] hrtimer_nanosleep
     0.05%  recommendation  recommendation      [.] runtime.runqsteal
     0.05%  recommendation  recommendation      [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1
     0.05%  recommendation  [kernel.kallsyms]   [k] plist_add
     0.05%  recommendation  [kernel.kallsyms]   [k] lockref_put_return
     0.05%  recommendation  [kernel.kallsyms]   [k] sk_page_frag_refill
     0.05%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.NewTracer.func2
     0.05%  recommendation  recommendation      [.] reflect.Value.Set
     0.05%  recommendation  recommendation      [.] runtime.typedmemmove
     0.05%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go/utils.(*lockedSource).Int63
     0.05%  recommendation  recommendation      [.] encoding/json.(*decodeState).scanWhile
     0.05%  recommendation  [kernel.kallsyms]   [k] ipv4_confirm
     0.05%  recommendation  [kernel.kallsyms]   [k] tcp_wfree
     0.05%  recommendation  [kernel.kallsyms]   [k] override_creds
     0.05%  recommendation  [kernel.kallsyms]   [k] process_backlog
     0.05%  recommendation  recommendation      [.] type..eq.golang.org/x/net/http2/hpack.pairNameValue
     0.05%  recommendation  recommendation      [.] github.com/rs/zerolog.(*Event).msg
     0.05%  recommendation  [kernel.kallsyms]   [k] set_next_task_idle
     0.05%  recommendation  [kernel.kallsyms]   [k] wake_up_q
     0.05%  recommendation  [kernel.kallsyms]   [k] on_each_cpu_cond_mask
     0.05%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*recvBufferReader).read
     0.05%  recommendation  [kernel.kallsyms]   [k] __nf_ct_refresh_acct
     0.05%  recommendation  recommendation      [.] reflect.Value.Field
     0.05%  recommendation  [kernel.kallsyms]   [k] inode_permission
     0.05%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.getbase
     0.05%  recommendation  recommendation      [.] runtime.stackcache_clear
     0.05%  recommendation  [kernel.kallsyms]   [k] __count_memcg_events
     0.05%  recommendation  recommendation      [.] runtime.memhash32
     0.05%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*dynamicTable).evict
     0.05%  recommendation  recommendation      [.] runtime.injectglist
     0.05%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.04%  recommendation  [kernel.kallsyms]   [k] lru_add_drain_cpu
     0.04%  recommendation  recommendation      [.] runtime.netpollblock
     0.04%  recommendation  recommendation      [.] runtime.(*gcWork).balance
     0.04%  recommendation  [kernel.kallsyms]   [k] set_next_entity
     0.04%  recommendation  recommendation      [.] encoding/json.indirect
     0.04%  recommendation  recommendation      [.] runtime.startm
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_rearm_rto
     0.04%  recommendation  [kernel.kallsyms]   [k] __tcp_select_window
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_event_new_data_sent
     0.04%  recommendation  recommendation      [.] runtime.semacquire1
     0.04%  recommendation  [kernel.kallsyms]   [k] error_entry
     0.04%  recommendation  recommendation      [.] runtime.memhash64
     0.04%  recommendation  [kernel.kallsyms]   [k] pipe_read
     0.04%  recommendation  recommendation      [.] reflect.(*rtype).ptrTo
     0.04%  recommendation  [kernel.kallsyms]   [k] pipe_write
     0.04%  recommendation  recommendation      [.] reflect.(*rtype).Elem
     0.04%  recommendation  [kernel.kallsyms]   [k] attach_entity_load_avg
     0.04%  recommendation  recommendation      [.] runtime.exitsyscall.abi0
     0.04%  recommendation  recommendation      [.] reflect.(*rtype).NumMethod
     0.04%  recommendation  recommendation      [.] encoding/json.stateEndValue
     0.04%  recommendation  recommendation      [.] strconv.formatBits
     0.04%  recommendation  recommendation      [.] sort.quickSort
     0.04%  recommendation  [kernel.kallsyms]   [k] ktime_get_with_offset
     0.04%  recommendation  [kernel.kallsyms]   [k] nf_ct_deliver_cached_events
     0.04%  recommendation  recommendation      [.] runtime.(*pallocData).findScavengeCandidate
     0.04%  recommendation  recommendation      [.] runtime.gfget
     0.04%  recommendation  [kernel.kallsyms]   [k] mntput_no_expire
     0.04%  recommendation  recommendation      [.] syscall.read
     0.04%  recommendation  recommendation      [.] internal/poll.runtime_pollReset
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_ack
     0.04%  recommendation  [kernel.kallsyms]   [k] __slab_free
     0.04%  recommendation  [kernel.kallsyms]   [k] ip_rcv_finish_core.isra.0
     0.04%  recommendation  [kernel.kallsyms]   [k] __accumulate_pelt_segments
     0.04%  recommendation  [kernel.kallsyms]   [k] _raw_write_lock_irq
     0.04%  recommendation  recommendation      [.] runtime.entersyscall
     0.04%  recommendation  [kernel.kallsyms]   [k] nf_ct_get_tuple
     0.04%  recommendation  recommendation      [.] reflect.implements
     0.04%  recommendation  [kernel.kallsyms]   [k] common_perm_cond
     0.04%  recommendation  [kernel.kallsyms]   [k] fput_many
     0.04%  recommendation  recommendation      [.] google.golang.org/grpc/encoding/proto.codec.Unmarshal
     0.04%  recommendation  recommendation      [.] runtime.duffzero
     0.04%  recommendation  recommendation      [.] encoding/json.stateBeginValue
     0.04%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.GetProperties
     0.04%  recommendation  [kernel.kallsyms]   [k] __copy_skb_header
     0.04%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*inFlow).onData
     0.04%  recommendation  recommendation      [.] runtime.Caller
     0.04%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*bdpEstimator).add
     0.04%  recommendation  recommendation      [.] runtime.freeSomeWbufs
     0.04%  recommendation  recommendation      [.] time.Now
     0.04%  recommendation  [kernel.kallsyms]   [k] apparmor_socket_sendmsg
     0.04%  recommendation  [kernel.kallsyms]   [k] __x64_sys_nanosleep
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_recv_timestamp
     0.04%  recommendation  recommendation      [.] runtime.(*mheap).setSpans
     0.04%  recommendation  recommendation      [.] runtime.stopm
     0.04%  recommendation  [kernel.kallsyms]   [k] nf_nat_ipv4_local_in
     0.04%  recommendation  recommendation      [.] context.parentCancelCtx
     0.04%  recommendation  [kernel.kallsyms]   [k] sk_reset_timer
     0.04%  recommendation  [kernel.kallsyms]   [k] intel_pmu_disable_all
     0.04%  recommendation  recommendation      [.] runtime.isSystemGoroutine
     0.04%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1
     0.04%  recommendation  [kernel.kallsyms]   [k] current_time
     0.04%  recommendation  [kernel.kallsyms]   [k] __ip_queue_xmit
     0.04%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.ContextFromString
     0.04%  recommendation  recommendation      [.] runtime.convT2I
     0.04%  recommendation  recommendation      [.] runtime.mcall
     0.04%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*Span).FinishWithOptions
     0.04%  recommendation  recommendation      [.] internal/poll.(*fdMutex).rwlock
     0.04%  recommendation  recommendation      [.] internal/poll.(*pollDesc).wait
     0.04%  recommendation  [kernel.kallsyms]   [k] cpus_share_cache
     0.04%  recommendation  recommendation      [.] runtime.mapdelete_fast32
     0.04%  recommendation  recommendation      [.] runtime.mPark
     0.04%  recommendation  [kernel.kallsyms]   [k] nf_nat_ipv4_fn
     0.04%  recommendation  recommendation      [.] runtime.trygetfull
     0.04%  recommendation  [kernel.kallsyms]   [k] amd_clear_divider
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_check_space
     0.04%  recommendation  recommendation      [.] runtime.(*mheap).nextSpanForSweep
     0.04%  recommendation  recommendation      [.] reflect.Value.Type
     0.04%  recommendation  recommendation      [.] bufio.(*Writer).Write
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_rate_check_app_limited
     0.04%  recommendation  recommendation      [.] runtime.bulkBarrierPreWrite
     0.04%  recommendation  [kernel.kallsyms]   [k] cpumask_next
     0.04%  recommendation  [kernel.kallsyms]   [k] set_user_sigmask
     0.04%  recommendation  [kernel.kallsyms]   [k] __wake_up_common_lock
     0.04%  recommendation  [kernel.kallsyms]   [k] tcp_queue_rcv
     0.04%  recommendation  recommendation      [.] encoding/json.stateBeginString
     0.04%  recommendation  recommendation      [.] github.com/rs/zerolog.newEvent
     0.03%  recommendation  [kernel.kallsyms]   [k] nf_ct_seq_offset
     0.03%  recommendation  [kernel.kallsyms]   [k] __skb_ext_del
     0.03%  recommendation  [kernel.kallsyms]   [k] ipv4_conntrack_defrag
     0.03%  recommendation  recommendation      [.] runtime.adjusttimers
     0.03%  recommendation  recommendation      [.] internal/poll.(*fdMutex).rwunlock
     0.03%  recommendation  [kernel.kallsyms]   [k] rebalance_domains
     0.03%  recommendation  [kernel.kallsyms]   [k] filename_lookup
     0.03%  recommendation  recommendation      [.] runtime.gcmarknewobject
     0.03%  recommendation  recommendation      [.] reflect.MakeMapWithSize
     0.03%  recommendation  recommendation      [.] sync/atomic.(*Value).Store
     0.03%  recommendation  recommendation      [.] reflect.Value.SetMapIndex
     0.03%  recommendation  recommendation      [.] fmt.(*fmt).fmtInteger
     0.03%  recommendation  recommendation      [.] sync.(*Mutex).Unlock
     0.03%  recommendation  [kernel.kallsyms]   [k] ip_sabotage_in
     0.03%  recommendation  recommendation      [.] context.WithValue
     0.03%  recommendation  [kernel.kallsyms]   [k] perf_pmu_nop_void
     0.03%  recommendation  [kernel.kallsyms]   [k] common_perm
     0.03%  recommendation  [kernel.kallsyms]   [k] legitimize_links
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).handlePing.func1
     0.03%  recommendation  [kernel.kallsyms]   [k] tcp_chrono_stop
     0.03%  recommendation  [kernel.kallsyms]   [k] terminate_walk
     0.03%  recommendation  recommendation      [.] runtime.funcspdelta
     0.03%  recommendation  recommendation      [.] runtime.gcWriteBarrierR9
     0.03%  recommendation  [kernel.kallsyms]   [k] mem_cgroup_uncharge_list
     0.03%  recommendation  [kernel.kallsyms]   [k] enqueue_to_backlog
     0.03%  recommendation  recommendation      [.] gogo
     0.03%  recommendation  [kernel.kallsyms]   [k] get_futex_value_locked
     0.03%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanInternal
     0.03%  recommendation  recommendation      [.] sort.Sort
     0.03%  recommendation  recommendation      [.] net.(*conn).Write
     0.03%  recommendation  recommendation      [.] time.tzsetName
     0.03%  recommendation  recommendation      [.] reflect.Value.Bytes
     0.03%  recommendation  [kernel.kallsyms]   [k] hrtimer_start_range_ns
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).adjustWindow
     0.03%  recommendation  [kernel.kallsyms]   [k] hrtimer_reprogram
     0.03%  recommendation  recommendation      [.] encoding/json.(*decodeState).literalStore
     0.03%  recommendation  recommendation      [.] syscall.Getenv.dwrap.2
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc.(*parser).recvMsg
     0.03%  recommendation  [kernel.kallsyms]   [k] hrtimer_try_to_cancel
     0.03%  recommendation  recommendation      [.] runtime.memclrHasPointers
     0.03%  recommendation  recommendation      [.] golang.org/x/net/http2.(*HeadersFrame).Header
     0.03%  recommendation  recommendation      [.] runtime.gcFlushBgCredit
     0.03%  recommendation  recommendation      [.] time.Date
     0.03%  recommendation  [kernel.kallsyms]   [k] unlazy_walk
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc.checkRecvPayload
     0.03%  recommendation  recommendation      [.] context.propagateCancel
     0.03%  recommendation  [kernel.kallsyms]   [k] schedule_hrtimeout_range_clock
     0.03%  recommendation  recommendation      [.] runtime.forEachP
     0.03%  recommendation  recommendation      [.] reflect.Value.SetString
     0.03%  recommendation  recommendation      [.] internal/reflectlite.(*rtype).Comparable
     0.03%  recommendation  recommendation      [.] golang.org/x/net/http2.(*HeadersFrame).invalidate
     0.03%  recommendation  recommendation      [.] countbody
     0.03%  recommendation  recommendation      [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     0.03%  recommendation  [kernel.kallsyms]   [k] ip_local_out
     0.03%  recommendation  recommendation      [.] net.(*TCPConn).Read
     0.03%  recommendation  [kernel.kallsyms]   [k] tcp_sendmsg
     0.03%  recommendation  recommendation      [.] runtime.morestack_noctxt.abi0
     0.03%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.(*Buffer).DecodeVarint
     0.03%  recommendation  recommendation      [.] runtime.mapaccess1_fast32
     0.03%  recommendation  recommendation      [.] runtime.(*pageAlloc).free
     0.03%  recommendation  [kernel.kallsyms]   [k] ip_send_check
     0.03%  recommendation  [kernel.kallsyms]   [k] tcp_ack_update_rtt.isra.0
     0.03%  recommendation  [kernel.kallsyms]   [k] irq_work_run_list
     0.03%  recommendation  recommendation      [.] runtime.checkdead
     0.03%  recommendation  recommendation      [.] runtime.cgoSigtramp
     0.03%  recommendation  [kernel.kallsyms]   [k] inet_send_prepare
     0.03%  recommendation  recommendation      [.] runtime.notewakeup
     0.03%  recommendation  recommendation      [.] golang.org/x/net/http2.(*Framer).checkFrameOrder
     0.03%  recommendation  [kernel.kallsyms]   [k] tcp_send_delayed_ack
     0.03%  recommendation  [kernel.kallsyms]   [k] sock_recvmsg
     0.03%  recommendation  [kernel.kallsyms]   [k] __handle_mm_fault
     0.03%  recommendation  [kernel.kallsyms]   [k] __kmalloc_node
     0.03%  recommendation  [kernel.kallsyms]   [k] native_iret
     0.03%  recommendation  recommendation      [.] runtime.duffcopy
     0.03%  recommendation  recommendation      [.] strings.genSplit
     0.03%  recommendation  recommendation      [.] runtime.sellock
     0.03%  recommendation  [kernel.kallsyms]   [k] validate_xmit_skb
     0.03%  recommendation  recommendation      [.] sync.(*Pool).pin
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc/transport.newFramer.func1
     0.03%  recommendation  [kernel.kallsyms]   [k] nf_nat_ipv4_out
     0.03%  recommendation  [kernel.kallsyms]   [k] vm_normal_page
     0.03%  recommendation  recommendation      [.] runtime.entersyscall.abi0
     0.03%  recommendation  [kernel.kallsyms]   [k] ksoftirqd_running
     0.03%  recommendation  [kernel.kallsyms]   [k] ipv4_mtu
     0.03%  recommendation  [kernel.kallsyms]   [k] br_dev_queue_push_xmit
     0.03%  recommendation  [kernel.kallsyms]   [k] audit_signal_info_syscall
     0.03%  recommendation  recommendation      [.] runtime.getempty
     0.03%  recommendation  recommendation      [.] runtime.mapassign_fast32
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*quotaPool).add
     0.03%  recommendation  recommendation      [.] runtime.findnull
     0.03%  recommendation  [kernel.kallsyms]   [k] skb_page_frag_refill
     0.03%  recommendation  recommendation      [.] runtime.futexwakeup
     0.03%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*quotaPool).lockedAdd
     0.03%  recommendation  [kernel.kallsyms]   [k] flush_tlb_func_common.constprop.0
     0.03%  recommendation  [kernel.kallsyms]   [k] atime_needs_update
     0.03%  recommendation  [kernel.kallsyms]   [k] mark_wake_futex
     0.03%  recommendation  [kernel.kallsyms]   [k] tcp_current_mss
     0.03%  recommendation  recommendation      [.] encoding/json.(*decodeState).unmarshal
     0.03%  recommendation  recommendation      [.] runtime.releasep
     0.03%  recommendation  [kernel.kallsyms]   [k] hrtimer_interrupt
     0.03%  recommendation  recommendation      [.] context.(*valueCtx).Done
     0.03%  recommendation  recommendation      [.] runtime.dodeltimer0
     0.03%  recommendation  [kernel.kallsyms]   [k] __netif_receive_skb
     0.03%  recommendation  [kernel.kallsyms]   [k] find_next_and_bit
     0.03%  recommendation  [kernel.kallsyms]   [k] copyin
     0.02%  recommendation  recommendation      [.] context.(*cancelCtx).cancel
     0.02%  recommendation  [kernel.kallsyms]   [k] iov_iter_advance
     0.02%  recommendation  [kernel.kallsyms]   [k] __x64_sys_read
     0.02%  recommendation  [kernel.kallsyms]   [k] idle_cpu
     0.02%  recommendation  [kernel.kallsyms]   [k] __local_bh_enable_ip
     0.02%  recommendation  [kernel.kallsyms]   [k] __dev_forward_skb
     0.02%  recommendation  recommendation      [.] runtime.assertE2I2
     0.02%  recommendation  [kernel.kallsyms]   [k] ksys_read
     0.02%  recommendation  recommendation      [.] internal/poll.(*pollDesc).prepare
     0.02%  recommendation  [kernel.kallsyms]   [k] check_stack_object
     0.02%  recommendation  recommendation      [.] runtime.netpollblockcommit
     0.02%  recommendation  [kernel.kallsyms]   [k] skb_try_coalesce
     0.02%  recommendation  recommendation      [.] sync/atomic.CompareAndSwapPointer
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc/encoding/proto.(*codec).Marshal
     0.02%  recommendation  [kernel.kallsyms]   [k] lock_hrtimer_base
     0.02%  recommendation  [kernel.kallsyms]   [k] pick_next_entity
     0.02%  recommendation  recommendation      [.] runtime.interequal
     0.02%  recommendation  recommendation      [.] runtime.deferreturn
     0.02%  recommendation  libpthread-2.31.so  [.] __restore_rt
     0.02%  recommendation  [kernel.kallsyms]   [k] nbp_switchdev_frame_mark
     0.02%  recommendation  [kernel.kallsyms]   [k] tcp_push
     0.02%  recommendation  recommendation      [.] runtime.stackpoolfree
     0.02%  recommendation  [kernel.kallsyms]   [k] tcp_v4_early_demux
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*quotaPool).get
     0.02%  recommendation  [kernel.kallsyms]   [k] __unqueue_futex
     0.02%  recommendation  recommendation      [.] time.(*Location).lookup
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*controlBuffer).put
     0.02%  recommendation  [kernel.kallsyms]   [k] __dequeue_signal
     0.02%  recommendation  [kernel.kallsyms]   [k] ip_rcv_finish
     0.02%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*Tracer).reportSpan
     0.02%  recommendation  recommendation      [.] sync/atomic.StoreUintptr
     0.02%  recommendation  recommendation      [.] reflect.typedmemclr
     0.02%  recommendation  [kernel.kallsyms]   [k] passthru_features_check
     0.02%  recommendation  recommendation      [.] runtime.scanframeworker
     0.02%  recommendation  recommendation      [.] runtime.resetspinning
     0.02%  recommendation  [kernel.kallsyms]   [k] __task_pid_nr_ns
     0.02%  recommendation  [kernel.kallsyms]   [k] _copy_from_user
     0.02%  recommendation  recommendation      [.] runtime.(*mcache).nextFree
     0.02%  recommendation  recommendation      [.] github.com/golang/protobuf/proto.(*Buffer).dec_proto3_int64
     0.02%  recommendation  recommendation      [.] sync.(*Pool).Put
     0.02%  recommendation  recommendation      [.] golang.org/x/net/http2.(*MetaHeadersFrame).PseudoFields
     0.02%  recommendation  recommendation      [.] sync/atomic.CompareAndSwapUintptr
     0.02%  recommendation  [kernel.kallsyms]   [k] skb_copy_datagram_iter
     0.02%  recommendation  [kernel.kallsyms]   [k] __vfs_write
     0.02%  recommendation  recommendation      [.] encoding/json.(*Decoder).Decode
     0.02%  recommendation  recommendation      [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey
     0.02%  recommendation  [kernel.kallsyms]   [k] skb_ext_add
     0.02%  recommendation  recommendation      [.] sync/atomic.StorePointer
     0.02%  recommendation  recommendation      [.] runtime.ifaceeq
     0.02%  recommendation  [kernel.kallsyms]   [k] __update_load_avg_blocked_se
     0.02%  recommendation  [kernel.kallsyms]   [k] get_mem_cgroup_from_mm
     0.02%  recommendation  [kernel.kallsyms]   [k] tcp_stream_memory_free
     0.02%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*Tracer).Extract
     0.02%  recommendation  recommendation      [.] runtime.funcline1
     0.02%  recommendation  [kernel.kallsyms]   [k] perf_event_idx_default
     0.02%  recommendation  recommendation      [.] reflect.(*rtype).uncommon
     0.02%  recommendation  recommendation      [.] runtime.suspendG
     0.02%  recommendation  [kernel.kallsyms]   [k] prepend_path.isra.0
     0.02%  recommendation  recommendation      [.] runtime.exitsyscallfast_reacquired
     0.02%  recommendation  [kernel.kallsyms]   [k] brnf_get_logical_dev
     0.02%  recommendation  [kernel.kallsyms]   [k] setup_sigcontext
     0.02%  recommendation  [kernel.kallsyms]   [k] perf_pmu_disable.part.0
     0.02%  recommendation  recommendation      [.] runtime.(*mheap).allocManual
     0.02%  recommendation  [kernel.kallsyms]   [k] calc_timer_values
     0.02%  recommendation  [kernel.kallsyms]   [k] enqueue_timer
     0.02%  recommendation  recommendation      [.] reflect.Value.Elem
     0.02%  recommendation  recommendation      [.] time.Time.locabs
     0.02%  recommendation  recommendation      [.] runtime.(*mSpanList).remove
     0.02%  recommendation  recommendation      [.] runtime.convT64
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc.(*Server).traceInfo
     0.02%  recommendation  recommendation      [.] internal/testlog.Getenv
     0.02%  recommendation  [kernel.kallsyms]   [k] tcp_schedule_loss_probe
     0.02%  recommendation  [kernel.kallsyms]   [k] __enqueue_entity
     0.02%  recommendation  [kernel.kallsyms]   [k] tcp_v4_inbound_md5_hash
     0.02%  recommendation  [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.02%  recommendation  [kernel.kallsyms]   [k] br_allowed_ingress
     0.02%  recommendation  [kernel.kallsyms]   [k] ip_queue_xmit
     0.02%  recommendation  recommendation      [.] runtime.assertI2I2
     0.02%  recommendation  [kernel.kallsyms]   [k] __x64_sys_getpid
     0.02%  recommendation  recommendation      [.] runtime.(*mcentral).uncacheSpan
     0.02%  recommendation  recommendation      [.] runtime.gcBgMarkWorker
     0.02%  recommendation  recommendation      [.] runtime.epollwait.abi0
     0.02%  recommendation  recommendation      [.] time.now.abi0
     0.02%  recommendation  [kernel.kallsyms]   [k] netdev_core_pick_tx
     0.02%  recommendation  recommendation      [.] runtime.gogo.abi0
     0.02%  recommendation  [kernel.kallsyms]   [k] __skb_clone
     0.02%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Decoder).callEmit
     0.02%  recommendation  [kernel.kallsyms]   [k] schedule_hrtimeout_range
     0.02%  recommendation  [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.02%  recommendation  [kernel.kallsyms]   [k] ip_rcv
     0.02%  recommendation  [kernel.kallsyms]   [k] __sb_end_write
     0.02%  recommendation  [kernel.kallsyms]   [k] br_forward
     0.02%  recommendation  [kernel.kallsyms]   [k] rcu_irq_exit
     0.02%  recommendation  recommendation      [.] sort.Search
     0.02%  recommendation  [kernel.kallsyms]   [k] zap_pte_range.isra.0
     0.02%  recommendation  [kernel.kallsyms]   [k] __mod_memcg_state
     0.02%  recommendation  [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.02%  recommendation  recommendation      [.] internal/poll.(*FD).Read
     0.02%  recommendation  recommendation      [.] runtime.chansend.func1
     0.02%  recommendation  recommendation      [.] runtime.castogscanstatus
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).closeStream
     0.02%  recommendation  recommendation      [.] bufio.(*Writer).Flush
     0.02%  recommendation  [kernel.kallsyms]   [k] ip_local_deliver_finish
     0.02%  recommendation  recommendation      [.] runtime.(*pageAlloc).allocRange
     0.02%  recommendation  recommendation      [.] github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1.dwrap.2
     0.02%  recommendation  [kernel.kallsyms]   [k] signal_wake_up_state
     0.02%  recommendation  recommendation      [.] runtime.stopTheWorldWithSema
     0.02%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Decoder).Write
     0.02%  recommendation  [kernel.kallsyms]   [k] br_nf_pre_routing_finish
     0.02%  recommendation  recommendation      [.] runtime.wbBufFlush.func1
     0.02%  recommendation  recommendation      [.] fmt.(*pp).free
     0.02%  recommendation  recommendation      [.] github.com/rs/zerolog.ConsoleWriter.Write.func1
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc.(*Server).serveStreams.func1.1
     0.02%  recommendation  recommendation      [.] reflect.(*rtype).Field
     0.02%  recommendation  recommendation      [.] runtime.interhash
     0.02%  recommendation  [kernel.kallsyms]   [k] clear_buddies
     0.02%  recommendation  recommendation      [.] strconv.FormatInt
     0.02%  recommendation  recommendation      [.] os.fillFileStatFromSys
     0.02%  recommendation  [kernel.kallsyms]   [k] ipv4_conntrack_local
     0.02%  recommendation  recommendation      [.] runtime.isAbortPC
     0.02%  recommendation  [kernel.kallsyms]   [k] __x64_sys_write
     0.02%  recommendation  recommendation      [.] runtime.strhash
     0.02%  recommendation  recommendation      [.] runtime.morestack.abi0
     0.02%  recommendation  [kernel.kallsyms]   [k] ep_item_poll.isra.0
     0.02%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.02%  recommendation  recommendation      [.] google.golang.org/grpc/transport.decodeMetadataHeader
     0.02%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Decoder).parseFieldLiteral
     0.02%  recommendation  recommendation      [.] reflect.Value.Pointer
     0.02%  recommendation  [kernel.kallsyms]   [k] check_preempt_wakeup
     0.02%  recommendation  [kernel.kallsyms]   [k] putname
     0.02%  recommendation  [kernel.kallsyms]   [k] strncpy_from_user
     0.02%  recommendation  [kernel.kallsyms]   [k] tcp_mtu_probe
     0.02%  recommendation  [kernel.kallsyms]   [k] sock_sendmsg
     0.02%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.(*Decoder).readString
     0.02%  recommendation  [kernel.kallsyms]   [k] link_path_walk.part.0
     0.02%  recommendation  [kernel.kallsyms]   [k] new_sync_write
     0.02%  recommendation  recommendation      [.] runtime.doSigPreempt
     0.02%  recommendation  recommendation      [.] os.statNolog
     0.02%  recommendation  [kernel.kallsyms]   [k] br_forward_finish
     0.02%  recommendation  recommendation      [.] runtime.sendDirect
     0.02%  recommendation  [kernel.kallsyms]   [k] conntrack_mt_v3
     0.02%  recommendation  [kernel.kallsyms]   [k] __tcp_push_pending_frames
     0.02%  recommendation  recommendation      [.] runtime.(*mcentral).cacheSpan
     0.02%  recommendation  recommendation      [.] runtime.(*stackScanState).getPtr
